package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
appcenter,0,0,765,0,0,181,0,765,0.0,LANGUAGE <LL@li.org>
audience,0,0,106,0,0,48,0,106,0.0,
bleachbit,56,0,916,49,0,170,59,972,5.761316872427984,Northern Sami <se@li.org>
calligra,10050,25,20240,2715,12,3333,8302,30315,33.151904997525975,Northern Sami <i18n-sme@lister.ping.uio.no>
calligraplan,18,0,1999,14,0,358,17,2017,0.8924144769459593,Northern Sami <i18n-sme@lister.ping.uio.no>
console-setup,0,169,816,0,28,147,0,985,0.0,Northern Sami <i18n-sme@lister.ping.uio.no>
deja-dup,22,0,2100,20,0,318,34,2122,1.0367577756833177,Northern Sami <se@li.org>
digikam,320,58,42501,195,38,6542,284,42879,0.7462860607756711,Northern Sami <i18n-sme@lister.ping.uio.no>
dippi,0,0,397,0,0,53,0,397,0.0,none
elementary-calculator,0,0,80,0,0,37,0,80,0.0,LANGUAGE <LL@li.org>
elementary-calendar,0,0,449,0,0,180,0,449,0.0,LANGUAGE <LL@li.org>
elementary-camera,0,0,62,0,0,16,0,62,0.0,
elementary-capnet-assist,0,0,81,0,0,13,0,81,0.0,none
elementary-screenshot-tool,0,0,132,0,0,43,0,132,0.0,LANGUAGE <LL@li.org>
elementary-shortcut-overlay,0,0,82,0,0,37,0,82,0.0,none
harvey,0,0,57,0,0,12,0,57,0.0,none
kactivitymanagerd,5,0,4,3,0,1,5,9,55.55555555555556,Northern Sami <i18n-sme@lister.ping.uio.no>
kaudiocreator,7,0,1129,4,0,269,7,1136,0.6161971830985915,Northern Sami <i18n-sme@lister.ping.uio.no>
kcoloredit,7,1,270,4,1,90,7,278,2.5179856115107913,Northern Sami <i18n-sme@lister.ping.uio.no>
kde-cli-tools,731,0,1366,112,0,104,554,2097,34.85932284215546,Northern Sami <i18n-sme@lister.ping.uio.no>
kdevelop,2,0,692,1,0,161,2,694,0.2881844380403458,Northern Sami <i18n-sme@lister.ping.uio.no>
kexi,45,0,7218,27,0,1451,42,7263,0.6195786864931847,Northern Sami <i18n-sme@lister.ping.uio.no>
kf5-kauth,0,0,73,0,0,8,0,73,0.0,Northern Sami <i18n-sme@lister.ping.uio.no>
kf5-kbookmarks,0,203,27,0,46,3,0,230,0.0,Northern Sami <i18n-sme@lister.ping.uio.no>
kf5-kcmutils,562,0,1,71,0,1,409,563,99.82238010657194,Northern Sami <i18n-sme@lister.ping.uio.no>
kf5-kcodecs,0,27,321,0,19,34,0,348,0.0,Northern Sami <i18n-sme@lister.ping.uio.no>
kf5-kcompletion,0,18,0,0,11,0,0,18,0.0,Northern Sami <i18n-sme@lister.ping.uio.no>
kf5-kconfig,0,35,226,0,4,96,0,261,0.0,Northern Sami <i18n-sme@lister.ping.uio.no>
kf5-kconfigwidgets,302,0,19,109,0,8,269,321,94.0809968847352,Northern Sami <i18n-sme@lister.ping.uio.no>
kf5-kcoreaddons,0,183,150,0,61,64,0,333,0.0,Northern Sami <i18n-sme@lister.ping.uio.no>
kf5-kdbusaddons,0,0,48,0,0,6,0,48,0.0,Northern Sami <i18n-sme@lister.ping.uio.no>
kf5-kdeclarative,70,24,15,9,1,4,53,109,64.22018348623854,Northern Sami <i18n-sme@lister.ping.uio.no>
kf5-kdelibs4support,2755,944,1114,1329,629,406,2587,4813,57.24080615001039,Northern Sami <i18n-sme@lister.ping.uio.no>
kf5-kdesignerplugin,0,53,1,0,8,1,0,54,0.0,Northern Sami <i18n-sme@lister.ping.uio.no>
kf5-kdesu,19,0,0,7,0,0,18,19,100.0,Northern Sami <i18n-sme@lister.ping.uio.no>
kf5-kdnssd,0,3,0,0,3,0,0,3,0.0,Northern Sami <i18n-sme@lister.ping.uio.no>
kf5-kdoctools,8,0,0,4,0,0,8,8,100.0,Northern Sami <i18n-sme@lister.ping.uio.no>
kf5-kglobalaccel,0,66,5,0,7,2,0,71,0.0,Northern Sami <i18n-sme@lister.ping.uio.no>
kf5-kholidays,0,0,109,0,0,77,0,109,0.0,Northern Sami <i18n-sme@lister.ping.uio.no>
kf5-khtml,1602,2,117,300,1,9,1146,1721,93.08541545613016,Northern Sami <i18n-sme@lister.ping.uio.no>
kf5-ki18n,42,68,14,42,54,14,50,124,33.87096774193548,Northern Sami <i18n-sme@lister.ping.uio.no>
kf5-kiconthemes,26,0,11,17,0,1,23,37,70.27027027027027,Northern Sami <i18n-sme@lister.ping.uio.no>
kf5-kinit,108,23,3,11,2,1,97,134,80.59701492537313,Northern Sami <i18n-sme@lister.ping.uio.no>
kf5-kio,7252,204,4730,971,57,317,5515,12186,59.51091416379452,Northern Sami <i18n-sme@lister.ping.uio.no>
kf5-kitemviews,0,6,1,0,3,1,0,7,0.0,Northern Sami <i18n-sme@lister.ping.uio.no>
kf5-kjobwidgets,0,123,0,0,36,0,0,123,0.0,Northern Sami <i18n-sme@lister.ping.uio.no>
kf5-kjsembed,242,0,6,43,0,1,214,248,97.58064516129032,Northern Sami <i18n-sme@lister.ping.uio.no>
kf5-knewstuff,561,0,129,127,0,31,457,690,81.30434782608695,Northern Sami <i18n-sme@lister.ping.uio.no>
kf5-knotifications,0,18,0,0,6,0,0,18,0.0,Northern Sami <i18n-sme@lister.ping.uio.no>
kf5-knotifyconfig,86,0,43,16,0,1,60,129,66.66666666666666,Northern Sami <i18n-sme@lister.ping.uio.no>
kf5-kparts,104,0,0,26,0,0,80,104,100.0,Northern Sami <i18n-sme@lister.ping.uio.no>
kf5-kpty,15,0,0,4,0,0,13,15,100.0,Northern Sami <i18n-sme@lister.ping.uio.no>
kf5-kross,82,18,0,29,6,0,71,100,82.0,Northern Sami <i18n-sme@lister.ping.uio.no>
kf5-kservice,98,33,39,15,9,4,78,170,57.647058823529406,Northern Sami <i18n-sme@lister.ping.uio.no>
kf5-ktexteditor,3994,126,4206,699,41,458,2981,8326,47.970213788133556,Northern Sami <i18n-sme@lister.ping.uio.no>
kf5-ktextwidgets,447,0,15,116,0,6,385,462,96.75324675324676,Northern Sami <i18n-sme@lister.ping.uio.no>
kf5-kunitconversion,766,2,4544,263,1,2002,607,5312,14.420180722891565,Northern Sami <i18n-sme@lister.ping.uio.no>
kf5-kwidgetsaddons,0,947,372,0,338,120,0,1319,0.0,Northern Sami <i18n-sme@lister.ping.uio.no>
