package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
GConf2,3832,72,50,443,11,7,3244,3954,96.91451694486595,Xhosa <xh-translate@ubuntu.com>
aisleriot,966,575,446,278,182,89,719,1987,48.61600402617011,Xhosa <xh-translate@ubuntu.com>
asunder,12,0,480,11,0,80,16,492,2.4390243902439024,http://littlesvr.ca/ostd/
atril,101,0,3741,69,0,570,115,3842,2.62883914627798,Xhosa (https://www.transifex.com/mate/teams/13566/xh/)
blueberry,19,0,129,6,0,31,16,148,12.837837837837837,Xhosa <xh@li.org>
caja,3191,0,6332,708,0,860,2688,9523,33.50834820959781,Xhosa (https://www.transifex.com/mate/teams/13566/xh/)
caja-extensions,8,0,576,7,0,128,11,584,1.36986301369863,Xhosa (https://www.transifex.com/mate/teams/13566/xh/)
calibre,51,0,158951,51,0,18197,52,159002,0.03207506823813537,Xhosa (http://www.transifex.com/calibre/calibre/language/xh/)
calligra,6210,12795,10795,1348,3085,1555,5339,29800,20.838926174496645,Xhosa <xhosa@translate.org.za>
certmonger,0,0,2831,0,0,473,0,2831,0.0,Xhosa (http://www.transifex.com/projects/p/certmonger/language/xh/)
cinnamon-desktop,127,101,6,19,10,3,99,234,54.27350427350427,translate-discuss-xh@lists.sourceforge.net
cinnamon-translations,272,0,9809,67,0,2431,231,10081,2.6981450252951094,Xhosa <xh@li.org>
coin,0,0,252,0,0,50,0,252,0.0,none
debconf,4,7,180,4,1,12,4,191,2.094240837696335,Xhosa <xh-translate@ubuntu.com>
deepin-metacity,6893,0,26,458,0,6,5119,6919,99.62422315363492,Xhosa <xh-translate@ubuntu.com>
deepin-mutter,6893,0,26,458,0,6,5119,6919,99.62422315363492,Xhosa <xh-translate@ubuntu.com>
deepin-terminal,96,0,0,18,0,0,95,96,100.0,Xhosa <xh-translate@ubuntu.com>
dippi,0,0,397,0,0,53,0,397,0.0,none
ekiga,5923,0,0,793,0,0,5027,5923,100.0,Xhosa <xh-translate@ubuntu.com>
elementary-capnet-assist,0,0,82,0,0,14,0,82,0.0,none
elementary-code,0,0,1095,0,0,247,0,1095,0.0,LANGUAGE <LL@li.org>
elementary-files,0,0,2652,0,0,531,0,2652,0.0,LANGUAGE <LL@li.org>
elementary-greeter,0,0,76,0,0,18,0,76,0.0,
elementary-music,0,0,1308,0,0,366,0,1308,0.0,LANGUAGE <LL@li.org>
elementary-photos,0,0,3910,0,0,806,0,3910,0.0,LANGUAGE <LL@li.org>
elementary-screenshot-tool,0,0,212,0,0,55,0,212,0.0,LANGUAGE <LL@li.org>
elementary-shortcut-overlay,0,0,95,0,0,39,0,95,0.0,none
elementary-sideload,0,0,224,0,0,44,0,224,0.0,none
elementary-terminal,0,0,442,0,0,90,0,442,0.0,
elementary-videos,0,0,322,0,0,86,0,322,0.0,
engrampa,793,0,7003,218,0,625,687,7796,10.17188301693176,Xhosa (https://www.transifex.com/mate/teams/13566/xh/)
eog,1140,37,412,293,7,20,993,1589,71.74323473882946,translate-discuss-xh@lists.sourceforge.net
eom,276,0,1504,103,0,239,264,1780,15.505617977528091,Xhosa (https://www.transifex.com/mate/teams/13566/xh/)
evolution,12845,2777,1580,3542,565,173,11515,17202,74.6715498197884,Xhosa <xh-translate@ubuntu.com>
evolution-data-server,4657,19,16,956,3,3,4632,4692,99.2540494458653,Xhosa <xh-translate@ubuntu.com>
file-roller,928,29,14,238,4,2,788,971,95.57157569515962,Xhosa Team <xhosa@ubuntu.com>
fonts-tweak-tool,0,0,196,0,0,65,0,196,0.0,Xhosa
gala,0,0,140,0,0,34,0,140,0.0,none
