package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
GConf2,4088,0,0,497,0,0,4700,4088,100.0,Softastur <alministradores@softastur.org>
LabPlot,0,0,6988,0,0,2084,0,6988,0.0,Asturian <kde-i18n-doc@kde.org>
Thunar,4200,0,0,738,0,0,4217,4200,100.0,Asturian (https://www.transifex.com/xfce/teams/16840/ast/)
abrt,1,0,3968,1,0,475,1,3969,0.02519526329050139,Asturian (http://www.transifex.com/projects/p/fedora-abrt/language/ast/)
accerciser,623,0,0,220,0,0,721,623,100.0,Softastur <alministradores@softastur.org>
aisleriot,2292,0,0,568,0,0,2297,2292,100.0,Softastur alministradores@softastur.org
akonadi-calendar-tools,4,0,838,2,0,171,5,842,0.4750593824228029,Asturian <alministradores@softastur.org>
akonadi-import-wizard,4,0,387,2,0,81,3,391,1.0230179028132993,Asturian <alministradores@softastur.org>
akregator,4,0,1761,2,0,424,3,1765,0.22662889518413595,Asturian <alministradores@softastur.org>
alacarte,42,0,0,16,0,0,44,42,100.0,Asturian <ast@li.org>
anaconda,198,16,6946,34,1,1166,200,7160,2.76536312849162,Asturian (http://www.transifex.com/projects/p/anaconda/language/ast/)
anjuta,7744,0,0,1973,0,0,8615,7744,100.0,Softastur <alministradores@softastur.org>
appcenter,50,2,629,9,2,136,60,681,7.342143906020558,LANGUAGE <LL@li.org>
arduino,124,0,2904,13,0,544,142,3028,4.095112285336857,Asturian (http://www.transifex.com/mbanzi/arduino-ide-15/language/ast/)
aspell,1726,0,0,293,0,0,1868,1726,100.0,Asturian <ubuntu-l10n-ast@lists.ubuntu.com>
at-spi2-core,96,0,0,14,0,0,111,96,100.0,Softastur alministradores@softastur.org
atk,398,0,0,139,0,0,457,398,100.0,Asturian <alministradores@softastur.org>
atril,1193,0,531,304,0,93,1356,1724,69.19953596287704,Asturian (http://www.transifex.com/mate/MATE/language/ast/)
audacious,351,0,417,168,0,158,417,768,45.703125,Asturian (http://www.transifex.com/jlindgren/audacious/language/ast/)
audience,0,0,106,0,0,48,0,106,0.0,
audit-viewer,611,0,0,185,0,0,661,611,100.0,LANGUAGE <LL@li.org>
authconfig,0,0,929,0,0,137,0,929,0.0,Asturian (http://www.transifex.com/projects/p/fedora/language/ast/)
baloo-widgets,43,0,372,25,0,101,42,415,10.361445783132531,Asturian <alministradores@softastur.org>
baobab,540,0,0,126,0,0,625,540,100.0,Softastur <alministradores@softastur.org>
bison,52,0,0,9,0,0,67,52,100.0,Asturian <ubuntu-l10n-ast@lists.ubuntu.com>
bleachbit,1260,0,0,267,0,0,1370,1260,100.0,Asturian <ast@li.org>
blivet-gui,0,0,762,0,0,220,0,762,0.0,Asturian
blogilo,6,0,1386,3,0,334,5,1392,0.43103448275862066,Asturian <alministradores@softastur.org>
bluedevil,5,0,551,3,0,184,4,556,0.8992805755395683,Asturian <alministradores@softastur.org>
blueman,964,0,420,259,0,83,1011,1384,69.65317919075144,Asturian (http://www.transifex.com/mate/MATE/language/ast/)
brasero,5493,0,0,971,0,0,5661,5493,100.0,Asturian <gnome@softastur.org>
bzr,105,0,33144,10,0,2343,115,33249,0.315798971397636,Asturian <ast@li.org>
caja,7069,0,2244,1262,0,248,7153,9313,75.90464941479652,Asturian (http://www.transifex.com/mate/MATE/language/ast/)
calamares,34,0,21,8,0,5,37,55,61.81818181818181,Asturian (https://www.transifex.com/calamares/teams/20061/ast/)
calibre,163,0,157138,31,0,18069,167,157301,0.10362299031792549,Asturian (http://www.transifex.com/calibre/calibre/language/ast/)
calligra,140,0,42702,83,0,9269,127,42842,0.3267821296858223,Asturian <alministradores@softastur.org>
caribou,200,0,0,60,0,0,207,200,100.0,Softastur <alministradores@softastur.org>
