package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
Thunar,4191,0,222,775,0,9,4215,4413,94.96940856560163,Interlingue (https://www.transifex.com/xfce/teams/16840/ie/)
alacarte,45,0,0,20,0,0,50,45,100.0,IE
ark,1062,175,710,272,35,54,1147,1947,54.54545454545454,Interlingue <kde-i18n-doc@kde.org>
atril,1676,0,2715,434,0,303,1830,4391,38.16898200865407,Interlingue (https://www.transifex.com/mate/teams/13566/ie/)
bleachbit,567,0,1251,202,0,150,613,1818,31.18811881188119,Interlingue <ie@li.org>
blueberry,118,0,54,31,0,8,128,172,68.6046511627907,Interlingue <ie@li.org>
bluedevil,350,104,81,154,25,12,366,535,65.42056074766354,Interlingue <kde-i18n-doc@kde.org>
bookworm,557,0,238,124,0,25,613,795,70.062893081761,Occidental <https://hosted.weblate.org/projects/bookworm/bookworm/ie/>
bottles,488,70,2893,269,27,380,579,3451,14.14082874529122,Occidental <https://hosted.weblate.org/projects/bottles/bottles/ie/>
caja,5096,0,4579,1230,0,374,5256,9675,52.671834625323,Interlingue (https://app.transifex.com/mate/teams/13566/ie/)
caja-actions,128,0,18687,78,0,1438,146,18815,0.6803082646824342,Interlingue (https://www.transifex.com/mate/teams/13566/ie/)
caja-extensions,549,0,211,120,0,25,581,760,72.23684210526315,Interlingue (https://www.transifex.com/mate/teams/13566/ie/)
calamares,111,0,381,26,0,59,142,492,22.5609756097561,Interlingue (https://app.transifex.com/calamares/teams/20061/ie/)
catfish,494,0,583,124,0,36,554,1077,45.868152274837506,Interlingue (https://www.transifex.com/xfce/teams/16840/ie/)
celluloid,592,32,986,176,10,125,658,1610,36.77018633540373,Occidental <https://hosted.weblate.org/projects/celluloid/celluloid/ie/>
cinnamon-translations,8147,0,10095,2598,0,1739,8768,18242,44.660673171801335,Interlingue <ie@li.org>
coin,0,0,252,0,0,50,0,252,0.0,none
dino,898,0,187,238,0,45,957,1085,82.76497695852535,none
dippi,0,0,1183,0,0,205,0,1183,0.0,none
engrampa,1487,0,562,335,0,93,1593,2049,72.57198633479747,Interlingue (https://app.transifex.com/mate/teams/13566/ie/)
eog,952,280,416,266,32,20,1013,1648,57.76699029126213,IE
eom,1174,0,3784,315,0,227,1278,4958,23.678902783380394,Interlingue (https://app.transifex.com/mate/teams/13566/ie/)
epiphany,1487,487,2802,543,125,194,1636,4776,31.134840871021773,Interlingue <ie@li.org>
evolution,1620,9667,18381,1078,3168,1649,1682,29668,5.460428744775515,Interlingue <ie@li.org>
exaile,2050,57,2061,806,20,266,2256,4168,49.18426103646833,Occidental <https://hosted.weblate.org/projects/exaile/master/ie/>
exo,505,0,234,120,0,25,559,739,68.33558863328822,Interlingue (http://www.transifex.com/xfce/exo/language/ie/)
filelight,161,71,30,61,23,4,175,262,61.45038167938931,kde-i18n-doc@kde.org
folder-color-switcher,51,0,14,22,0,1,49,65,78.46153846153847,Interlingue <ie@li.org>
foliate,1198,593,1425,576,186,219,1329,3216,37.25124378109453,
folks,285,101,637,51,14,59,324,1023,27.859237536656888,Interlingue <ie@li.org>
garcon,122,0,0,36,0,0,135,122,100.0,Interlingue (http://www.transifex.com/xfce/garcon/language/ie/)
gaupol,1719,0,357,563,0,51,1821,2076,82.8034682080925,Interlingue (https://app.transifex.com/otsaloma/teams/64879/ie/)
geany,1360,1598,3322,688,406,259,1514,6280,21.656050955414013,
gigolo,475,0,71,135,0,23,485,546,86.99633699633699,Interlingue (http://www.transifex.com/xfce/xfce-apps/language/ie/)
gimagereader,1165,36,616,411,14,57,1316,1817,64.11667583929554,Occidental <https://hosted.weblate.org/projects/gimagereader/translations/ie/>
glib2,122,2964,4607,90,658,463,128,7693,1.585857272845444,Deutsch <gnome-de@gnome.org>
gnome-bluetooth,212,17,89,82,4,6,228,318,66.66666666666666,
gnome-boxes,439,258,593,158,55,49,481,1290,34.031007751937985,
gnome-control-center,1358,2318,3762,801,725,404,1504,7438,18.257596127991395,IE
gnome-remote-desktop,102,27,440,9,4,13,107,569,17.926186291739896,
gnome-shell,443,948,1290,245,244,93,485,2681,16.5236851920925,IE
gnome-software,539,485,1432,248,162,139,590,2456,21.946254071661237,IE
gnome-terminal,338,691,1513,204,156,132,366,2542,13.296616837136114,IE
gnome-text-editor,720,69,260,240,15,23,816,1049,68.63679694947568,Interlingue; Occidental <None>
gnome-tweaks,396,20,102,138,5,8,476,518,76.44787644787645,Interlingue; Occidental <None>
gnote,439,687,2170,210,179,172,492,3296,13.319174757281555,IE
granite,79,0,419,39,0,79,80,498,15.863453815261044,Occidental <https://l10n.elementary.io/projects/desktop/granite/ie/>
gspell,76,0,0,31,0,0,85,76,100.0,IE
gthumb,380,1397,1831,292,493,415,414,3608,10.532150776053214,IE
gtk3,1981,6192,8544,1179,1766,991,2148,16717,11.850212358676796,kk@latin <kk@latin@li.org>
gtk4,1986,1375,773,951,424,118,2133,4134,48.040638606676346,Interlingue
gtkhash,197,16,0,57,6,0,231,213,92.48826291079813,Occidental <https://hosted.weblate.org/projects/gtkhash/translations/ie/>
gvfs,290,1217,1344,141,310,167,318,2851,10.171869519466854,Interlingue
gwenview,392,465,1140,228,138,72,440,1997,19.629444166249375,Interlingue <kde-i18n-doc@kde.org>
harvey,0,0,182,0,0,33,0,182,0.0,none
icewm,511,138,1618,333,20,173,628,2267,22.540802823114248,Occidental <https://l10n.opensuse.org/projects/icewm/icewm-1-4-branch/ie/>
isoimagewriter,95,143,206,34,27,17,107,444,21.396396396396398,Interlingue <kde-i18n-doc@kde.org>
juk,284,448,794,166,138,58,326,1526,18.610747051114025,Interlingue <kde-i18n-doc@kde.org>
kamoso,142,0,3,41,0,1,151,145,97.93103448275862,Interlingue <kde-i18n-doc@kde.org>
kate,1190,728,1803,352,209,149,1286,3721,31.980650362805697,Interlingue <kde-i18n-doc@kde.org>
kbackup,165,117,412,72,30,39,179,694,23.77521613832853,Interlingue <kde-i18n-doc@kde.org>
kcharselect,48,21,19,24,7,3,52,88,54.54545454545454,Interlingue <kde-i18n-doc@kde.org>
