package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
sugar,0,0,1625,0,0,398,0,1625,0.0,LANGUAGE <LL@li.org>
sugar-abacus,0,0,34,0,0,25,0,34,0.0,LANGUAGE <LL@li.org>
sugar-browse,0,0,189,0,0,52,0,189,0.0,LANGUAGE <LL@li.org>
sugar-calculator,1,0,870,1,0,163,1,871,0.1148105625717566,LANGUAGE <LL@li.org>
sugar-calendario,0,0,43,0,0,27,0,43,0.0,LANGUAGE <LL@li.org>
sugar-chat,1,0,54,1,0,33,1,55,1.8181818181818181,LANGUAGE <LL@li.org>
sugar-clock,0,0,59,0,0,18,0,59,0.0,LANGUAGE <LL@li.org>
sugar-deducto,0,0,109,0,0,23,0,109,0.0,LANGUAGE <LL@li.org>
sugar-finance,0,0,143,0,0,32,0,143,0.0,LANGUAGE <LL@li.org>
sugar-fototoon,0,0,77,0,0,33,0,77,0.0,LANGUAGE <LL@li.org>
sugar-fractionbounce,0,0,68,0,0,23,0,68,0.0,LANGUAGE <LL@li.org>
sugar-getiabooks,0,0,81,0,0,31,0,81,0.0,LANGUAGE <LL@li.org>
sugar-imageviewer,0,0,51,0,0,13,0,51,0.0,LANGUAGE <LL@li.org>
sugar-implode,0,0,78,0,0,21,0,78,0.0,LANGUAGE <LL@li.org>
sugar-infoslicer,0,0,236,0,0,62,0,236,0.0,LANGUAGE <LL@li.org>
sugar-jukebox,0,0,65,0,0,20,0,65,0.0,LANGUAGE <LL@li.org>
sugar-labyrinth,0,0,281,0,0,94,0,281,0.0,LANGUAGE <LL@li.org>
sugar-log,0,0,98,0,0,21,0,98,0.0,LANGUAGE <LL@li.org>
sugar-maze,0,0,7,0,0,4,0,7,0.0,LANGUAGE <LL@li.org>
sugar-measure,0,0,155,0,0,73,0,155,0.0,LANGUAGE <LL@li.org>
sugar-memorize,0,0,142,0,0,74,0,142,0.0,LANGUAGE <LL@li.org>
sugar-moon,0,0,117,0,0,33,0,117,0.0,LANGUAGE <LL@li.org>
sugar-paint,0,0,90,0,0,52,0,90,0.0,LANGUAGE <LL@li.org>
sugar-physics,0,0,48,0,0,28,0,48,0.0,LANGUAGE <LL@li.org>
sugar-pippy,0,0,109,0,0,31,0,109,0.0,LANGUAGE <LL@li.org>
sugar-read,1,0,113,1,0,41,1,114,0.8771929824561403,LANGUAGE <LL@li.org>
sugar-ruler,0,0,29,0,0,8,0,29,0.0,LANGUAGE <LL@li.org>
sugar-speak,0,0,227,0,0,74,0,227,0.0,LANGUAGE <LL@li.org>
sugar-story,0,0,24,0,0,11,0,24,0.0,LANGUAGE <LL@li.org>
sugar-terminal,0,0,15,0,0,8,0,15,0.0,LANGUAGE <LL@li.org>
sugar-toolkit,0,0,73,0,0,37,0,73,0.0,LANGUAGE <LL@li.org>
sugar-toolkit-gtk3,0,0,76,0,0,40,0,76,0.0,LANGUAGE <LL@li.org>
sugar-turtleart,0,0,3075,0,0,777,0,3075,0.0,LANGUAGE <LL@li.org>
sugar-typing-turtle,0,0,599,0,0,127,0,599,0.0,LANGUAGE <LL@li.org>
sugar-visualmatch,0,0,158,0,0,78,0,158,0.0,LANGUAGE <LL@li.org>
sugar-write,20,0,101,15,0,40,28,121,16.528925619834713,LANGUAGE <LL@li.org>
