package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
GConf2,2238,0,1779,331,0,148,1895,4017,55.71321882001493,Estonian <gnome-et@linux.ee>
LabPlot,0,1604,1497,0,847,432,0,3101,0.0,LANGUAGE <LL@li.org>
Miro,497,0,3119,202,0,447,440,3616,13.744469026548673,Estonian <et@li.org>
NetworkManager,731,0,0,157,0,0,609,731,100.0,Estonian <gnome-et@linux.ee>
Thunar,2965,400,437,552,66,55,2383,3802,77.98527091004735,Estonian <xfce-i18n@xfce.org>
WindowMaker,4763,0,71,762,0,9,4010,4834,98.53123707074887,Estonian <et@li.org>
a2ps,1469,12,0,178,1,0,1283,1481,99.18973666441595,Estonian <linux-ee@eenet.ee>
abiword,4653,0,0,1525,0,0,3813,4653,100.0,Estonian <et@li.org>
alacarte,102,0,0,37,0,0,90,102,100.0,Estonian <gnome-et@linux.ee>
amarok,13255,0,0,2509,0,0,10508,13255,100.0,Estonian <kde-et@linux.ee>
anaconda,6459,2360,1293,894,222,122,4525,10112,63.87460443037975,Estonian <et@li.org>
apcupsd,647,0,0,103,0,0,630,647,100.0,Estonian <et@li.org>
at-spi,4,0,0,2,0,0,4,4,100.0,Estonian <gnome-et@linux.ee>
atk,370,0,0,123,0,0,260,370,100.0,Estonian <gnome-et@linux.ee>
atomix,146,0,0,59,0,0,144,146,100.0,Estonian <gnome-et@linux.ee>
authconfig,871,85,142,183,10,24,692,1098,79.32604735883424,Estonian <Eesti>
autorun,303,4,0,39,1,0,251,307,98.69706840390879,Estonian <Eesti>
balsa,2376,971,2001,717,235,335,2133,5348,44.42782348541511,<gnome-et@linux.ee>
bison,835,39,14,139,5,6,744,888,94.03153153153153,Estonian <et@li.org>
bittorrent,363,0,3543,129,0,505,355,3906,9.293394777265746,LANGUAGE <LL@li.org>
bug-buddy,949,0,0,87,0,0,766,949,100.0,Estonian <gnome-et@linux.ee>
chkconfig,417,13,0,86,2,0,357,430,96.97674418604652,Estonian <et@li.org>
contacts,93,17,11,40,6,9,85,121,76.85950413223141,Estonian <et-gnome@linux.ee>
control-center,3244,0,502,786,0,51,2662,3746,86.59903897490658,Estonian <gnome-et@linux.ee>
coreutils,14377,1275,330,1155,37,16,12246,15982,89.95745213365036,Estonian <et@li.org>
cups,4279,71,10,681,11,2,3939,4360,98.14220183486239,Estonian <et@li.org>
