package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
avahi,0,0,868,0,0,168,0,868,0.0,Acoli (http://www.transifex.com/lennart/avahi/language/ach/)
initial-setup,0,0,33,0,0,7,0,33,0.0,Acoli (http://www.transifex.com/projects/p/initial-setup/language/ach/)
iso-codes,264,6,719,211,3,211,293,989,26.693629929221434,Acholi <https://hosted.weblate.org/projects/iso-codes/iso-3166-1/ach/>
python-django-rest-framework,0,0,582,0,0,101,0,582,0.0,Acoli (http://www.transifex.com/django-rest-framework-1/django-rest-framework/language/ach/)
python-meh,0,0,109,0,0,23,0,109,0.0,Acoli (http://www.transifex.com/projects/p/python-meh/language/ach/)
sugar,2305,0,0,529,0,0,2929,2305,100.0,LANGUAGE <LL@li.org>
sugar-abacus,28,0,0,23,0,0,38,28,100.0,LANGUAGE <LL@li.org>
sugar-browse,331,0,3,70,0,1,385,334,99.10179640718563,LANGUAGE <LL@li.org>
sugar-calculator,866,0,0,169,0,0,936,866,100.0,LANGUAGE <LL@li.org>
sugar-chat,137,0,0,81,0,0,181,137,100.0,LANGUAGE <LL@li.org>
sugar-clock,66,0,0,21,0,0,65,66,100.0,LANGUAGE <LL@li.org>
sugar-colordeducto,109,0,0,23,0,0,118,109,100.0,LANGUAGE <LL@li.org>
sugar-deducto,107,0,0,23,0,0,122,107,100.0,LANGUAGE <LL@li.org>
sugar-dimensions,176,0,0,87,0,0,228,176,100.0,LANGUAGE <LL@li.org>
sugar-distance,99,0,0,26,0,0,130,99,100.0,LANGUAGE <LL@li.org>
sugar-finance,258,0,0,63,0,0,314,258,100.0,LANGUAGE <LL@li.org>
sugar-flipsticks,151,0,0,45,0,0,194,151,100.0,LANGUAGE <LL@li.org>
sugar-imageviewer,58,0,0,16,0,0,66,58,100.0,LANGUAGE <LL@li.org>
sugar-implode,77,0,0,20,0,0,85,77,100.0,LANGUAGE <LL@li.org>
sugar-log,98,0,0,21,0,0,115,98,100.0,LANGUAGE <LL@li.org>
sugar-maze,7,0,0,4,0,0,14,7,100.0,LANGUAGE <LL@li.org>
sugar-memorize,142,0,0,74,0,0,187,142,100.0,LANGUAGE <LL@li.org>
sugar-physics,48,0,0,28,0,0,58,48,100.0,LANGUAGE <LL@li.org>
sugar-pippy,282,0,0,68,0,0,318,282,100.0,LANGUAGE <LL@li.org>
sugar-read,137,0,0,50,0,0,145,137,100.0,LANGUAGE <LL@li.org>
sugar-record,62,0,0,24,0,0,83,62,100.0,LANGUAGE <LL@li.org>
sugar-speak,227,0,0,74,0,0,309,227,100.0,LANGUAGE <LL@li.org>
sugar-stopwatch,5,0,0,5,0,0,6,5,100.0,LANGUAGE <LL@li.org>
sugar-story,71,0,0,17,0,0,72,71,100.0,LANGUAGE <LL@li.org>
sugar-terminal,121,0,0,26,0,0,136,121,100.0,LANGUAGE <LL@li.org>
sugar-toolkit-gtk3,213,0,0,123,0,0,331,213,100.0,LANGUAGE <LL@li.org>
sugar-view-slides,60,0,0,23,0,0,87,60,100.0,LANGUAGE <LL@li.org>
sugar-write,121,0,0,55,0,0,154,121,100.0,LANGUAGE <LL@li.org>
sugar-xoeditor,29,0,0,7,0,0,31,29,100.0,LANGUAGE <LL@li.org>
sugar-yupana,30,0,0,16,0,0,49,30,100.0,LANGUAGE <LL@li.org>
supertux,0,0,63,0,0,17,0,63,0.0,Acoli (https://www.transifex.com/arctic-games/teams/95/ach/)
vlc,2134,18,32627,879,7,5399,2814,34779,6.135886598234567,Acoli (https://app.transifex.com/yaron/teams/16553/ach/)
