package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
abrt,0,0,3230,0,0,390,0,3230,0.0,Wolof (http://www.transifex.com/projects/p/fedora-abrt/language/wo/)
asunder,4,0,476,4,0,83,6,480,0.8333333333333334,http://littlesvr.ca/ostd/
ccsm,399,50,100,101,12,22,424,549,72.6775956284153,Wolof
certmonger,0,0,1669,0,0,270,0,1669,0.0,Wolof (http://www.transifex.com/projects/p/certmonger/language/wo/)
debconf,189,0,2,16,0,1,207,191,98.95287958115183,Wolof <debian-boot@lists.debian.org>
initial-setup,0,0,85,0,0,18,0,85,0.0,Wolof (http://www.transifex.com/projects/p/initial-setup/language/wo/)
iso-codes,1039,47,24,436,13,6,1062,1110,93.6036036036036,Wolof
isomaster,8,1,665,7,1,99,9,674,1.1869436201780417,http://littlesvr.ca/ostd/
klavaro,1903,0,9,229,0,3,2164,1912,99.52928870292888,Wolof <wo@li.org>
libreport,0,0,3501,0,0,452,0,3501,0.0,Wolof (http://www.transifex.com/projects/p/libreport/language/wo/)
mingw-libvirt-glib,0,0,138,0,0,29,0,138,0.0,Wolof (http://www.transifex.com/projects/p/libvirt-glib/language/wo/)
newt,4,0,0,4,0,0,4,4,100.0,Wolof
olpc-switch-desktop,0,0,158,0,0,14,0,158,0.0,LANGUAGE <LL@li.org>
oscap-anaconda-addon,0,0,194,0,0,37,0,194,0.0,Wolof (http://www.transifex.com/projects/p/oscap-anaconda-addon/language/wo/)
policycoreutils,0,0,7678,0,0,1078,0,7678,0.0,Wolof (http://www.transifex.com/projects/p/fedora/language/wo/)
pykickstart,0,0,448,0,0,50,0,448,0.0,Wolof (http://www.transifex.com/projects/p/pykickstart/language/wo/)
python-meh,0,0,109,0,0,23,0,109,0.0,Wolof (http://www.transifex.com/projects/p/python-meh/language/wo/)
sugar,0,0,1625,0,0,398,0,1625,0.0,LANGUAGE <LL@li.org>
sugar-browse,0,0,189,0,0,52,0,189,0.0,LANGUAGE <LL@li.org>
system-config-kickstart,0,0,1144,0,0,253,0,1144,0.0,Wolof (http://www.transifex.com/projects/p/system-config-kickstart/language/wo/)
tuxpaint,1591,0,0,291,0,0,1749,1591,100.0,
tuxtype2,71,0,9,32,0,8,87,80,88.75,
vidalia,0,0,10377,0,0,1301,0,10377,0.0,LANGUAGE <LL@li.org>
virt-viewer,0,0,692,0,0,148,0,692,0.0,Wolof (http://www.transifex.com/projects/p/virt-viewer/language/wo/)
