package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
GConf2,40,9,3905,19,2,440,40,3954,1.0116337885685383,Amharic <locales@geez.org>
Thunar,3,0,4146,3,0,733,3,4149,0.07230657989877079,
abrt,0,0,2722,0,0,328,0,2722,0.0,Amharic (http://www.transifex.com/projects/p/fedora/language/am/)
adwaita-icon-theme,21,7,24,21,3,22,21,52,40.38461538461539,Amharic <locales@geez.org>
aisleriot,41,166,1780,27,79,443,39,1987,2.06341217916457,Amharic <locales@geez.org>
anaconda,96,0,6482,23,0,1074,84,6578,1.459410155062329,Amharic (http://www.transifex.com/projects/p/anaconda/language/am/)
atk,24,53,298,24,26,76,28,375,6.4,Amharic <locales@geez.org>
atomix,46,0,79,26,0,18,61,125,36.8,Amharic <locales@geez.org>
atril,963,0,683,319,0,70,935,1646,58.505467800729036,Amharic (http://www.transifex.com/projects/p/MATE/language/am/)
balsa,367,469,4512,231,200,856,481,5348,6.862378459237098,Amharic <locales@geez.org>
baobab,6,35,499,6,16,104,10,540,1.1111111111111112,Amharic <locales@geez.org>
blueman,206,0,1240,113,0,238,225,1446,14.246196403872752,Amharic (http://www.transifex.com/projects/p/MATE/language/am/)
caja,2473,0,6750,772,0,721,2352,9223,26.813401279410172,Amharic (http://www.transifex.com/projects/p/MATE/language/am/)
caja-extensions,271,0,268,92,0,30,266,539,50.278293135435995,Amharic (http://www.transifex.com/projects/p/MATE/language/am/)
calibre,151,0,144262,147,0,16829,147,144413,0.10456122371254667,Amharic (http://www.transifex.com/projects/p/calibre/language/am/)
camorama,24,0,445,18,0,96,29,469,5.11727078891258,Amharic <locales@geez.org>
certmonger,0,0,1669,0,0,270,0,1669,0.0,Amharic (http://www.transifex.com/projects/p/certmonger/language/am/)
cinnamon-control-center,521,88,704,521,69,166,543,1313,39.68012185833968,Amharic <am-translate@geez.org>
cinnamon-desktop,0,0,231,0,0,31,0,231,0.0,Amharic <locales@geez.org>
cinnamon-session,1,31,400,1,12,62,1,432,0.23148148148148145,Amharic <locales@geez.org>
cinnamon-settings-daemon,3,60,971,3,27,141,5,1034,0.2901353965183753,Amharic <locales@geez.org>
cinnamon-translations,8763,0,4550,2515,0,731,8449,13313,65.82287989183506,Amharic <am@li.org>
compat-gtkhtml314,246,126,577,168,82,175,341,949,25.922023182297156,Amharic <locales@geez.org>
console-setup,401,169,411,126,11,36,335,981,40.87665647298675,Amharic <linux-ethiopia@googlegroups.com>
control-center,681,399,3618,632,237,624,722,4698,14.495530012771393,Amharic <am-translate@geez.org>
devhelp,6,4,199,6,2,43,10,209,2.8708133971291865,Amharic <locales@geez.org>
dia,355,534,4822,248,289,1509,395,5711,6.216074242689547,Amharic <locales@geez.org>
dnf-plugin-system-upgrade,0,0,203,0,0,35,0,203,0.0,Amharic
drwright,1,3,187,1,1,27,1,191,0.5235602094240838,Amharic <locales@geez.org>
ekiga,193,0,3622,119,0,446,214,3815,5.058977719528178,Amharic <locales@geez.org>
engrampa,305,0,1367,136,0,181,303,1672,18.241626794258373,Amharic (http://www.transifex.com/projects/p/MATE/language/am/)
entangle,0,0,934,0,0,209,0,934,0.0,Amharic
eog,80,94,383,30,42,78,68,557,14.362657091561939,Amharic <locales@geez.org>
eom,460,0,1271,193,0,134,468,1731,26.57423454650491,Amharic (http://www.transifex.com/projects/p/MATE/language/am/)
epiphany,288,522,1922,197,251,317,350,2732,10.54172767203514,Amharic <locales@geez.org>
