package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
4Pane,580,0,11995,279,0,1597,594,12575,4.612326043737575,Arabic (http://www.transifex.com/davidgh/4Pane/language/ar/)
GConf2,3940,91,4,474,9,1,3574,4035,97.64560099132589,Arabic <doc@arabeyes.org>
NetworkManager,2,676,23638,2,174,1919,2,24316,0.008225037012666556,Arabic <doc@arabeyes.org>
NetworkManager-fortisslvpn,1,0,322,1,0,59,1,323,0.30959752321981426,Arabic <doc@arabeyes.org>
NetworkManager-l2tp,38,0,1101,26,0,152,47,1139,3.336259877085163,Arabic <doc@arabeyes.org>
NetworkManager-libreswan,5,42,418,3,12,61,6,465,1.0752688172043012,Arabic <doc@arabeyes.org>
NetworkManager-openconnect,48,0,3016,10,0,539,51,3064,1.5665796344647518,Arabic (http://www.transifex.com/projects/p/meego/language/ar/)
NetworkManager-openvpn,33,97,919,10,37,122,34,1049,3.145853193517636,Arabic <doc@arabeyes.org>
NetworkManager-pptp,11,55,46,7,16,18,13,112,9.821428571428571,Arabic <doc@arabeyes.org>
NetworkManager-ssh,19,41,226,5,16,48,19,286,6.643356643356643,Arabic <doc@arabeyes.org>
NetworkManager-sstp,11,55,46,7,16,18,13,112,9.821428571428571,Arabic <doc@arabeyes.org>
NetworkManager-vpnc,89,12,32,16,6,11,92,133,66.9172932330827,Arabic <doc@arabeyes.org>
PackageKit,0,0,1328,0,0,326,0,1328,0.0,Arabic (http://www.transifex.com/projects/p/freedesktop/language/ar/)
Thunar,4350,0,59,754,0,8,4541,4409,98.66182807892946,Arabic (https://www.transifex.com/xfce/teams/16840/ar/)
Zim,2369,56,515,587,17,86,2303,2940,80.57823129251702,Arabic <https://hosted.weblate.org/projects/zim/master/ar/>
abrt,147,3,3526,14,1,402,127,3676,3.998911860718172,Arabic <https://translate.fedoraproject.org/projects/abrt/abrt/ar/>
accerciser,535,0,0,205,0,0,509,535,100.0,Arabic <doc@arabeyes.org>
accountsservice,59,0,0,10,0,0,53,59,100.0,Arabic (http://www.transifex.com/freedesktop/accountsservice/language/ar/)
aisleriot,1751,138,98,495,28,26,1524,1987,88.12279818822346,Arabic <doc@arabeyes.org>
