package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
gtkspell3,10,0,6,5,0,2,10,16,62.5,Songhai <LL@li.org>
iso-codes,261,2,719,211,1,208,265,982,26.578411405295316,Songhai languages <https://hosted.weblate.org/projects/iso-codes/iso-3166-1/son/>
mingw-gtkspell3,10,0,6,5,0,2,10,16,62.5,Songhai <LL@li.org>
sugar,326,57,1922,66,49,414,305,2305,14.143167028199565,LANGUAGE <LL@li.org>
sugar-abacus,23,0,5,18,0,5,23,28,82.14285714285714,LANGUAGE <LL@li.org>
sugar-browse,4,17,313,2,13,56,3,334,1.1976047904191618,LANGUAGE <LL@li.org>
sugar-clock,0,0,66,0,0,21,0,66,0.0,LANGUAGE <LL@li.org>
sugar-distance,0,1,98,0,1,25,0,99,0.0,LANGUAGE <LL@li.org>
sugar-finance,0,6,252,0,6,57,0,258,0.0,LANGUAGE <LL@li.org>
sugar-fototoon,97,0,42,35,0,13,92,139,69.7841726618705,LANGUAGE <LL@li.org>
sugar-getiabooks,0,10,140,0,10,24,0,150,0.0,LANGUAGE <LL@li.org>
sugar-implode,0,7,70,0,7,13,0,77,0.0,LANGUAGE <LL@li.org>
sugar-infoslicer,0,5,231,0,5,57,0,236,0.0,LANGUAGE <LL@li.org>
sugar-labyrinth,44,9,228,26,6,62,46,281,15.658362989323843,LANGUAGE <LL@li.org>
sugar-maze,7,0,0,4,0,0,7,7,100.0,LANGUAGE <LL@li.org>
sugar-memorize,1,0,141,1,0,73,1,142,0.7042253521126761,LANGUAGE <LL@li.org>
sugar-portfolio,0,0,73,0,0,25,0,73,0.0,LANGUAGE <LL@li.org>
sugar-ruler,0,0,29,0,0,8,0,29,0.0,LANGUAGE <LL@li.org>
sugar-speak,1,0,226,1,0,73,1,227,0.4405286343612335,LANGUAGE <LL@li.org>
sugar-stopwatch,5,0,0,5,0,0,5,5,100.0,LANGUAGE <LL@li.org>
sugar-toolkit-gtk3,161,0,52,112,0,11,180,213,75.5868544600939,LANGUAGE <LL@li.org>
sugar-visualmatch,0,0,158,0,0,78,0,158,0.0,LANGUAGE <LL@li.org>
sugar-words,3,0,0,3,0,0,3,3,100.0,LANGUAGE <LL@li.org>
tuxpaint,1584,54,24,295,5,5,1570,1662,95.30685920577618,Songhay Localization Team
