package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
sugar-abacus,28,0,6,24,0,1,32,34,82.35294117647058,LANGUAGE <LL@li.org>
sugar-browse,81,0,53,35,0,6,113,134,60.447761194029844,LANGUAGE <LL@li.org>
sugar-calculator,844,0,27,163,0,1,983,871,96.90011481056257,LANGUAGE <LL@li.org>
sugar-chat,50,0,2,33,0,1,63,52,96.15384615384616,LANGUAGE <LL@li.org>
sugar-clock,36,2,21,15,2,1,696,59,61.016949152542374,LANGUAGE <LL@li.org>
sugar-deducto,0,0,109,0,0,23,0,109,0.0,LANGUAGE <LL@li.org>
sugar-finance,139,0,28,28,0,14,163,167,83.23353293413174,LANGUAGE <LL@li.org>
sugar-fototoon,14,2,61,10,2,21,20,77,18.181818181818183,LANGUAGE <LL@li.org>
sugar-fractionbounce,0,0,68,0,0,23,0,68,0.0,LANGUAGE <LL@li.org>
sugar-getiabooks,81,0,0,31,0,0,112,81,100.0,LANGUAGE <LL@li.org>
sugar-imageviewer,51,0,0,13,0,0,68,51,100.0,LANGUAGE <LL@li.org>
sugar-implode,78,0,0,21,0,0,89,78,100.0,LANGUAGE <LL@li.org>
sugar-infoslicer,184,0,0,56,0,0,257,184,100.0,LANGUAGE <LL@li.org>
sugar-jukebox,8,0,57,6,0,14,16,65,12.307692307692308,LANGUAGE <LL@li.org>
sugar-labyrinth,254,0,27,93,0,1,430,281,90.39145907473309,LANGUAGE <LL@li.org>
sugar-log,77,0,17,19,0,1,96,94,81.91489361702128,LANGUAGE <LL@li.org>
sugar-measure,76,30,49,40,6,27,126,155,49.03225806451613,LANGUAGE <LL@li.org>
sugar-memorize,68,8,64,51,7,15,83,140,48.57142857142857,LANGUAGE <LL@li.org>
sugar-moon,91,0,26,32,0,1,127,117,77.77777777777779,LANGUAGE <LL@li.org>
sugar-paint,60,0,28,46,0,5,91,88,68.18181818181817,LANGUAGE <LL@li.org>
sugar-physics,28,0,20,27,0,1,32,48,58.333333333333336,LANGUAGE <LL@li.org>
sugar-pippy,109,0,0,31,0,0,169,109,100.0,LANGUAGE <LL@li.org>
sugar-portfolio,29,6,18,13,3,3,44,53,54.71698113207547,LANGUAGE <LL@li.org>
sugar-read,55,0,53,29,0,11,80,108,50.92592592592593,LANGUAGE <LL@li.org>
sugar-ruler,4,0,25,4,0,4,6,29,13.793103448275861,LANGUAGE <LL@li.org>
sugar-speak,127,0,90,65,0,7,164,217,58.525345622119815,LANGUAGE <LL@li.org>
sugar-story,17,4,3,9,1,1,26,24,70.83333333333334,LANGUAGE <LL@li.org>
sugar-terminal,17,0,0,9,0,0,18,17,100.0,LANGUAGE <LL@li.org>
sugar-turtleart,2163,87,675,592,19,139,3199,2925,73.94871794871794,LANGUAGE <LL@li.org>
sugar-typing-turtle,575,0,0,126,0,0,706,575,100.0,LANGUAGE <LL@li.org>
sugar-visualmatch,131,0,27,70,0,8,205,158,82.91139240506328,LANGUAGE <LL@li.org>
sugar-write,80,0,0,47,0,0,92,80,100.0,LANGUAGE <LL@li.org>
