package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
GConf2,4035,0,0,484,0,0,3566,4035,100.0,Kannada <en@li.org>
NetworkManager,4699,3420,16197,757,537,801,4247,24316,19.324724461260075,Kannada <kde-i18n-doc@kde.org>
NetworkManager-fortisslvpn,6,20,297,4,8,48,7,323,1.8575851393188854,Kannada <en@li.org>
NetworkManager-l2tp,79,0,1063,34,0,145,82,1142,6.917688266199649,Kannada <en@li.org>
NetworkManager-openconnect,34,5,3202,9,2,585,36,3241,1.0490589324282629,Kannada <en@li.org>
NetworkManager-openvpn,125,156,768,49,19,101,123,1049,11.916110581506196,Kannada <en@li.org>
NetworkManager-pptp,118,0,0,43,0,0,117,118,100.0,Kannada <en@li.org>
NetworkManager-ssh,37,36,213,16,13,40,33,286,12.937062937062937,Kannada <en@li.org>
NetworkManager-sstp,118,0,0,43,0,0,117,118,100.0,Kannada <en@li.org>
NetworkManager-vpnc,139,0,0,36,0,0,124,139,100.0,Kannada <en@li.org>
PackageKit,877,0,405,239,0,82,772,1282,68.40873634945397,Kannada (http://www.transifex.com/freedesktop/packagekit/language/kn/)
abrt,2126,111,1439,271,16,130,1930,3676,57.83460282916213,Kannada (http://www.transifex.com/projects/p/fedora-abrt/language/kn/)
accerciser,186,33,321,122,11,74,189,540,34.44444444444444,debian-l10n-kannada@lists.debian.org
accountsservice,0,0,59,0,0,10,0,59,0.0,Kannada (http://www.transifex.com/freedesktop/accountsservice/language/kn/)
aisleriot,2806,0,0,612,0,0,2129,2806,100.0,Kannada <en@li.org>
alacarte,42,0,0,16,0,0,38,42,100.0,Kannada <en@li.org>
anaconda,3732,100,3926,747,13,526,3373,7758,48.10518174787317,Kannada (http://www.transifex.com/projects/p/anaconda/language/kn/)
anjuta,4909,700,829,1469,95,173,4428,6438,76.25038831935383,Kannada <en@li.org>
arandr,171,2,0,36,2,0,153,173,98.84393063583815,Kannada <https://hosted.weblate.org/projects/arandr/translations/kn/>
at-spi2-core,122,0,0,18,0,0,123,122,100.0,Kannada <kn@li.org>
atk,398,0,0,139,0,0,353,398,100.0,Kannada <en@li.org>
atomix,125,0,0,44,0,0,113,125,100.0,Kannada <LL@li.org>
atril,1228,0,2618,365,0,276,1091,3846,31.929277171086845,Kannada (https://www.transifex.com/mate/teams/13566/kn/)
avogadro,125,0,6482,110,0,2262,221,6607,1.8919327985469956,Kannada <kn@li.org>
avogadro2,9,12,441,6,7,136,54,462,1.948051948051948,Kannada <kn@li.org>
avogadro2-libs,73,31,2545,71,20,737,137,2649,2.7557568893922237,Kannada <kn@li.org>
baobab,210,0,0,57,0,0,187,210,100.0,Kannada <kde-i18n-doc@kde.org>
blueberry,26,0,136,12,0,24,23,162,16.049382716049383,Kannada <kn@li.org>
bookworm,0,0,795,0,0,149,0,795,0.0,
brasero,5546,0,0,968,0,0,4614,5546,100.0,American English <kde-i18n-doc@kde.org>
caja,6887,0,2738,1275,0,320,5626,9625,71.55324675324675,Kannada (https://www.transifex.com/mate/teams/13566/kn/)
caja-actions,1574,0,0,173,0,0,1247,1574,100.0,Kannada <en@li.org>
caja-extensions,102,3,566,38,3,105,103,671,15.201192250372578,Kannada (https://www.transifex.com/mate/teams/13566/kn/)
calamares,0,0,443,0,0,84,0,443,0.0,Kannada (https://www.transifex.com/calamares/teams/20061/kn/)
calibre,6438,0,154536,5453,0,13026,6437,160974,3.9994036303999407,Kannada (http://www.transifex.com/calibre/calibre/language/kn/)
caribou,171,0,0,57,0,0,156,171,100.0,Kannada <kn@li.org>
cheese,613,0,0,120,0,0,502,613,100.0,RHEL7_Tier1 <kde-i18n-doc@kde.org>
chkconfig,503,0,52,94,0,9,464,555,90.63063063063062,Kannada (http://www.transifex.com/projects/p/fedora/language/kn/)
