package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
CableSwig,0,1025,115,0,170,23,0,1140,0.0,Kinyarwanda <translation-team-rw@lists.sourceforge.net>
GConf2,3,3832,119,3,428,30,3,3954,0.07587253414264036,Kinyarwanda <translation-team-rw@lists.sourceforge.net>
NetworkManager,3,310,61,5,45,18,3,374,0.8021390374331552,Kinyarwanda <translation-team-rw@lists.sourceforge.net>
aisleriot,5,1326,656,5,323,221,5,1987,0.25163563160543534,Kinyarwanda <translation-team-rw@lists.sourceforge.net>
alleyoop,6,302,34,6,59,22,6,342,1.7543859649122806,Kinyarwanda <translation-team-rw@lists.sourceforge.net>
anjuta,238,5794,1037,213,1255,473,249,7069,3.366812844815391,Kinyarwanda <translation-team-rw@lists.sourceforge.net>
arm-gp2x-linux-gcc,0,27836,13207,0,4326,1766,0,41043,0.0,Kinyarwanda <translation-team-rw@lists.sourceforge.net>
aspell,20,1591,115,18,248,27,23,1726,1.1587485515643106,Kinyarwanda <translation-team-rw@lists.sourceforge.net>
at-spi,0,4,0,0,2,0,0,4,0.0,Kinyarwanda <translation-team-rw@lists.sourceforge.net>
atk,5,299,71,5,85,36,5,375,1.3333333333333335,Kinyarwanda <translation-team-rw@lists.sourceforge.net>
avr-binutils,12,11095,17548,8,1640,2903,13,28655,0.04187750828825685,Kinyarwanda <translation-team-rw@lists.sourceforge.net>
avr-gdb,2,3879,217,1,508,83,2,4098,0.04880429477794046,Kinyarwanda <translation-team-rw@lists.sourceforge.net>
bakery,4,63,5,4,14,2,6,72,5.555555555555555,Kinyarwanda <translation-team-rw@lists.sourceforge.net>
balsa,136,4605,607,106,906,275,145,5348,2.543006731488407,Kinyarwanda <translation-team-rw@lists.sourceforge.net>
baobab,2,141,397,2,47,77,2,540,0.3703703703703704,Kinyarwanda <translation-team-rw@lists.sourceforge.net>
binutils,12,11095,17548,8,1640,2903,13,28655,0.04187750828825685,Kinyarwanda <translation-team-rw@lists.sourceforge.net>
calibre,367,0,10129,332,0,7375,369,10496,3.4965701219512195,Kinyarwanda <translation-team-rw@lists.sourceforge.net>
camorama,9,504,46,10,95,28,10,559,1.6100178890876566,Kinyarwanda <translation-team-rw@lists.sourceforge.net>
compat-gcc-34,10,30175,694,6,4468,226,10,30879,0.03238446840895107,Kinyarwanda <translation-team-rw@lists.sourceforge.net>
compat-gtkhtml314,82,717,150,73,268,84,94,949,8.640674394099051,Kinyarwanda <translation-team-rw@lists.sourceforge.net>
compat-libgda,67,2006,220,57,322,99,74,2293,2.921936327954645,Kinyarwanda <translation-team-rw@lists.sourceforge.net>
conglomerate,100,2846,3371,77,445,616,111,6317,1.5830299192654742,Kinyarwanda <translation-team-rw@lists.sourceforge.net>
control-center,63,2800,522,60,474,203,64,3385,1.861152141802068,Kinyarwanda <translation-team-rw@lists.sourceforge.net>
