package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
ailurus,0,0,8446,0,0,1107,0,8446,0.0,none
appcenter,0,0,681,0,0,147,0,681,0.0,LANGUAGE <LL@li.org>
atril,19,0,1705,10,0,387,26,1724,1.1020881670533642,Javanese (http://www.transifex.com/mate/MATE/language/jv/)
audience,0,0,106,0,0,48,0,106,0.0,
backintime,13,0,1970,6,0,330,19,1983,0.6555723651033787,Javanese <jv@li.org>
calibre,87,0,157214,15,0,18085,77,157301,0.05530797642735901,Javanese (http://www.transifex.com/calibre/calibre/language/jv/)
cinnamon-translations,2007,0,16640,582,0,3143,1934,18647,10.763125435726927,Javanese <jv@li.org>
dippi,0,0,397,0,0,53,0,397,0.0,none
edgar,1,0,11473,1,0,1534,1,11474,0.008715356458079134,Javanese <jv@li.org>
engrampa,12,0,1928,4,0,350,18,1940,0.6185567010309279,Javanese (http://www.transifex.com/mate/MATE/language/jv/)
eom,5,0,1712,4,0,314,10,1717,0.29120559114735,Javanese (http://www.transifex.com/mate/MATE/language/jv/)
gmpc,23,0,1455,17,0,491,48,1478,1.5561569688768606,Javanese <jv@li.org>
gnome-do,29,0,583,15,0,129,29,612,4.738562091503268,Javanese <jv@li.org>
harvey,0,0,57,0,0,12,0,57,0.0,none
islamic-menus,5,0,0,2,0,0,7,5,100.0,Javanese <jv@li.org>
isomaster,11,1,662,10,1,96,10,674,1.6320474777448073,http://littlesvr.ca/ostd/
jmol,155,8,1555,58,4,511,159,1718,9.022118742724098,Javanese <jv@li.org>
libmatekbd,1,0,250,1,0,42,1,251,0.398406374501992,Javanese (http://www.transifex.com/mate/MATE/language/jv/)
libmatemixer,3,0,239,2,0,124,3,242,1.2396694214876034,Javanese (http://www.transifex.com/mate/MATE/language/jv/)
libmateweather,2,0,497,2,0,181,2,499,0.4008016032064128,Javanese (http://www.transifex.com/mate/MATE/language/jv/)
libreoffice,2435,384,97140,1166,383,29937,2561,99959,2.4359987594913917,LANGUAGE <LL@li.org>
lightdm,0,0,84,0,0,4,0,84,0.0,Javanese <jv@li.org>
marco,7,0,4082,2,0,412,7,4089,0.17119100024455858,Javanese (http://www.transifex.com/mate/MATE/language/jv/)
mate-applets,8,0,2412,7,0,552,15,2420,0.3305785123966942,Javanese (http://www.transifex.com/mate/MATE/language/jv/)
mate-control-center,7,0,2723,7,0,641,13,2730,0.2564102564102564,Javanese (http://www.transifex.com/mate/MATE/language/jv/)
mate-desktop,471,0,1875,65,0,265,432,2346,20.076726342710998,Javanese (http://www.transifex.com/mate/MATE/language/jv/)
