package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
GConf2,4024,0,0,485,0,0,4546,4024,100.0,Romanian Gnome Team <gnomero-list@lists.sourceforge.net>
NetworkManager-fortisslvpn,6,20,297,4,8,48,6,323,1.8575851393188854,Romanian Gnome Team <gnomero-list@lists.sourceforge.net>
NetworkManager-l2tp,122,0,1020,43,0,136,137,1142,10.683012259194395,Romanian Gnome Team <gnomero-list@lists.sourceforge.net>
NetworkManager-openconnect,54,5,3182,16,2,578,54,3241,1.666152422091947,Romanian Gnome Team <gnomero-list@lists.sourceforge.net>
NetworkManager-openvpn,147,165,737,52,21,96,156,1049,14.013346043851287,Gnome Romanian Translation Team
NetworkManager-pptp,144,0,0,44,0,0,161,144,100.0,Romanian Gnome Team <gnomero-list@lists.sourceforge.net>
NetworkManager-ssh,39,43,204,17,14,38,40,286,13.636363636363635,Romanian Gnome Team <gnomero-list@lists.sourceforge.net>
NetworkManager-sstp,144,0,0,44,0,0,161,144,100.0,Romanian Gnome Team <gnomero-list@lists.sourceforge.net>
NetworkManager-vpnc,156,0,0,41,0,0,171,156,100.0,Romanian Gnome Team <gnomero-list@lists.sourceforge.net>
PackageKit,931,0,351,247,0,74,1057,1282,72.62090483619345,Romanian (http://www.transifex.com/freedesktop/packagekit/language/ro/)
Thunar,4117,0,292,710,0,52,4215,4409,93.37718303470174,Romanian (https://www.transifex.com/xfce/teams/16840/ro/)
WindowMaker,530,0,99,95,0,19,575,629,84.26073131955485,Romanian
Zim,2253,52,635,563,15,112,2443,2940,76.63265306122449,Romanian <ro@li.org>
abattis-cantarell-fonts,27,0,0,3,0,0,28,27,100.0,Gnome Romanian Translation Team
accerciser,535,0,0,205,0,0,552,535,100.0,Romanian <gnomero-list@lists.sourceforge.net>
accountsservice,0,0,59,0,0,10,0,59,0.0,Romanian (http://www.transifex.com/freedesktop/accountsservice/language/ro/)
aisleriot,3093,0,0,686,0,0,2865,3093,100.0,Gnome Romanian Translation Team
akonadi-calendar-tools,31,4,448,19,2,88,31,483,6.418219461697723,Romanian <kde-i18n-ro@kde.org>
akonadi-import-wizard,235,73,83,57,17,9,274,391,60.10230179028133,Romanian <kde-i18n-ro@kde.org>
akregator,1142,184,460,331,50,51,1199,1786,63.941769316909294,Romanian <kde-i18n-ro@kde.org>
alacarte,42,0,0,16,0,0,43,42,100.0,Gnome Romanian Team <gnomero-list@lists.sourceforge.net>
alleyoop,348,0,3,91,0,1,381,351,99.14529914529915,Romanian Gnome Team <gnomero-list@lists.sourceforge.net>
almanah,772,0,0,153,0,0,848,772,100.0,Romanian Gnome Team <gnomero-list@lists.sourceforge.net>
amarok,7710,1823,6286,2113,281,386,8641,15819,48.73885833491371,Romanian <kde-i18n-ro@kde.org>
amtk,11,0,0,3,0,0,11,11,100.0,Romanian <gnomero-list@lists.sourceforge.net>
anaconda,6055,221,1482,1076,20,190,6574,7758,78.04846609951018,Romanian <https://translate.fedoraproject.org/projects/anaconda/f32/ro/>
anjuta,7229,729,11167,1901,143,751,7831,19125,37.79869281045752,Gnome Romanian Translation Team
apt,2478,1081,1844,405,140,165,2738,5403,45.863409217101605,Romanian <debian-l10n-romanian@lists.debian.org>
arandr,173,0,0,38,0,0,159,173,100.0,Romanian <https://hosted.weblate.org/projects/arandr/translations/ro/>
arduino,3204,0,0,607,0,0,3468,3204,100.0,Romanian (http://www.transifex.com/mbanzi/arduino-ide-15/language/ro/)
aria2,223,0,7263,29,0,370,155,7486,2.978893935345979,Romanian <ro@li.org>
ark,576,693,632,114,128,99,556,1901,30.299842188321936,Romanian <kde-i18n-ro@kde.org>
arm-none-eabi-binutils-cs,6415,0,5399,1094,0,718,6893,11814,54.29998307093279,Romanian <translation-team-ro@lists.sourceforge.net>
artikulate,92,102,169,54,52,55,103,363,25.344352617079892,Romanian <kde-i18n-ro@kde.org>
aspell,1797,0,0,303,0,0,1837,1797,100.0,Romanian <translation-team-ro@lists.sourceforge.net>
asunder,22,0,470,18,0,73,27,492,4.471544715447155,http://littlesvr.ca/ostd/
at-spi2-core,10,0,0,2,0,0,13,10,100.0,Gnome Romanian Translation Team
atk,440,0,0,169,0,0,439,440,100.0,Romanian <gnomero-list@lists.sourceforge.net>
atomix,169,0,0,44,0,0,201,169,100.0,Romanian
atril,1525,0,2321,414,0,227,1632,3846,39.65158606344254,Romanian (https://www.transifex.com/mate/teams/13566/ro/)
audacious,539,0,241,260,0,73,594,780,69.1025641025641,Romanian (http://www.transifex.com/audacious/audacious/language/ro/)
audacity,1940,3202,11725,718,1016,2160,2290,16867,11.501748977292939,Gnome Romanian Team <gnomero-list@lists.sourceforge.net>
avahi,865,2,1,165,2,1,882,868,99.65437788018433,Romanian (http://www.transifex.com/lennart/avahi/language/ro/)
avogadro2,22,55,385,12,17,120,30,462,4.761904761904762,Romanian <ro@li.org>
avr-binutils,6415,0,5399,1094,0,718,6893,11814,54.29998307093279,Romanian <translation-team-ro@lists.sourceforge.net>
avr-gdb,4961,0,0,740,0,0,5316,4961,100.0,Romanian <translation-team-ro@lists.sourceforge.net>
