package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
abrt,0,0,3230,0,0,390,0,3230,0.0,Iloko (http://www.transifex.com/projects/p/fedora-abrt/language/ilo/)
anaconda,74,0,6984,15,0,1128,85,7058,1.0484556531595353,Iloko (http://www.transifex.com/projects/p/anaconda/language/ilo/)
blivet-gui,0,0,699,0,0,187,0,699,0.0,Iloko
certmonger,0,0,2478,0,0,415,0,2478,0.0,Iloko (http://www.transifex.com/projects/p/certmonger/language/ilo/)
cinnamon-control-center,0,0,1313,0,0,756,0,1313,0.0,
control-center,0,0,1313,0,0,756,0,1313,0.0,
dnf-plugin-system-upgrade,0,0,211,0,0,36,0,211,0.0,Iloko
dnf-plugins-extras,0,0,375,0,0,75,0,375,0.0,Iloko
docker-anaconda-addon,0,0,27,0,0,4,0,27,0.0,Iloko
entangle,0,0,935,0,0,209,0,935,0.0,Iloko
initial-setup,0,0,33,0,0,7,0,33,0.0,Iloko
libbytesize,0,0,17,0,0,17,0,17,0.0,Iloko
libosinfo,0,0,2049,0,0,604,0,2049,0.0,Iloko
libreport,0,0,3501,0,0,452,0,3501,0.0,Iloko (http://www.transifex.com/projects/p/libreport/language/ilo/)
libvirt-glib,0,0,145,0,0,29,0,145,0.0,Iloko (http://www.transifex.com/projects/p/libvirt-glib/language/ilo/)
libvirt-sandbox,0,0,617,0,0,111,0,617,0.0,Iloko (http://www.transifex.com/projects/p/fedora/language/ilo/)
mingw-libvirt-glib,0,0,145,0,0,29,0,145,0.0,Iloko (http://www.transifex.com/projects/p/libvirt-glib/language/ilo/)
oscap-anaconda-addon,0,0,194,0,0,37,0,194,0.0,Iloko (http://www.transifex.com/projects/p/oscap-anaconda-addon/language/ilo/)
policycoreutils,0,0,7678,0,0,1078,0,7678,0.0,Iloko (http://www.transifex.com/projects/p/fedora/language/ilo/)
pykickstart,0,0,1355,0,0,149,0,1355,0.0,Iloko
python-blivet,45,0,651,6,0,125,52,696,6.4655172413793105,Iloko
python-fedora,0,0,214,0,0,29,0,214,0.0,Iloko
python-meh,0,0,109,0,0,23,0,109,0.0,Iloko
redhat-menus,106,6,149,43,4,39,164,261,40.61302681992337,
setroubleshoot,0,0,656,0,0,177,0,656,0.0,Iloko (http://www.transifex.com/projects/p/fedora/language/ilo/)
setroubleshoot-plugins,0,0,9830,0,0,476,0,9830,0.0,Iloko (http://www.transifex.com/projects/p/fedora/language/ilo/)
sos,0,0,267,0,0,36,0,267,0.0,none
switchdesk,30,0,107,14,0,5,39,137,21.897810218978105,
system-config-date,0,0,1347,0,0,768,0,1347,0.0,LANGUAGE <LL@li.org>
system-config-date-docs,0,0,761,0,0,64,0,761,0.0,LANGUAGE <LL@li.org>
system-config-kickstart,0,0,1144,0,0,253,0,1144,0.0,Iloko (http://www.transifex.com/projects/p/system-config-kickstart/language/ilo/)
system-config-nfs-docs,0,0,1192,0,0,71,0,1192,0.0,LANGUAGE <LL@li.org>
system-config-samba-docs,0,0,1195,0,0,67,0,1195,0.0,LANGUAGE <LL@li.org>
system-config-services-docs,0,0,638,0,0,28,0,638,0.0,LANGUAGE <LL@li.org>
system-config-users-docs,0,0,1061,0,0,82,0,1061,0.0,LANGUAGE <LL@li.org>
virt-viewer,0,0,751,0,0,165,0,751,0.0,Iloko
