package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
bookworm,0,0,795,0,0,149,0,795,0.0,
dippi,0,0,1653,0,0,266,0,1653,0.0,none
elementary-code,0,0,2228,0,0,384,0,2228,0.0,LANGUAGE <LL@li.org>
elementary-files,0,0,2656,0,0,567,0,2656,0.0,LANGUAGE <LL@li.org>
elementary-icon-theme,0,0,349,0,0,63,0,349,0.0,none
elementary-mail,0,0,861,0,0,207,0,861,0.0,
elementary-music,0,0,231,0,0,45,0,231,0.0,LANGUAGE <LL@li.org>
elementary-notifications,0,0,42,0,0,9,0,42,0.0,none
elementary-photos,0,0,2862,0,0,662,0,2862,0.0,LANGUAGE <LL@li.org>
elementary-screenshot,0,0,128,0,0,37,0,128,0.0,LANGUAGE <LL@li.org>
elementary-settings-daemon,0,0,303,0,0,70,0,303,0.0,none
gala,0,0,319,0,0,67,0,319,0.0,none
granite,0,0,498,0,0,118,0,498,0.0,
granite-7,0,0,596,0,0,112,0,596,0.0,
iso-codes,132,13,844,108,4,313,127,989,13.346814964610717,Komi <https://hosted.weblate.org/projects/iso-codes/iso-3166-1/kv/>
minetest,974,98,9380,370,43,1050,916,10452,9.318790662074244,Komi <https://hosted.weblate.org/projects/minetest/minetest/kv/>
regextester,0,0,104,0,0,31,0,104,0.0,none
wingpanel,0,0,57,0,0,10,0,57,0.0,none
wingpanel-indicator-a11y,0,0,55,0,0,17,0,55,0.0,none
wingpanel-indicator-bluetooth,0,0,80,0,0,30,0,80,0.0,none
wingpanel-indicator-datetime,0,0,103,0,0,25,0,103,0.0,
wingpanel-indicator-keyboard,0,0,56,0,0,17,0,56,0.0,
