package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
PackageKit,421,0,0,146,0,0,470,421,100.0,Afrikaans (http://www.transifex.com/freedesktop/packagekit/language/af/)
abrt,0,0,3676,0,0,417,0,3676,0.0,none
accountsservice,0,0,59,0,0,10,0,59,0.0,Afrikaans (http://www.transifex.com/freedesktop/accountsservice/language/af/)
agenda,0,0,17,0,0,6,0,17,0.0,Afrikaans <af@li.org>
aisleriot,1893,50,44,525,12,12,1642,1987,95.26925012581782,translate-discuss-af@lists.sourceforge.net
alacarte,42,0,0,16,0,0,42,42,100.0,translate-discuss-af@lists.sourceforge.net
anaconda,3601,1014,4028,793,180,442,3632,8643,41.663774152493346,Afrikaans <https://translate.fedoraproject.org/projects/anaconda/master/af/>
android-tools,0,0,7678,0,0,1078,0,7678,0.0,Afrikaans (http://www.transifex.com/projects/p/fedora/language/af/)
ark,112,562,1273,29,114,218,127,1947,5.752439650744735,Afrikaans <translate-discuss-af@lists.sourceforge.net>
asunder,15,0,477,14,0,77,15,492,3.048780487804878,http://littlesvr.ca/ostd/
atk,334,31,10,108,12,6,288,375,89.06666666666668,Afrikaans <servine_lauvi@hotmail.com>
atomix,108,0,0,53,0,0,110,108,100.0,translate-discuss-af@lists.sourceforge.net
atril,828,0,3563,277,0,460,867,4391,18.85675244818948,Afrikaans (https://www.transifex.com/mate/teams/13566/af/)
audacious,573,0,323,250,0,115,615,896,63.95089285714286,Afrikaans (http://www.transifex.com/audacious/audacious/language/af/)
audacious-plugins,4244,0,49,976,0,22,4244,4293,98.85860703470767,Afrikaans (http://www.transifex.com/audacious/audacious/language/af/)
audacity,1472,4870,12164,489,1538,2276,1436,18506,7.954177023668,Afrikaans <translate-discuss-af@lists.sourceforge.net>
avogadro2,12,39,323,6,27,120,47,374,3.2085561497326207,Afrikaans <https://hosted.weblate.org/projects/avogadro/avogadroapp/af/>
avogadro2-libs,5,0,4607,1,0,1388,1,4612,0.10841283607979184,Afrikaans <https://hosted.weblate.org/projects/avogadro/avogadrolibs/af/>
baobab,247,0,0,65,0,0,248,247,100.0,translate-discuss-af@lists.sourceforge.net
bash,46,800,10894,15,226,356,52,11740,0.3918228279386712,Afrikaans <i18n@af.org.za>
bijiben,412,0,0,128,0,0,420,412,100.0,Afrikaans <translate-discuss-af@lists.sourceforge.net>
bison,54,72,57,14,15,17,58,183,29.508196721311474,Afrikaans <i18n@af.org.za>
bleachbit,1863,0,0,357,0,0,2004,1863,100.0,Afrikaans <af@li.org>
blueberry,166,0,6,37,0,2,167,172,96.51162790697676,Afrikaans <af@li.org>
