package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
GConf2,553,19,3502,114,2,380,576,4074,13.573883161512027,Esperanto <gnome-l10n-eo@lists.launchpad.net>
NetworkManager,807,1763,17867,170,384,1302,740,20437,3.9487204579928563,Esperanto <gnome-l10n-eo@lists.launchpad.net>
NetworkManager-fortisslvpn,8,1,165,6,1,26,7,174,4.597701149425287,Esperanto <gnome-l10n-eo@lists.launchpad.net>
NetworkManager-l2tp,26,0,880,15,0,121,24,906,2.869757174392936,Esperanto <gnome-l10n-eo@lists.launchpad.net>
NetworkManager-openconnect,15,0,3226,6,0,590,14,3241,0.46282011724776306,Esperanto <gnome-l10n-eo@lists.launchpad.net>
NetworkManager-openvpn,43,6,1000,30,2,137,41,1049,4.0991420400381315,Esperanto <gnome-l10n-eo@lists.launchpad.net>
NetworkManager-pptp,37,0,243,22,0,44,34,280,13.214285714285715,Esperanto <gnome-l10n-eo@lists.launchpad.net>
NetworkManager-sstp,37,0,243,22,0,44,34,280,13.214285714285715,Esperanto <gnome-l10n-eo@lists.launchpad.net>
NetworkManager-vpnc,38,0,231,19,0,40,30,269,14.12639405204461,Esperanto <gnome-l10n-eo@lists.launchpad.net>
PackageKit,180,0,1102,85,0,236,166,1282,14.040561622464898,Esperanto (http://www.transifex.com/freedesktop/packagekit/language/eo/)
Thunar,3218,0,1129,614,0,138,2990,4347,74.02806533241316,Esperanto (https://www.transifex.com/xfce/teams/16840/eo/)
abrt,198,0,3771,34,0,442,175,3969,4.988662131519274,Esperanto <gnome-eo-list@gnome.org>
accerciser,158,3,374,107,2,96,149,535,29.53271028037383,Esperanto <ubuntu-l10n-eo@lists.launchpad.net>
accountsservice,59,0,0,10,0,0,53,59,100.0,Esperanto (http://www.transifex.com/projects/p/freedesktop/language/eo/)
agenda,2,0,41,1,0,12,2,43,4.651162790697675,Esperanto <eo@li.org>
ailurus,0,0,8446,0,0,1107,0,8446,0.0,none
