package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
GConf2,3832,72,50,443,11,7,3670,3954,96.91451694486595,Bosnian <lokal@linux.org.ba>
LabPlot,3035,1567,2386,986,525,573,3070,6988,43.431597023468804,Bosnian <kde-i18n-doc@kde.org>
NetworkManager,0,209,11299,1,65,1645,0,11508,0.0,Bosnian <lokal@linux.org.ba>
NetworkManager-fortisslvpn,107,1,66,24,1,8,108,174,61.49425287356321,Bosnian <bs@li.org>
NetworkManager-iodine,75,0,0,21,0,0,78,75,100.0,Bosnian <bs@li.org>
NetworkManager-l2tp,282,139,362,57,18,55,283,783,36.015325670498086,Bosnian <bs@li.org>
NetworkManager-libreswan,97,0,0,31,0,0,97,97,100.0,Bosnian <bs@li.org>
NetworkManager-openconnect,4812,0,594,857,0,90,4857,5406,89.01220865704772,Bosnian <bs@li.org>
NetworkManager-openvpn,1049,0,0,169,0,0,1020,1049,100.0,Bosnian <bs@li.org>
NetworkManager-pptp,410,0,0,74,0,0,411,410,100.0,Bosnian <bs@li.org>
NetworkManager-sstp,410,0,0,74,0,0,411,410,100.0,Bosnian <bs@li.org>
NetworkManager-vpnc,494,0,0,91,0,0,482,494,100.0,Bosnian <bs@li.org>
WindowMaker,1356,0,8,267,0,1,1379,1364,99.41348973607037,Bosanski <lugzdk@lugzdk.ba>
abrt,150,0,3819,19,0,457,157,3969,3.779289493575208,Bosnian (http://www.transifex.com/projects/p/fedora-abrt/language/bs/)
accerciser,659,0,0,224,0,0,641,659,100.0,Bosnian <bs@li.org>
ailurus,0,0,8446,0,0,1107,0,8446,0.0,none
aisleriot,3028,0,0,656,0,0,2259,3028,100.0,Bosnian <bs@li.org>
akonadi-calendar-tools,688,93,61,150,16,7,706,842,81.71021377672209,Bosnian <bs@li.org>
akonadi-import-wizard,243,65,83,59,15,9,235,391,62.14833759590793,Bosnian <bs@li.org>
akregator,1427,172,166,353,47,26,1419,1765,80.8498583569405,Bosnian <bs@li.org>
amarok,15626,111,82,2771,7,2,15340,15819,98.77994816360072,bosanski <bs@li.org>
anaconda,108,0,7036,20,0,1180,93,7144,1.5117581187010078,Bosnian (http://www.transifex.com/projects/p/anaconda/language/bs/)
anjuta,8397,0,0,2059,0,0,8290,8397,100.0,Bosnian <gnom@prevod.org>
appcenter,5,2,674,4,2,141,13,681,0.7342143906020557,LANGUAGE <LL@li.org>
arandr,172,0,1,37,0,1,152,173,99.42196531791907,Bosnian <bs@li.org>
arduino,180,0,2848,110,0,447,186,3028,5.9445178335535,Bosnian (http://www.transifex.com/mbanzi/arduino-ide-15/language/bs/)
asunder,429,27,39,78,3,10,419,495,86.66666666666667,CROATIAN <codemaster@lavabit.com>
at-spi2-core,10,0,0,2,0,0,10,10,100.0,Bosnian <bs@li.org>
atk,440,0,0,169,0,0,430,440,100.0,Bosnian <lokal@linux.org.ba>
atomix,156,0,0,50,0,0,148,156,100.0,Bosnian <bs@li.org>
atril,825,0,899,263,0,134,760,1724,47.853828306264504,Bosnian (http://www.transifex.com/mate/MATE/language/bs/)
audacity,3094,2457,7417,884,731,1354,3061,12968,23.858729179518814,Bosnian <bhld@lists.linux.org.ba>
audex,3300,22,25,404,5,3,3069,3347,98.59575739468181,Bosnian
audience,72,0,34,34,0,14,86,106,67.9245283018868,Bosnian <bs@li.org>
audit-viewer,611,0,0,185,0,0,616,611,100.0,LANGUAGE <LL@li.org>
authconfig,420,16,493,71,2,64,482,929,45.20990312163617,Bosnian (http://www.transifex.com/projects/p/fedora/language/bs/)
avogadro,3191,0,2851,1224,0,902,3150,6042,52.81363786825555,Bosnian <bs@li.org>
backintime,127,0,1856,55,0,281,123,1983,6.404437720625316,Bosnian <bs@li.org>
baloo-widgets,412,0,3,124,0,2,402,415,99.27710843373494,Bosnian <bs@li.org>
baobab,210,0,0,57,0,0,217,210,100.0,<lokal@linux.org.ba>
bijiben,309,0,0,103,0,0,319,309,100.0,Bosnian <bs@li.org>
bleachbit,33,0,939,16,0,203,34,972,3.3950617283950617,Bosnian <bs@li.org>
blivet-gui,0,0,762,0,0,220,0,762,0.0,Bosnian
blogilo,1351,28,13,327,7,3,1260,1392,97.05459770114942,Bosnian <bs@li.org>
blueberry,40,0,101,16,0,18,40,141,28.368794326241137,Bosnian <bs@li.org>
bluedevil,276,165,28,92,43,12,281,469,58.84861407249466,Bosnian <bs@li.org>
blueman,294,0,1090,155,0,187,313,1384,21.242774566473987,Bosnian (http://www.transifex.com/mate/MATE/language/bs/)
brasero,5546,0,0,968,0,0,5058,5546,100.0,Bosnian <bs@li.org>
