package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
GConf2,3396,0,621,449,0,30,3547,4017,84.54070201643017,Bangla (INDIA) <gnome-translation@bengalinux.org>
alacarte,74,0,0,30,0,0,110,74,100.0,Bangla (INDIA) <gnome-translation@bengalinux.org>
anaconda,9992,49,71,1229,6,3,10038,10112,98.8132911392405,Bengali <en@li.org>
atk,370,0,0,123,0,0,314,370,100.0,Bangla (INDIA) <gnome-translation@bengalinux.org>
authconfig,1098,0,0,217,0,0,1267,1098,100.0,Bengali India
autorun,303,4,0,39,1,0,317,307,98.69706840390879,Bangla (INDIA) <redhat-translation@bengalinux.org>
bug-buddy,949,0,0,87,0,0,915,949,100.0,Bengali India
chkconfig,430,0,0,88,0,0,434,430,100.0,Bengali India
compiz,66,0,0,11,0,0,84,66,100.0,Bengali India
control-center,3303,0,238,723,0,51,3725,3541,93.27873482067213,Bengali India
dasher,302,0,0,114,0,0,393,302,100.0,Bengali India
deskbar-applet,734,0,0,175,0,0,793,734,100.0,Bengali India
eel2,235,0,0,52,0,0,230,235,100.0,Bengali India <gnome-translation@bengalinux.org
ekiga,1095,2308,1764,266,302,206,1156,5167,21.19218114960325,Bengali India
eog,819,0,0,192,0,0,880,819,100.0,Bengali India
epiphany,3472,0,490,770,0,103,3847,3962,87.63250883392226,Bengali India
evince,847,0,0,251,0,0,976,847,100.0,Bengali India
evolution,17952,0,919,4482,0,109,19898,18871,95.13009379471146,Bengali India
evolution-connector,1225,0,0,186,0,0,1303,1225,100.0,Bengali India
evolution-data-server,4753,0,232,1004,0,30,5251,4985,95.34603811434302,Bengali India
evolution-webcal,180,0,0,29,0,0,177,180,100.0,Bengali India
fast-user-switch-applet,1048,0,0,115,0,0,1067,1048,100.0,Bengali India
file-roller,947,0,0,243,0,0,1034,947,100.0,Bengali India
firstboot,598,0,0,59,0,0,546,598,100.0,Bengali <en@li.org>
