package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
blivet-gui,0,0,713,0,0,187,0,713,0.0,Angika
dnf-plugin-system-upgrade,0,0,211,0,0,36,0,211,0.0,Angika
dnf-plugins-extras,0,0,375,0,0,75,0,375,0.0,Angika
entangle,0,0,934,0,0,209,0,934,0.0,Angika
initial-setup,0,0,33,0,0,7,0,33,0.0,Angika
libosinfo,0,0,1871,0,0,554,0,1871,0.0,Angika
libvirt-glib,0,0,138,0,0,29,0,138,0.0,Angika
libvirt-sandbox,0,0,617,0,0,111,0,617,0.0,Angika
pykickstart,0,0,1276,0,0,139,0,1276,0.0,Angika
python-blivet,0,0,696,0,0,131,0,696,0.0,Angika
python-fedora,0,0,214,0,0,29,0,214,0.0,Angika
python-meh,0,0,109,0,0,23,0,109,0.0,Angika
virt-viewer,0,0,692,0,0,148,0,692,0.0,Angika
