package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
0ad,136,0,0,33,0,0,119,136,100.0,Czech (http://www.transifex.com/wildfire-games/0ad/language/cs/)
DivFix++,551,0,0,104,0,0,508,551,100.0,CZECH
GConf2,4088,0,0,497,0,0,3994,4088,100.0,Czech <gnome-cs-list@gnome.org>
LabPlot,0,1802,1448,0,958,391,0,3250,0.0,LANGUAGE <LL@li.org>
NetworkManager,1076,1949,6852,247,374,835,1010,9877,10.89399615267794,Czech <gnome-cs-list@gnome.org>
NetworkManager-fortisslvpn,107,1,66,24,1,8,103,174,61.49425287356321,Czech <gnome-cs-list@gnome.org>
NetworkManager-iodine,80,0,0,25,0,0,93,80,100.0,čeština <gnome-cs-list@gnome.org>
NetworkManager-l2tp,110,25,618,33,8,92,106,753,14.608233731739709,Czech <gnome-cs-list@gnome.org>
NetworkManager-openconnect,4056,0,0,726,0,0,4200,4056,100.0,Czech <gnome-cs-list@gnome.org>
NetworkManager-openswan,97,0,0,31,0,0,93,97,100.0,čeština <gnome-cs-list@gnome.org>
NetworkManager-openvpn,1010,0,0,162,0,0,933,1010,100.0,Czech <gnome-cs-list@gnome.org>
NetworkManager-pptp,424,0,0,77,0,0,409,424,100.0,Czech <gnome-cs-list@gnome.org>
NetworkManager-ssh,297,0,0,73,0,0,282,297,100.0,Czech <gnome-cs-list@gnome.org>
NetworkManager-vpnc,498,0,0,93,0,0,479,498,100.0,Czech <gnome-cs-list@gnome.org>
ORBit,8,0,0,2,0,0,8,8,100.0,Czech <cs@li.org>
PackageKit,1158,0,115,300,0,18,1186,1273,90.96622152395916,Czech (http://www.transifex.com/freedesktop/packagekit/language/cs/)
Thunar,4206,0,0,739,0,0,3834,4206,100.0,Czech (http://www.transifex.com/projects/p/thunar/language/cs/)
WindowMaker,4836,0,48,928,0,34,4359,4884,99.01719901719902,czech <cs@li.org>
Zim,2874,0,0,663,0,0,2589,2874,100.0,Czech <cs@li.org>
a2ps,1147,316,49,163,10,6,1130,1512,75.85978835978835,Czech <cs@li.org>
abrt,2938,0,512,360,0,48,2704,3450,85.15942028985506,čeština <gnome-cs-list@gnome.org>
accerciser,2071,0,0,317,0,0,1919,2071,100.0,Czech <gnome-cs-list@gnome.org>
accountsservice,59,0,0,10,0,0,59,59,100.0,Czech <translation-team-cs@lists.sourceforge.net>
adwaita-icon-theme,4,0,0,2,0,0,4,4,100.0,Czech <gnome-cs-list@gnome.org>
ailurus,5490,0,2656,853,0,368,5085,8146,67.39504051068009,none
aisleriot,23757,0,0,1602,0,0,20841,23757,100.0,Czech <gnome-cs-list@gnome.org>
alacarte,45,0,0,20,0,0,42,45,100.0,čeština <gnome-cs-list@gnome.org>
alexandria,1014,63,104,266,23,17,933,1181,85.85944115156647,Czech <cs@li.org>
alleyoop,351,0,0,92,0,0,318,351,100.0,Czech <gnome-cs-list@gnome.org>
almanah,828,0,0,139,0,0,821,828,100.0,Czech <gnome-cs-list@gnome.org>
amarok,15794,0,0,2729,0,0,15608,15794,100.0,Czech <kde-i18n-doc@kde.org>
anaconda,6932,0,31,1136,0,3,6369,6963,99.55478960218296,Czech
anjuta,18889,0,0,2777,0,0,17566,18889,100.0,Czech <gnome-cs-list@gnome.org>
apper,3732,0,411,732,0,21,3432,4143,90.07965242577842,Czech <kde-i18n-doc@kde.org>
appstream,47,0,257,18,0,41,50,304,15.460526315789474,Czech (http://www.transifex.com/freedesktop/appstream/language/cs/)
apt-cacher-ng,394,0,0,25,0,0,312,394,100.0,Czech <debian-l10n-czech@lists.debian.org>
arandr,172,0,1,37,0,1,153,173,99.42196531791907,Czech <https://hosted.weblate.org/projects/arandr/translations/cs/>
ardour,6831,0,0,1843,0,0,7480,6831,100.0,Czech <kde-i18n-doc@kde.org>
ardour2,6831,0,0,1843,0,0,7480,6831,100.0,Czech <kde-i18n-doc@kde.org>
ardour4,16841,0,826,3774,0,99,17665,17667,95.3246165166695,Czech <kde-i18n-doc@kde.org>
ardour5,16354,1,3247,3695,1,592,17187,19602,83.43026221814101,Czech <kde-i18n-doc@kde.org>
arduino,2540,0,2592,447,0,477,2481,5132,49.49337490257209,Czech (Czech Republic) (http://www.transifex.com/projects/p/arduino-ide-15/language/cs_CZ/)
aspell,1726,0,0,293,0,0,1500,1726,100.0,Czech <translation-team-cs@lists.sourceforge.net>
asunder,471,0,9,85,0,2,452,480,98.125,Czech <kde-i18n-doc@kde.org>
at-spi2-core,10,0,0,2,0,0,11,10,100.0,Czech <gnome-cs-list@gnome.org>
atk,440,0,0,169,0,0,417,440,100.0,Czech <gnome-cs-list@gnome.org>
atomix,156,0,0,50,0,0,159,156,100.0,Czech <gnome-cs-list@gnome.org>
atril,3605,0,30,605,0,3,3204,3635,99.17469050894086,Czech <mate-cs-list@gnome.org>
attr,344,0,0,30,0,0,337,344,100.0,Czech <translation-team-cs@lists.sourceforge.net>
audacious,639,0,0,281,0,0,666,639,100.0,Czech (http://www.transifex.com/projects/p/audacious/language/cs/)
audacious-plugins,2915,0,995,792,0,80,2879,3910,74.55242966751918,Czech (http://www.transifex.com/projects/p/audacious/language/cs/)
audacity,11848,195,193,2633,95,56,11786,12236,96.82902909447532,Czech <translation-team-cs@lists.sourceforge.net>
audex,3269,0,78,400,0,12,3201,3347,97.66955482521661,Czech <kde-i18n-doc@kde.org>
audit-viewer,611,0,0,185,0,0,592,611,100.0,LANGUAGE <LL@li.org>
authconfig,1715,0,0,296,0,0,1521,1715,100.0,Czech (http://www.transifex.com/projects/p/fedora/language/cs/)
avahi,642,2,224,133,2,33,608,868,73.963133640553,Czech (http://www.transifex.com/lennart/avahi/language/cs/)
avogadro,6234,0,373,2249,0,123,6600,6607,94.35447252913576,Czech <kde-i18n-doc@kde.org>
b43-fwcutter,67,0,0,4,0,0,68,67,100.0,Czech <debian-l10n-czech@lists.debian.org>
backintime,1492,0,0,300,0,0,1365,1492,100.0,Czech <cs@li.org>
backup-manager,947,38,78,149,7,11,844,1063,89.08748824082785,Czech <debian-l10n-czech@lists.debian.org>
bakefile,1,0,0,1,0,0,1,1,100.0,Vaclav Slavik <vaclav.slavik@matfyz.cz>
balsa,6240,0,0,1525,0,0,6096,6240,100.0,Czech <gnome-cs-list@gnome.org>
bangarang,948,174,85,320,30,31,958,1207,78.54183927091964,Czech <kde-i18n-doc@kde.org>
