package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
CableSwig,1101,25,14,187,4,2,1032,1140,96.57894736842105,Swedish <tp-sv@listor.tp-sv.se>
Django,3108,0,85,990,0,21,2990,3193,97.33792671468838,Django I18N <Django-I18N@googlegroups.com>
GConf2,4035,0,0,484,0,0,3946,4035,100.0,Swedish <tp-sv@listor.tp-sv.se>
LabPlot,16716,0,0,3137,0,0,14540,16716,100.0,Svenska <sv@li.org>
Miro,3336,0,0,724,0,0,3290,3336,100.0,Swedish <sv@li.org>
NetworkManager,2436,0,0,500,0,0,2306,2436,100.0,Swedish <tp-sv@listor.tp-sv.se>
NetworkManager-openconnect,53,0,0,16,0,0,45,53,100.0,Swedish <tp-sv@listor.tp-sv.se>
NetworkManager-openvpn,238,0,0,70,0,0,214,238,100.0,Swedish <tp-sv@listor.tp-sv.se>
NetworkManager-pptp,144,0,0,44,0,0,128,144,100.0,Swedish <tp-sv@listor.tp-sv.se>
NetworkManager-vpnc,143,0,0,37,0,0,121,143,100.0,Swedish <tp-sv@listor.tp-sv.se>
PackageKit,1470,0,0,350,0,0,1408,1470,100.0,Swedish <tp-sv@listor.tp-sv.se>
Terminal,1021,118,52,238,23,8,947,1191,85.7262804366079,Swedish <tp-sv@listor.tp-sv.se>
Thunar,3865,0,0,685,0,0,3669,3865,100.0,Swedish <tp-sv@listor.tp-sv.se>
WindowMaker,629,0,0,114,0,0,594,629,100.0,Swedish
Zim,645,0,602,233,0,113,769,1247,51.724137931034484,Swedish
a2ps,1142,321,49,162,11,6,1162,1512,75.52910052910053,Swedish <sv@li.org>
abook,535,76,116,144,20,28,532,727,73.59009628610728,none
abrt,426,571,591,123,65,90,410,1588,26.82619647355164,Swedish <tp-sv@listor.tp-sv.se>
acheck,274,0,0,30,0,0,281,274,100.0,Swedish <sv@li.org>
acl,484,0,0,51,0,0,463,484,100.0,Swedish <tp-sv@listor.tp-sv.se>
agave,283,0,0,59,0,0,253,283,100.0,Swedish <tp-sv@listor.tp-sv.se>
ailurus,554,0,7724,168,0,1085,512,8278,6.6924377869050495,none
alacarte,42,0,0,16,0,0,35,42,100.0,Swedish <tp-sv@listor.tp-sv.se>
alexandria,1075,39,67,282,11,13,1020,1181,91.02455546147333,Swedish <sv@li.org>
alleyoop,351,0,0,92,0,0,327,351,100.0,Swedish <tp-sv@listor.tp-sv.se>
almanah,403,0,0,55,0,0,404,403,100.0,Swedish <tp-sv@listor.tp-sv.se>
amarok,12039,0,0,2275,0,0,11557,12039,100.0,Swedish <kde-i18n-doc@kde.org>
anaconda,8877,0,0,1112,0,0,8150,8877,100.0,Swedish <tp-sv@listor.tp-sv.se>
anerley,5,0,0,5,0,0,6,5,100.0,
anjal,756,0,0,191,0,0,706,756,100.0,
anjuta,8315,0,11976,2178,0,204,7747,20291,40.978759055739,Swedish <tp-sv@listor.tp-sv.se>
ardour,5505,0,3604,1684,0,661,4975,9109,60.434734877593584,
aria2,722,28,3880,41,3,276,773,4630,15.593952483801296,Swedish <sv@li.org>
ario,272,210,200,152,40,46,284,682,39.882697947214076,Swedish <sv@li.org>
arm-gp2x-linux-binutils,12931,0,0,2121,0,0,12051,12931,100.0,Swedish <sv@li.org>
arm-gp2x-linux-gcc,40900,98,45,6072,13,7,38066,41043,99.6515849231294,Swedish <tp-sv@listor.tp-sv.se>
arm-gp2x-linux-glibc,6326,0,0,1256,0,0,6021,6326,100.0,Swedish <sv@li.org>
aspell,741,4,981,169,1,123,688,1726,42.9316338354577,Swedish <tp-sv@listor.tp-sv.se>
assogiate,277,292,64,65,47,17,241,633,43.75987361769352,Swedish <tp-sv@listor.tp-sv.se>
asunder,403,26,21,74,7,1,372,450,89.55555555555556,Swedish <tp-sv@listor.tp-sv.se>
at-spi,24,0,0,5,0,0,19,24,100.0,Swedish <tp-sv@listor.tp-sv.se>
atk,375,0,0,126,0,0,271,375,100.0,Swedish <tp-sv@listor.tp-sv.se>
atomix,145,0,0,58,0,0,149,145,100.0,Swedish <sv@li.org>
attr,308,0,0,26,0,0,303,308,100.0,Swedish <tp-sv@listor.tp-sv.se>
audacious,241,239,817,163,117,133,230,1297,18.581341557440247,Sweden
audacity,9628,0,0,2166,0,0,9428,9628,100.0,swedish <musselasse@gmail.com>
aumix,237,0,3,89,0,3,249,240,98.75,Swedish <sv@li.org>
authconfig,1357,0,0,242,0,0,1225,1357,100.0,Swedish <tp-sv@listor.tp-sv.se>
avahi,711,21,94,129,7,19,681,826,86.0774818401937,Swedish <tp-sv@listor.tp-sv.se>
avant-window-navigator,405,0,975,92,0,87,388,1380,29.347826086956523,Swedish <sv@li.org>
avogadro,420,0,3998,218,0,1362,427,4418,9.506564056133996,Swedish <sv@li.org>
avr-binutils,13548,0,0,2143,0,0,12549,13548,100.0,Swedish <sv@li.org>
avr-gcc,53910,0,0,7345,0,0,50057,53910,100.0,Swedish <tp-sv@listor.tp-sv.se>
avr-gdb,4964,0,0,741,0,0,4616,4964,100.0,Swedish <sv@li.org>
awn-extras-applets,458,65,13910,154,21,1663,463,14433,3.1732834476546805,Swedish <tp-sv@listor.tp-sv.se>
ayttm,2354,460,257,566,80,46,2216,3071,76.65255617062846,SV <pather@comhem.se>
backintime,129,0,312,57,0,62,134,441,29.25170068027211,Swedish <sv@li.org>
bacula,0,0,20287,0,0,3178,0,20287,0.0,Swedish <bacula-devel@lists.soureforge.net>
bacula2,0,0,20287,0,0,3178,0,20287,0.0,Swedish <bacula-devel@lists.soureforge.net>
bakery,134,0,0,37,0,0,125,134,100.0,Swedish <tp-sv@listor.tp-sv.se>
balsa,6052,0,0,1484,0,0,5750,6052,100.0,Swedish <tp-sv@listor.tp-sv.se>
banshee,5389,0,0,1412,0,0,5148,5389,100.0,Swedish <tp-sv@listor.tp-sv.se>
bareftp,310,0,0,124,0,0,292,310,100.0,
bash,9890,510,95,520,4,7,9189,10495,94.23535016674607,Swedish <tp-sv@listor.tp-sv.se>
bauble,204,0,1835,88,0,293,207,2039,10.004904364884748,Swedish <sv@li.org>
beagle,1239,0,0,305,0,0,1166,1239,100.0,Swedish <tp-sv@listor.tp-sv.se>
bilbo,4,0,1363,2,0,310,2,1367,0.2926115581565472,Swedish <sv@li.org>
binutils,13547,0,0,2143,0,0,12548,13547,100.0,Swedish <sv@li.org>
bisho,131,0,0,22,0,0,120,131,100.0,
bison,1012,0,0,155,0,0,930,1012,100.0,Swedish <tp-sv@listor.tp-sv.se>
bittorrent,3904,0,0,633,0,0,3807,3904,100.0,LANGUAGE <bugs (at) bittorrent (dot) com>
blam,359,0,0,105,0,0,306,359,100.0,Swedish <tp-sv@listor.tp-sv.se>
blender,251,0,0,162,0,0,256,251,100.0,
blobwars,1164,0,0,352,0,0,1085,1164,100.0,
bluefish,2494,374,14,1042,10,4,2437,2882,86.53712699514227,Swedish <sv@li.org>
blueman,1352,0,24,348,0,4,1303,1376,98.25581395348837,Swedish <sv@li.org>
bmpx,2320,0,0,505,0,0,2172,2320,100.0,Swedish <peterasplund@gentoo.se>
bognor-regis,27,0,0,3,0,0,26,27,100.0,
boinc-client,0,0,7593,0,0,1309,0,7593,0.0,LANGUAGE <LL@li.org>
boswars,204,0,11,59,0,8,201,215,94.88372093023256,
brasero,9019,0,0,1255,0,0,8340,9019,100.0,Swedish <tp-sv@listor.tp-sv.se>
bygfoot,3707,0,13,772,0,2,3543,3720,99.6505376344086,Swedish <tp-sv@listor.tp-sv.se>
byobu,177,0,0,44,0,0,157,177,100.0,Swedish <sv@li.org>
bzflag,0,0,0,0,0,0,0,0,0.0,
bzr-gtk,317,0,773,136,0,171,337,1090,29.08256880733945,Swedish <sv@li.org>
cairo-clock,270,0,0,60,0,0,245,270,100.0,Swedish <sv@li.org>
calibre,12768,0,215,1743,0,28,11584,12983,98.34398829238235,Swedish <sv@li.org>
camorama,586,0,0,137,0,0,532,586,100.0,Swedish <tp-sv@listor.tp-sv.se>
catfish,74,0,2,27,0,1,62,76,97.36842105263158,Swedish <sv@li.org>
ccsm,549,0,0,135,0,0,507,549,100.0,Compiz Fusion Translators <i18n@lists.compiz-fusion.org>
celestia,1894,0,0,790,0,0,1776,1894,100.0,Swedish <tp-sv@listor.tp-sv.se>
centerim,1916,573,324,576,138,90,1776,2813,68.11233558478492,swedish <sv@li.org>
cgit,3070,0,6,723,0,2,3158,3076,99.80494148244473,Swedish <tp-sv@listor.tp-sv.se>
cheese,2935,0,0,223,0,0,2776,2935,100.0,Swedish <tp-sv@listor.tp-sv.se>
cherokee,4334,1335,1057,768,303,108,3858,6726,64.43651501635445,Swedish <LL@li.org>
childsplay,1226,0,0,212,0,0,1058,1226,100.0,
chkconfig,448,0,0,90,0,0,468,448,100.0,Swedish <tp-sv@listor.tp-sv.se>
chmsee,124,36,34,40,14,19,136,194,63.91752577319587,Swedish <sv@li.org>
choqok,1363,0,0,347,0,0,1392,1363,100.0,Swedish <kde-i18n-doc@kde.org>
chronojump,674,0,587,274,0,145,687,1261,53.44964314036479,Swedish <tp-sv@listor.tp-sv.se>
cinepaint,1338,1601,4466,555,685,695,1268,7405,18.068872383524646,Swedish <sv@li.org>
clamtk,804,0,0,217,0,0,821,804,100.0,Launchpad Swedish Translators <lp-l10n-sv@lists.launchpad.net>
claws-mail,13990,191,466,2870,34,48,12678,14647,95.51443981702738,Swedish
claws-mail-plugins,247,129,251,43,25,48,232,627,39.39393939393939,Swedish
clementine,1663,0,448,560,0,78,1668,2111,78.77783041212696,Swedish <sv@li.org>
coccinella,2,4379,327,1,1158,132,2,4708,0.04248088360237893,Swedish
comix,1326,0,0,262,0,0,1227,1326,100.0,Swedish <LL@li.org>
common-lisp-controller,5,42,10,2,4,1,4,57,8.771929824561402,Swedish <sv@li.org>
compat-gcc-32,6983,9,15350,1196,1,2456,6595,22342,31.255035359412766,Swedish <sv@li.org>
compat-gcc-34,3797,7669,19413,691,1301,2708,3567,30879,12.296382654878721,Swedish <sv@li.org>
compat-libgda,1896,911,3507,530,158,503,1686,6314,30.028508077288564,Swedish <tp-sv@listor.tp-sv.se>
compiz,2227,746,306,542,126,60,2058,3279,67.91704788045135,Compiz Fusion Translators <i18n@lists.compiz-fusion.org>
compiz-fusion,7337,420,649,1451,88,93,6532,8406,87.28289317154415,Compiz Fusion Translators <i18n@lists.compiz-fusion.org>
compiz-fusion-extras,7337,420,649,1451,88,93,6532,8406,87.28289317154415,Compiz Fusion Translators <i18n@lists.compiz-fusion.org>
compiz-fusion-unsupported,7337,420,649,1451,88,93,6532,8406,87.28289317154415,Compiz Fusion Translators <i18n@lists.compiz-fusion.org>
conduit,709,0,0,245,0,0,640,709,100.0,Swedish <tp-sv@listor.tp-sv.se>
conglomerate,2503,353,3461,404,190,544,2295,6317,39.62323887921482,Swedish <sv@li.org>
contact-lookup-applet,259,0,0,55,0,0,225,259,100.0,Swedish <tp-sv@listor.tp-sv.se>
contacts,121,0,0,55,0,0,127,121,100.0,Swedish <tp-sv@listor.tp-sv.se>
control-center,3480,0,0,806,0,0,3210,3480,100.0,Swedish <tp-sv@listor.tp-sv.se>
coreutils,18036,271,37,1419,11,2,17324,18344,98.32097688617532,Swedish <tp-sv@listor.tp-sv.se>
cowbell,603,0,0,111,0,0,585,603,100.0,Swedish <tp-sv@listor.tp-sv.se>
cpio,873,391,692,128,45,120,857,1956,44.6319018404908,Swedish <sv@li.org>
cryptsetup-luks,993,53,32,168,6,4,944,1078,92.11502782931355,Swedish <tp-sv@listor.tp-sv.se>
cups,6981,0,366,1415,0,30,6752,7347,95.01837484687627,Apple Inc.
cycle,196,0,0,64,0,0,200,196,100.0,Swedish <tp-sv@listor.tp-sv.se>
dalston,266,0,0,56,0,0,214,266,100.0,
dar,5691,17,0,788,2,0,5418,5708,99.7021723896286,Svenska <sv@li.org>
darktable,2611,0,0,638,0,0,2501,2611,100.0,<>
dasher,874,0,5589,256,0,164,826,6463,13.523131672597867,Swedish <tp-sv@listor.tp-sv.se>
dates,235,0,0,72,0,0,232,235,100.0,Swedish <tp-sv@listor.tp-sv.se>
dayplanner,1112,0,0,169,0,0,1040,1112,100.0,Swedish <tp-sv@listor.tp-sv.se>
dbmail,457,0,0,39,0,0,376,457,100.0,swedish <debian-l10n-swedish@lists.debian.org>
dc3dd,375,279,278,48,18,22,373,932,40.236051502145926,Swedish <tp-sv@listor.tp-sv.se>
dcraw,546,0,0,109,0,0,498,546,100.0,
decibel-audio-player,1401,0,93,210,0,27,1328,1494,93.77510040160642,Swedish <sv@li.org>
deluge,1996,0,2,688,0,1,1968,1998,99.8998998998999,Swedish <tp-sv@listor.tp-sv.se>
denemo,78,1097,3803,35,342,589,61,4978,1.566894335074327,Swedish <sv@li.org>
deskbar-applet,2386,0,0,392,0,0,2312,2386,100.0,Swedish <tp-sv@listor.tp-sv.se>
desktop-effects,148,0,0,25,0,0,132,148,100.0,Swedish <tp-sv@listor.tp-sv.se>
devhelp,404,0,0,102,0,0,335,404,100.0,Swedish <tp-sv@listor.tp-sv.se>
dia,4652,674,929,1808,244,259,4150,6255,74.37250199840128,Swedish <tp-sv@listor.tp-sv.se>
dialog,25,0,0,23,0,0,27,25,100.0,Swedish <tp-sv@listor.tp-sv.se>
diffutils,1342,0,0,180,0,0,1295,1342,100.0,Swedish <sv@li.org>
digikam,23446,0,0,3537,0,0,21045,23446,100.0,Swedish <kde-i18n-doc@kde.org>
doodle,725,0,7,111,0,1,707,732,99.04371584699454,Swedish <tp-sv@listor.tp-sv.se>
dpkg,36835,506,179,2874,25,5,33757,37520,98.17430703624733,Swedish <debian-l10n-swedish@lists.debian.org>
drgeo,1891,90,4,441,18,2,1835,1985,95.26448362720403,Swedish <sv@li.org>
drupal-calendar,480,0,0,63,0,0,466,480,100.0,drupalsverige.se
drupal-cck,2268,0,240,273,0,25,2172,2508,90.43062200956938,drupalsverige.se
drupal-date,1366,0,380,192,0,380,1344,1746,78.23596792668958,drupalsverige.se
drupal-views,8753,0,0,1281,0,0,8483,8753,100.0,drupalsverige.se
e16,1669,570,546,240,138,142,1542,2785,59.928186714542186,Swedish <sv@li.org>
e2fsprogs,5805,0,0,900,0,0,5787,5805,100.0,Swedish <tp-sv@listor.tp-sv.se>
easytag,5151,109,55,966,18,7,4868,5315,96.91439322671684,Swedish <LL@li.org>
eel2,161,0,0,31,0,0,133,161,100.0,Swedish <tp-sv@listor.tp-sv.se>
eiciel,120,7,0,38,1,0,118,127,94.48818897637796,Swedish <tp-sv@listor.tp-sv.se>
eina,32,16,960,14,5,234,36,1008,3.1746031746031744,Swedish <sv@li.org>
ejabberd,1404,82,17,363,12,2,1316,1503,93.41317365269461,
ekiga,6276,2120,1184,830,41,21,5740,9580,65.51148225469728,Swedish <tp-sv@listor.tp-sv.se>
elinks,357,1498,10379,170,474,981,337,12234,2.918097106424718,Swedish <sv@li.org>
elisa-plugins-bad,137,4,8,33,1,3,129,149,91.94630872483222,The Elisa Team <elisa@lists.fluendo.com>
emerald,774,0,0,215,0,0,673,774,100.0,Compiz Fusion Translators <i18n@lists.compiz-fusion.org>
emerillon,359,0,0,75,0,0,330,359,100.0,Swedish <tp-sv@listor.tp-sv.se>
empathy,3738,412,324,731,28,20,3500,4474,83.5493965131873,Swedish <tp-sv@listor.tp-sv.se>
enigma,2023,27,3245,440,6,211,1932,5295,38.20585457979226,Swedish <tp-sv@listor.tp-sv.se>
enscript,1659,169,0,204,5,0,1575,1828,90.75492341356673,Swedish <sv@li.org>
entertainer,682,0,59,182,0,4,631,741,92.03778677462888,Swedish <sv@li.org>
eog,4727,0,0,530,0,0,4288,4727,100.0,Swedish <tp-sv@listor.tp-sv.se>
eog-plugins,80,0,0,28,0,0,75,80,100.0,Swedish <tp-sv@listor.tp-sv.se>
epdfview,466,5,12,129,2,6,443,483,96.48033126293996,Swedish <tp-sv@listor.tp-sv.se>
epiphany,9052,0,0,1213,0,0,8452,9052,100.0,Swedish <tp-sv@listor.tp-sv.se>
epiphany-extensions,3977,0,0,529,0,0,3703,3977,100.0,Swedish <tp-sv@listor.tp-sv.se>
etckeeper,64,0,0,5,0,0,66,64,100.0,Swedish <debian-l10n-swedish@lists.debian.org>
etoys,14273,59,13450,3169,6,1292,13592,27782,51.37499100136779,Swedish <sv@li.org>
evince,3179,0,0,538,0,0,2961,3179,100.0,Swedish <tp-sv@listor.tp-sv.se>
