package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
atril,53,0,4338,39,0,698,69,4391,1.2070143475290367,Yoruba (https://www.transifex.com/mate/teams/13566/yo/)
bookworm,0,0,795,0,0,149,0,795,0.0,
caja,3002,0,6673,641,0,963,3606,9675,31.02842377260982,Yoruba (https://app.transifex.com/mate/teams/13566/yo/)
caja-actions,19,0,7063,15,0,724,25,7082,0.2682857949731714,Yoruba (https://www.transifex.com/mate/teams/13566/yo/)
caja-extensions,2,0,758,2,0,143,3,760,0.2631578947368421,Yoruba (https://www.transifex.com/mate/teams/13566/yo/)
cinnamon-desktop,0,0,231,0,0,31,0,231,0.0,amo@wazobiasoft.org
cinnamon-translations,8,0,313,2,0,66,7,321,2.4922118380062304,
coin,0,0,252,0,0,50,0,252,0.0,none
dippi,0,0,1183,0,0,205,0,1183,0.0,none
engrampa,51,0,1998,30,0,398,67,2049,2.4890190336749636,Yoruba (https://app.transifex.com/mate/teams/13566/yo/)
eom,32,0,1747,29,0,312,41,1779,1.7987633501967397,Yoruba (https://app.transifex.com/mate/teams/13566/yo/)
epiphany,1553,276,533,479,95,87,1795,2362,65.7493649449619,Yoruba
gnome-desktop3,328,8,28,90,2,1,357,364,90.10989010989012,amo@wazobiasoft.org
gnome-menus,116,15,26,42,5,9,152,157,73.88535031847134,Yoruba
gnome-panel,2057,936,527,283,129,96,2356,3520,58.4375,Yoruba
gnome-session,117,86,519,20,28,65,148,722,16.20498614958449,
gnome-shell-frippery,16,0,0,4,0,0,18,16,100.0,
granite,0,0,498,0,0,118,0,498,0.0,
harvey,0,0,182,0,0,33,0,182,0.0,none
initial-setup,0,0,33,0,0,7,0,33,0.0,Yoruba
iso-codes,324,14,648,219,5,198,338,986,32.86004056795132,Yoruba <https://hosted.weblate.org/projects/iso-codes/iso-3166-1/yo/>
isomaster,9,0,665,8,0,99,12,674,1.3353115727002967,http://littlesvr.ca/ostd/
libmatekbd,5,0,303,5,0,86,5,308,1.6233766233766231,Yoruba (https://app.transifex.com/mate/teams/13566/yo/)
