package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
boost,1,0,0,1,0,0,1,1,100.0,
cacti,972,29667,459,700,3642,22,1140,31098,3.12560293266448,
ceph,1,0,0,1,0,0,1,1,100.0,
clapper,0,0,272,0,0,108,0,272,0.0,Hebrew
clementine,0,0,5251,0,0,1391,0,5251,0.0,Hebrew (Israel) (http://www.transifex.com/davidsansome/clementine/language/he_IL/)
coolreader,545,0,156,210,0,63,520,701,77.74607703281026,Hebrew
darktable,23878,0,0,4378,0,0,22044,23878,100.0,
electrum,7128,0,1872,1360,0,283,6503,9000,79.2,Hebrew
libecpg,271,0,0,41,0,0,299,271,100.0,
libpq,271,0,0,41,0,0,299,271,100.0,
mingw-boost,1,0,0,1,0,0,1,1,100.0,
mingw-postgresql,9124,0,19,1741,0,8,9243,9143,99.79219074701959,
percona-xtrabackup,1,0,0,1,0,0,1,1,100.0,
poedit,2920,0,0,652,0,0,2681,2920,100.0,Hebrew
postgresql,1727,0,0,258,0,0,1831,1727,100.0,
python-django-rest-framework,0,0,582,0,0,101,0,582,0.0,Hebrew (Israel) (http://www.transifex.com/django-rest-framework-1/django-rest-framework/language/he_IL/)
python-flask-admin,320,0,47,97,0,15,311,367,87.19346049046321,Hebrew
visualboyadvance-m,0,0,2393,0,0,895,0,2393,0.0,Hebrew (Israel) (http://www.transifex.com/bgk/vba-m/language/he_IL/)
warzone2100,116,0,15501,15,0,3289,97,15617,0.7427803035153999,Hebrew
xournalpp,984,0,3050,324,0,479,957,4034,24.39266236985622,Hebrew
