package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
anaconda,0,0,8215,0,0,1355,0,8215,0.0,none
bookworm,0,0,795,0,0,149,0,795,0.0,
dippi,0,0,1653,0,0,266,0,1653,0.0,none
elementary-code,0,0,2228,0,0,384,0,2228,0.0,LANGUAGE <LL@li.org>
elementary-files,0,0,2656,0,0,567,0,2656,0.0,LANGUAGE <LL@li.org>
elementary-icon-theme,0,0,349,0,0,63,0,349,0.0,none
elementary-mail,0,0,861,0,0,207,0,861,0.0,
elementary-music,0,0,231,0,0,45,0,231,0.0,LANGUAGE <LL@li.org>
elementary-notifications,0,0,42,0,0,9,0,42,0.0,none
elementary-photos,0,0,2862,0,0,662,0,2862,0.0,LANGUAGE <LL@li.org>
elementary-screenshot,0,0,128,0,0,37,0,128,0.0,LANGUAGE <LL@li.org>
elementary-settings-daemon,0,0,303,0,0,70,0,303,0.0,none
gala,0,0,319,0,0,67,0,319,0.0,none
granite,0,0,498,0,0,118,0,498,0.0,
granite-7,0,0,596,0,0,112,0,596,0.0,
initial-setup,0,0,66,0,0,14,0,66,0.0,Cornish (United Kingdom)
iso-codes,292,17,680,210,6,209,293,989,29.524772497472195,Cornish <https://hosted.weblate.org/projects/iso-codes/iso-3166-1/kw/>
isomaster,11,0,663,10,0,97,11,674,1.6320474777448073,http://littlesvr.ca/ostd/
libvirt-sandbox,0,0,1234,0,0,222,0,1234,0.0,Cornish (United Kingdom)
mc,0,0,4435,0,0,1267,0,4435,0.0,Cornish (http://app.transifex.com/mc/mc/language/kw/)
pam,0,0,544,0,0,101,0,544,0.0,Cornish (United Kingdom)
pyhoca-gui,0,0,1865,0,0,402,0,1865,0.0,none
python-django-mailman3,0,0,467,0,0,79,0,467,0.0,LANGUAGE <LL@li.org>
python-hyperkitty,0,0,937,0,0,259,0,937,0.0,LANGUAGE <LL@li.org>
python-meh,0,0,218,0,0,46,0,218,0.0,Cornish (United Kingdom)
python-postorius,0,0,5165,0,0,642,0,5165,0.0,LANGUAGE <LL@li.org>
regextester,0,0,104,0,0,31,0,104,0.0,none
rpm,0,0,5095,0,0,957,0,5095,0.0,none
slick-greeter,173,0,43,37,0,12,177,216,80.0925925925926,Cornish <kw@li.org>
sugar-terminal,0,0,121,0,0,26,0,121,0.0,LANGUAGE <LL@li.org>
sugar-toolkit-gtk3,38,13,162,37,7,79,38,213,17.84037558685446,LANGUAGE <LL@li.org>
supertuxkart,1747,0,4196,472,0,638,1935,5943,29.39592798250042,Cornish (http://app.transifex.com/supertuxkart/supertuxkart/language/kw/)
systemd,0,0,2031,0,0,264,0,2031,0.0,none
warmux,1273,667,804,251,105,116,1909,2744,46.39212827988338,Treylyansow <treylyansow@kernewegva.com>
wingpanel,0,0,57,0,0,10,0,57,0.0,none
wingpanel-indicator-a11y,0,0,55,0,0,17,0,55,0.0,none
wingpanel-indicator-bluetooth,0,0,80,0,0,30,0,80,0.0,none
wingpanel-indicator-datetime,0,0,103,0,0,25,0,103,0.0,
wingpanel-indicator-keyboard,0,0,56,0,0,17,0,56,0.0,
