package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
atril,11,0,1781,10,0,403,25,1792,0.6138392857142857,Spanish (Puerto Rico) (https://www.transifex.com/mate/teams/13566/es_PR/)
caja,30,0,9326,29,0,1488,43,9356,0.32064985036340315,Spanish (Puerto Rico) (https://www.transifex.com/mate/teams/13566/es_PR/)
caja-extensions,2,0,568,2,0,129,2,570,0.3508771929824561,Spanish (Puerto Rico) (https://www.transifex.com/mate/teams/13566/es_PR/)
calamares,0,0,55,0,0,13,0,55,0.0,Spanish (Puerto Rico) (https://www.transifex.com/calamares/teams/20061/es_PR/)
engrampa,9,0,1936,9,0,345,21,1945,0.46272493573264784,Spanish (Puerto Rico) (https://www.transifex.com/mate/teams/13566/es_PR/)
eom,14,0,1703,13,0,305,27,1717,0.8153756552125802,Spanish (Puerto Rico) (https://www.transifex.com/mate/teams/13566/es_PR/)
libgweather,447,9,4,170,5,4,536,460,97.17391304347827,Spanish <traductores@es.gnome.org>
libmatekbd,1,0,250,1,0,42,1,251,0.398406374501992,Spanish (Puerto Rico) (https://www.transifex.com/mate/teams/13566/es_PR/)
libmateweather,375,0,124,164,0,19,440,499,75.1503006012024,Spanish (Puerto Rico) (https://www.transifex.com/mate/teams/13566/es_PR/)
marco,5,0,4143,3,0,410,5,4148,0.1205400192864031,Spanish (Puerto Rico) (http://www.transifex.com/mate/MATE/language/es_PR/)
mate-applets,1662,0,827,372,0,188,2083,2489,66.77380474085979,Spanish (Puerto Rico) (https://www.transifex.com/mate/teams/13566/es_PR/)
mate-calc,8,0,1363,8,0,412,20,1371,0.5835156819839533,Spanish (Puerto Rico) (https://www.transifex.com/mate/teams/13566/es_PR/)
mate-control-center,29,0,2629,23,0,605,42,2658,1.09104589917231,Spanish (Puerto Rico) (https://www.transifex.com/mate/teams/13566/es_PR/)
mate-icon-theme,1,0,3,1,0,1,1,4,25.0,Spanish (Puerto Rico) (https://www.transifex.com/mate/teams/13566/es_PR/)
mate-media,12,0,214,11,0,85,13,226,5.3097345132743365,Spanish (Puerto Rico) (https://www.transifex.com/mate/teams/13566/es_PR/)
mate-menu,17,0,299,15,0,103,19,316,5.379746835443038,Spanish (Puerto Rico) (http://www.transifex.com/mate/MATE/language/es_PR/)
mate-menus,3,0,94,3,0,34,3,97,3.0927835051546393,Spanish (Puerto Rico) (https://www.transifex.com/mate/teams/13566/es_PR/)
mate-panel,56,0,4308,39,0,551,81,4364,1.2832263978001834,Spanish (Puerto Rico) (https://www.transifex.com/mate/teams/13566/es_PR/)
mate-power-manager,11,0,2713,11,0,429,24,2724,0.4038179148311307,Spanish (Puerto Rico) (https://www.transifex.com/mate/teams/13566/es_PR/)
mate-sensors-applet,9,0,297,9,0,97,22,306,2.941176470588235,Spanish (Puerto Rico) (https://www.transifex.com/mate/teams/13566/es_PR/)
mate-session-manager,4,0,677,4,0,110,4,681,0.5873715124816447,Spanish (Puerto Rico) (https://www.transifex.com/mate/teams/13566/es_PR/)
mate-settings-daemon,43,0,1721,6,0,247,45,1764,2.437641723356009,Spanish (Puerto Rico) (https://www.transifex.com/mate/teams/13566/es_PR/)
mate-system-monitor,16,0,1317,12,0,301,32,1333,1.2003000750187547,Spanish (Puerto Rico) (https://www.transifex.com/mate/teams/13566/es_PR/)
mate-terminal,9,0,4640,9,0,516,22,4649,0.19359001935900194,Spanish (Puerto Rico) (https://www.transifex.com/mate/teams/13566/es_PR/)
mate-user-guide,1,0,4,1,0,1,1,5,20.0,Spanish (Puerto Rico) (https://www.transifex.com/mate/teams/13566/es_PR/)
mate-utils,16,0,3661,10,0,650,30,3677,0.4351373402230079,Spanish (Puerto Rico) (https://www.transifex.com/mate/teams/13566/es_PR/)
mozo,1,0,41,1,0,15,1,42,2.380952380952381,Spanish (Puerto Rico) (https://www.transifex.com/mate/teams/13566/es_PR/)
