package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
calibre,1294,0,117435,196,0,19577,1525,118729,1.0898769466600409,French (Canada) <fr_CA@li.org>
cinnamon-translations,4365,0,8948,1193,0,2053,5288,13313,32.78750093893187,French (Canada) <fr_CA@li.org>
dopewars,5286,0,0,867,0,0,5674,5286,100.0,French
mintmenu,4420,0,914,1011,0,149,5112,5334,82.86464191976003,French (Canada) <fr_CA@li.org>
nemo-extensions,1,0,0,1,0,0,1,1,100.0,French (Canada) <fr_CA@li.org>
openerp7,19,0,22595,4,0,2182,22,22614,0.08401874944724506,French (Canada) <fr_CA@li.org>
picard,157,0,1524,120,0,548,152,1681,9.339678762641284,French (Canada) (http://www.transifex.com/projects/p/musicbrainz/language/fr_CA/)
pidgin-sipe,0,0,903,0,0,224,0,903,0.0,French (Canada) (http://www.transifex.com/projects/p/pidgin-sipe/language/fr_CA/)
scratch,1467,0,3,625,0,1,1722,1470,99.79591836734694,LANGUAGE <LL@li.org>
soundconverter,388,0,0,121,0,0,472,388,100.0,French (Canada) <fr_CA@li.org>
supertuxkart,67,0,2045,8,0,409,82,2112,3.172348484848485,
wicd,1054,0,84,229,0,25,1242,1138,92.61862917398945,fr_CA <LL@li.org>
