package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
olpc-switch-desktop,0,0,158,0,0,14,0,158,0.0,LANGUAGE <LL@li.org>
sugar,0,0,319,0,0,116,0,319,0.0,LANGUAGE <LL@li.org>
sugar-base,0,0,5,0,0,5,0,5,0.0,LANGUAGE <LL@li.org>
sugar-browse,0,0,57,0,0,30,0,57,0.0,LANGUAGE <LL@li.org>
sugar-calculator,0,0,593,0,0,127,0,593,0.0,LANGUAGE <LL@li.org>
sugar-chat,1,0,25,1,0,11,2,26,3.8461538461538463,LANGUAGE <LL@li.org>
sugar-clock,0,0,38,0,0,17,0,38,0.0,LANGUAGE <LL@li.org>
sugar-connect,0,0,36,0,0,9,0,36,0.0,LANGUAGE <LL@li.org>
sugar-finance,0,0,142,0,0,31,0,142,0.0,LANGUAGE <LL@li.org>
sugar-imageviewer,0,0,17,0,0,9,0,17,0.0,LANGUAGE <LL@li.org>
sugar-infoslicer,0,0,177,0,0,56,0,177,0.0,LANGUAGE <LL@li.org>
sugar-jukebox,0,0,10,0,0,6,0,10,0.0,LANGUAGE <LL@li.org>
sugar-log,0,0,100,0,0,22,0,100,0.0,LANGUAGE <LL@li.org>
sugar-memorize,0,0,50,0,0,25,0,50,0.0,LANGUAGE <LL@li.org>
sugar-moon,0,0,90,0,0,31,0,90,0.0,LANGUAGE <LL@li.org>
sugar-physics,0,0,22,0,0,22,0,22,0.0,LANGUAGE <LL@li.org>
sugar-pippy,0,0,52,0,0,16,0,52,0.0,LANGUAGE <LL@li.org>
sugar-playgo,0,0,85,0,0,30,0,85,0.0,LANGUAGE <LL@li.org>
sugar-read,2,0,24,2,0,15,2,26,7.6923076923076925,LANGUAGE <LL@li.org>
sugar-surf,0,0,52,0,0,30,0,52,0.0,LANGUAGE <LL@li.org>
sugar-tamtam,0,0,2077,0,0,697,0,2077,0.0,LANGUAGE <LL@li.org>
sugar-terminal,0,0,6,0,0,4,0,6,0.0,LANGUAGE <LL@li.org>
sugar-toolkit,0,0,59,0,0,28,0,59,0.0,LANGUAGE <LL@li.org>
sugar-turtleart,2,0,1206,2,0,353,1,1208,0.16556291390728478,LANGUAGE <walter@sugarlabs.org>
sugar-view-slides,0,0,7,0,0,5,0,7,0.0,LANGUAGE <LL@li.org>
sugar-visualmatch,0,0,58,0,0,30,0,58,0.0,LANGUAGE <LL@li.org>
sugar-write,0,0,69,0,0,42,0,69,0.0,LANGUAGE <LL@li.org>
