package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
GConf2,10,0,3944,9,0,452,12,3954,0.25290844714213456,Kurdish <gnu-ku-wergerandin@lists.sourceforge.net>
NetworkManager,50,0,977,25,0,169,60,1027,4.868549172346641,Kurdish <ku@li.org>
abrt,0,0,2722,0,0,328,0,2722,0.0,Kurdish (http://www.transifex.com/projects/p/fedora/language/ku/)
adwaita-icon-theme,4,0,0,2,0,0,5,4,100.0,Kurdish Team http://pckurd.net
aisleriot,13,65,1909,13,41,495,13,1987,0.6542526421741319,Kurdish <gnu-ku-wergerandin@lists.sourceforge.net>
alacarte,28,0,14,14,0,2,29,42,66.66666666666666,Kurdish Team http://pckurd.net
at-spi,4,0,0,2,0,0,6,4,100.0,Kurdish
atk,348,1,26,121,1,4,331,375,92.80000000000001,Kurdish <ku@li.org>
atril,480,0,1166,165,0,224,514,1646,29.16160388821385,Kurdish (http://www.transifex.com/projects/p/MATE/language/ku/)
authconfig,0,0,1715,0,0,296,0,1715,0.0,Kurdish (http://www.transifex.com/projects/p/fedora/language/ku/)
baobab,118,104,318,54,26,46,132,540,21.85185185185185,Kurdish <gnu-ku-wergerandin@lists.sourceforge.net>
bleachbit,817,0,155,183,0,36,895,972,84.05349794238684,Kurdish <ku@li.org>
brasero,2889,152,2411,672,26,289,3030,5452,52.98972853998533,Kurdish
caja,2733,0,6490,705,0,788,2910,9223,29.632440637536593,Kurdish (http://www.transifex.com/projects/p/MATE/language/ku/)
calibre,9,0,144404,6,0,16970,9,144413,0.006232125916641854,Kurdish (http://www.transifex.com/projects/p/calibre/language/ku/)
certmonger,0,0,1669,0,0,270,0,1669,0.0,Kurdish (http://www.transifex.com/projects/p/certmonger/language/ku/)
cheese,398,0,128,92,0,7,415,526,75.66539923954373,Kurdish
chkconfig,0,0,487,0,0,93,0,487,0.0,LANGUAGE <LL@li.org>
cinnamon-control-center,0,0,1313,0,0,756,0,1313,0.0,none
cinnamon-desktop,57,1,173,8,1,22,56,231,24.675324675324674,Kurdish <gnu-ku-wergerandin@lists.sourceforge.net>
cinnamon-session,34,47,351,13,16,46,36,432,7.87037037037037,Kurdish <gnu-ku-wergerandin@lists.sourceforge.net>
cinnamon-settings-daemon,369,181,484,67,39,65,377,1034,35.686653771760156,Kurdish <gnu-ku-wergerandin@lists.sourceforge.net>
cinnamon-translations,196,0,6924,88,0,1938,204,7120,2.752808988764045,Kurdish <ku@li.org>
compat-gtkhtml314,32,57,820,30,56,317,38,909,3.52035203520352,Kurdish <gnu-ku-wergerandin@lists.sourceforge.net>
