package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
atril,45,0,4346,36,0,701,68,4391,1.0248235026189934,Hausa (https://www.transifex.com/mate/teams/13566/ha/)
blender,91,0,0,27,0,0,83,91,100.0,BlenderNigeria <pyc0der@outlook.com>
bookworm,0,0,795,0,0,149,0,795,0.0,
caja,2996,0,6679,639,0,965,3709,9675,30.966408268733854,Hausa (https://app.transifex.com/mate/teams/13566/ha/)
caja-extensions,2,0,758,2,0,143,3,760,0.2631578947368421,Hausa (https://www.transifex.com/mate/teams/13566/ha/)
cinnamon-desktop,0,0,231,0,0,31,0,231,0.0,hausa
cinnamon-translations,8,0,313,2,0,66,11,321,2.4922118380062304,hausa
coin,0,0,252,0,0,50,0,252,0.0,none
dippi,0,0,1183,0,0,205,0,1183,0.0,none
engrampa,45,0,2004,28,0,400,55,2049,2.1961932650073206,Hausa (https://app.transifex.com/mate/teams/13566/ha/)
eom,32,0,1747,29,0,312,43,1779,1.7987633501967397,Hausa (https://app.transifex.com/mate/teams/13566/ha/)
gnome-desktop3,203,14,132,29,3,20,314,349,58.16618911174785,hausa
gnome-menus,116,15,26,42,5,9,160,157,73.88535031847134,<en@li.org>
gnome-panel,2057,936,527,283,129,96,2543,3520,58.4375,hausa
gnome-session,117,86,519,20,28,65,153,722,16.20498614958449,hausa
gnome-shell-frippery,16,0,0,4,0,0,23,16,100.0,
granite,0,0,498,0,0,118,0,498,0.0,
harvey,0,0,182,0,0,33,0,182,0.0,none
iso-codes,140,10,836,119,3,300,130,986,14.198782961460447,Hausa <https://hosted.weblate.org/projects/iso-codes/iso-3166-1/ha/>
isomaster,7,0,667,7,0,100,8,674,1.0385756676557862,http://littlesvr.ca/ostd/
kf5-kauth,0,0,73,0,0,8,0,73,0.0,Hausa <kde-i18n-doc@lists.kde.org>
kf5-kcmutils,5,7,254,3,6,29,8,266,1.8796992481203008,Hausa <kde-i18n-doc@lists.kde.org>
kf5-kcodecs,0,0,370,0,0,53,0,370,0.0,Hausa <kde-i18n-doc@lists.kde.org>
kf5-kcompletion,0,3,15,0,2,9,0,18,0.0,Hausa <kde-i18n-doc@lists.kde.org>
kf5-kconfigwidgets,12,52,278,7,21,97,17,342,3.508771929824561,Hausa <kde-i18n-doc@lists.kde.org>
kf5-kcoreaddons,0,25,357,0,11,121,0,382,0.0,Hausa <kde-i18n-doc@lists.kde.org>
kf5-kdeclarative,4,0,157,2,0,23,7,161,2.484472049689441,Hausa <kde-i18n-doc@lists.kde.org>
kf5-kdelibs4support,10,574,4769,8,375,2161,13,5353,0.18681113394358304,Hausa <kde-i18n-doc@lists.kde.org>
kf5-kdesignerplugin,0,0,54,0,0,9,0,54,0.0,Hausa <kde-i18n-doc@lists.kde.org>
kf5-kdnssd,0,0,3,0,0,3,0,3,0.0,Hausa <kde-i18n-doc@lists.kde.org>
kf5-kglobalaccel,0,0,71,0,0,9,0,71,0.0,Hausa <kde-i18n-doc@lists.kde.org>
kf5-khtml,7,9,1651,5,4,280,11,1667,0.4199160167966407,Hausa <kde-i18n-doc@lists.kde.org>
kf5-ki18n,0,18,106,0,18,92,0,124,0.0,Hausa <kde-i18n-doc@lists.kde.org>
kf5-kinit,0,0,116,0,0,11,0,116,0.0,Hausa <kde-i18n-doc@lists.kde.org>
kf5-kitemviews,0,0,7,0,0,4,0,7,0.0,Hausa <kde-i18n-doc@lists.kde.org>
kf5-kjobwidgets,0,14,119,0,8,30,0,133,0.0,Hausa <kde-i18n-doc@lists.kde.org>
kf5-kjsembed,0,0,248,0,0,44,0,248,0.0,Hausa <kde-i18n-doc@lists.kde.org>
kf5-knewstuff,1,20,1610,1,12,218,1,1631,0.06131207847946045,Hausa <kde-i18n-doc@lists.kde.org>
kf5-knotifications,0,4,17,0,3,5,0,21,0.0,Hausa <kde-i18n-doc@lists.kde.org>
kf5-knotifyconfig,2,0,127,1,0,16,2,129,1.550387596899225,Hausa <kde-i18n-doc@lists.kde.org>
kf5-kparts,4,0,134,2,0,28,7,138,2.898550724637681,Hausa <kde-i18n-doc@lists.kde.org>
kf5-kpty,0,0,15,0,0,4,0,15,0.0,Hausa <kde-i18n-doc@lists.kde.org>
kf5-kross,6,5,89,4,2,29,9,100,6.0,Hausa <kde-i18n-doc@lists.kde.org>
kf5-kservice,4,1,168,2,1,25,7,173,2.312138728323699,Hausa <kde-i18n-doc@lists.kde.org>
kf5-ktextwidgets,0,2,471,0,2,128,0,473,0.0,Hausa <kde-i18n-doc@lists.kde.org>
kf5-kwidgetsaddons,0,101,1192,0,53,410,0,1293,0.0,Hausa <kde-i18n-doc@lists.kde.org>
kf5-kwindowsystem,0,0,2,0,0,1,0,2,0.0,Hausa <kde-i18n-doc@lists.kde.org>
kf5-kxmlgui,17,101,1456,14,49,167,28,1574,1.0800508259212198,Hausa <kde-i18n-doc@lists.kde.org>
kf5-sonnet,0,11,672,0,8,68,0,683,0.0,Hausa <kde-i18n-doc@lists.kde.org>
libmatekbd,5,0,303,5,0,86,8,308,1.6233766233766231,Hausa (https://app.transifex.com/mate/teams/13566/ha/)
libmateweather,3,0,497,3,0,181,9,500,0.6,Hausa (https://www.transifex.com/mate/teams/13566/ha/)
marco,1847,0,2456,268,0,162,2398,4303,42.9235417150825,Hausa (https://app.transifex.com/mate/teams/13566/ha/)
mate-applets,53,5,15899,53,3,1590,86,15957,0.3321426333270665,Hausa (https://www.transifex.com/mate/teams/13566/ha/)
mate-calc,12,0,3190,12,0,710,21,3202,0.3747657713928795,Hausa (https://www.transifex.com/mate/teams/13566/ha/)
mate-control-center,48,0,8205,45,0,1465,65,8253,0.5816066884769174,Hausa (https://app.transifex.com/mate/teams/13566/ha/)
mate-icon-theme,1,0,3,1,0,1,1,4,25.0,Hausa (https://www.transifex.com/mate/teams/13566/ha/)
mate-media,5,0,234,5,0,94,9,239,2.092050209205021,Hausa (https://app.transifex.com/mate/teams/13566/ha/)
mate-menu,15,0,293,13,0,97,21,308,4.870129870129871,Hausa (http://www.transifex.com/mate/MATE/language/ha/)
mate-menus,59,0,44,24,0,15,77,103,57.28155339805825,Hausa (https://app.transifex.com/mate/teams/13566/ha/)
mate-notification-daemon,6,0,180,5,0,48,12,186,3.225806451612903,Hausa (https://app.transifex.com/mate/teams/13566/ha/)
mate-panel,2660,0,4060,335,0,479,3190,6720,39.58333333333333,Hausa (https://app.transifex.com/mate/teams/13566/ha/)
mate-power-manager,17,0,5102,16,0,535,26,5119,0.3320961125219769,Hausa (https://app.transifex.com/mate/teams/13566/ha/)
mate-sensors-applet,3,2,2155,3,2,221,5,2160,0.1388888888888889,Hausa (https://www.transifex.com/mate/teams/13566/ha/)
mate-session-manager,56,0,659,22,0,110,76,715,7.8321678321678325,Hausa (https://app.transifex.com/mate/teams/13566/ha/)
mate-system-monitor,15,0,1497,14,0,305,26,1512,0.992063492063492,Hausa (https://www.transifex.com/mate/teams/13566/ha/)
mate-terminal,36,0,8487,28,0,780,46,8523,0.42238648363252373,Hausa (https://www.transifex.com/mate/teams/13566/ha/)
mate-themes,0,0,74,0,0,23,0,74,0.0,Hausa (http://app.transifex.com/mate/MATE/language/ha/)
mate-user-admin,3,0,602,3,0,123,3,605,0.49586776859504134,Hausa (https://www.transifex.com/mate/teams/13566/ha/)
mate-utils,124,0,9936,71,0,1055,157,10060,1.2326043737574552,Hausa (https://app.transifex.com/mate/teams/13566/ha/)
metacity,2219,900,689,313,61,37,2874,3808,58.27205882352941,hausa
mozo,10,0,36,8,0,16,10,46,21.73913043478261,Hausa (https://www.transifex.com/mate/teams/13566/ha/)
muffin,2219,900,689,313,61,37,2878,3808,58.27205882352941,hausa
mutter,2219,900,689,313,61,37,2874,3808,58.27205882352941,hausa
nautilus,3745,2655,1744,723,386,205,4634,8144,45.98477406679764,hausa
nutty,0,0,608,0,0,152,0,608,0.0,
optimizer,0,0,282,0,0,75,0,282,0.0,none
pluma,57,0,5650,39,0,1410,74,5707,0.9987734361310671,Hausa (https://app.transifex.com/mate/teams/13566/ha/)
