package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
bookworm,0,0,795,0,0,149,0,795,0.0,
coin,0,0,252,0,0,50,0,252,0.0,none
dippi,0,0,1425,0,0,249,0,1425,0.0,none
elementary-code,0,0,1614,0,0,290,0,1614,0.0,LANGUAGE <LL@li.org>
elementary-files,0,0,2490,0,0,551,0,2490,0.0,LANGUAGE <LL@li.org>
elementary-icon-theme,0,0,394,0,0,78,0,394,0.0,none
elementary-mail,0,0,788,0,0,179,0,788,0.0,
elementary-music,0,0,205,0,0,37,0,205,0.0,LANGUAGE <LL@li.org>
elementary-notifications,0,0,44,0,0,10,0,44,0.0,none
gala,0,0,249,0,0,51,0,249,0.0,none
gnome-do,162,0,450,68,0,76,156,612,26.47058823529412,Divehi <dv@li.org>
gnome-menus,157,0,0,56,0,0,133,157,100.0,Divehi <dv@li.org>
granite,0,0,498,0,0,118,0,498,0.0,
granite-7,0,0,300,0,0,75,0,300,0.0,
harvey,0,0,182,0,0,33,0,182,0.0,none
iso-codes,275,17,697,202,6,217,257,989,27.80586450960566,Dhivehi <https://hosted.weblate.org/projects/iso-codes/iso-3166-1/dv/>
minetest,327,213,8983,87,72,1196,291,9523,3.4337918723091465,Dhivehi <https://hosted.weblate.org/projects/minetest/minetest/dv/>
nutty,0,0,608,0,0,152,0,608,0.0,
optimizer,0,0,282,0,0,75,0,282,0.0,none
pinta,17,0,1729,15,0,522,22,1746,0.9736540664375716,Divehi <dv@li.org>
regextester,0,0,104,0,0,31,0,104,0.0,none
wingpanel,0,0,16,0,0,3,0,16,0.0,none
