package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
arandr,173,0,0,38,0,0,186,173,100.0,Sardinian <https://hosted.weblate.org/projects/arandr/translations/sc/>
atril,401,0,1951,107,0,408,510,2352,17.049319727891156,Sardinian (https://app.transifex.com/mate/teams/13566/sc/)
blueberry,9,0,163,8,0,31,9,172,5.232558139534884,LANGUAGE <LL@li.org>
bookworm,795,0,0,149,0,0,1057,795,100.0,Sardinian <https://hosted.weblate.org/projects/bookworm/bookworm/sc/>
caja,438,0,9237,105,0,1499,493,9675,4.5271317829457365,Sardinian (https://www.transifex.com/mate/teams/13566/sc/)
caja-actions,64,0,7018,16,0,723,100,7082,0.90369951990963,Sardinian (https://www.transifex.com/mate/teams/13566/sc/)
caja-extensions,33,0,727,3,0,142,41,760,4.342105263157895,Sardinian (https://www.transifex.com/mate/teams/13566/sc/)
calibre,3,0,170964,1,0,19330,3,170967,0.0017547245959746618,Sardinian (http://www.transifex.com/calibre/calibre/language/sc/)
cinnamon-translations,6755,0,15001,1924,0,2866,7929,21756,31.04890604890605,Sardinian <sc@li.org>
coin,0,0,252,0,0,50,0,252,0.0,none
dippi,0,0,1183,0,0,205,0,1183,0.0,none
elementary-capnet-assist,0,0,90,0,0,16,0,90,0.0,none
elementary-code,0,0,1608,0,0,307,0,1608,0.0,LANGUAGE <LL@li.org>
elementary-files,0,0,3669,0,0,664,0,3669,0.0,LANGUAGE <LL@li.org>
elementary-greeter,0,0,219,0,0,48,0,219,0.0,
elementary-icon-theme,0,0,263,0,0,72,0,263,0.0,none
elementary-mail,0,0,658,0,0,153,0,658,0.0,
elementary-music,0,0,1205,0,0,354,0,1205,0.0,LANGUAGE <LL@li.org>
elementary-notifications,0,0,50,0,0,14,0,50,0.0,none
elementary-photos,0,0,4011,0,0,818,0,4011,0.0,LANGUAGE <LL@li.org>
elementary-screenshot-tool,0,0,248,0,0,60,0,248,0.0,LANGUAGE <LL@li.org>
elementary-settings-daemon,0,0,26,0,0,4,0,26,0.0,none
elementary-shortcut-overlay,0,0,130,0,0,45,0,130,0.0,none
elementary-sideload,0,0,319,0,0,61,0,319,0.0,none
elementary-tasks,0,0,394,0,0,79,0,394,0.0,none
elementary-terminal,0,0,696,0,0,126,0,696,0.0,
elementary-theme,0,0,63,0,0,10,0,63,0.0,none
elementary-videos,0,0,391,0,0,96,0,391,0.0,
engrampa,75,0,1974,24,0,404,113,2049,3.6603221083455346,Sardinian (https://app.transifex.com/mate/teams/13566/sc/)
eom,41,0,1738,17,0,324,58,1779,2.304665542439573,Sardinian (https://app.transifex.com/mate/teams/13566/sc/)
exaile,3409,199,560,960,33,99,4189,4168,81.78982725527831,Sardinian <https://hosted.weblate.org/projects/exaile/master/sc/>
fonts-tweak-tool,0,0,196,0,0,65,0,196,0.0,Sardinian
gala,0,0,358,0,0,73,0,358,0.0,none
gnome-do,473,0,139,119,0,25,502,612,77.2875816993464,Sardinian <sc@li.org>
granite,0,0,498,0,0,118,0,498,0.0,
harvey,0,0,182,0,0,33,0,182,0.0,none
iso-codes,6625,979,16095,4253,565,10793,7123,23699,27.954766023882865,Sardinian <https://hosted.weblate.org/projects/iso-codes/iso-15924/sc/>
libmatekbd,9,0,299,2,0,89,7,308,2.922077922077922,Sardinian (https://www.transifex.com/mate/teams/13566/sc/)
libmypaint,457,0,1846,28,0,134,524,2303,19.84368215371255,Sardinian <https://hosted.weblate.org/projects/mypaint/libmypaint/sc/>
lightdm,0,0,163,0,0,21,0,163,0.0,Sardinian <sc@li.org>
lightdm-settings,72,0,249,33,0,32,87,321,22.429906542056074,LANGUAGE <LL@li.org>
manafirewall,14,0,1083,13,0,120,14,1097,1.276207839562443,Sardinian (https://www.transifex.com/MageiaLinux/teams/9361/sc/)
