package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
atril,58,0,2268,32,0,481,78,2326,2.493551160791058,Piemontese (https://app.transifex.com/mate/teams/13566/pms/)
audacity,266,0,17391,172,0,3961,277,17657,1.5064846802967662,Piemontese (http://www.transifex.com/klyok/audacity/language/pms/)
caja,59,0,9616,40,0,1564,62,9675,0.6098191214470284,Piemontese (https://app.transifex.com/mate/teams/13566/pms/)
caja-extensions,7,0,753,5,0,140,7,760,0.9210526315789472,Piemontese (https://www.transifex.com/mate/teams/13566/pms/)
deluge,0,0,4340,0,0,1333,0,4340,0.0,Piemontese <pms@li.org>
engrampa,16,0,2033,14,0,414,18,2049,0.7808687164470474,Piemontese (https://app.transifex.com/mate/teams/13566/pms/)
eom,152,0,1627,56,0,285,177,1779,8.544125913434513,Piemontese (https://app.transifex.com/mate/teams/13566/pms/)
libmatekbd,3,0,305,3,0,88,3,308,0.974025974025974,Piemontese (https://app.transifex.com/mate/teams/13566/pms/)
libmatemixer,3,0,239,3,0,123,3,242,1.2396694214876034,Piemontese (https://app.transifex.com/mate/teams/13566/pms/)
mate-applets,19,0,3535,18,0,664,21,3554,0.5346088913899831,Piemontese (https://www.transifex.com/mate/teams/13566/pms/)
mate-calc,137,0,3186,107,0,642,138,3323,4.122780619921757,Piemontese (https://www.transifex.com/mate/teams/13566/pms/)
mate-control-center,22,3,3306,19,2,1132,25,3331,0.6604623236265386,Piemontese (https://www.transifex.com/mate/teams/13566/pms/)
mate-icon-theme,4,0,0,2,0,0,6,4,100.0,Piemontese (https://www.transifex.com/mate/teams/13566/pms/)
mate-media,17,0,222,12,0,87,17,239,7.112970711297072,Piemontese (https://app.transifex.com/mate/teams/13566/pms/)
mate-menu,12,0,296,12,0,98,13,308,3.896103896103896,Piemontese (http://www.transifex.com/mate/MATE/language/pms/)
mate-menus,1,0,102,1,0,38,1,103,0.9708737864077669,Piemontese (https://app.transifex.com/mate/teams/13566/pms/)
mate-panel,24,0,5596,21,0,688,25,5620,0.42704626334519574,Piemontese (https://www.transifex.com/mate/teams/13566/pms/)
mate-power-manager,5,0,2651,4,0,407,5,2656,0.18825301204819278,Piemontese (http://www.transifex.com/mate/MATE/language/pms/)
mate-sensors-applet,8,0,305,8,0,101,9,313,2.5559105431309903,Piemontese (https://www.transifex.com/mate/teams/13566/pms/)
mate-session-manager,8,0,707,7,0,125,8,715,1.118881118881119,Piemontese (https://app.transifex.com/mate/teams/13566/pms/)
mate-settings-daemon,8,0,2199,7,0,312,8,2207,0.3624830086089715,Piemontese (https://app.transifex.com/mate/teams/13566/pms/)
mate-system-monitor,16,0,1542,11,0,320,19,1558,1.0269576379974326,Piemontese (https://app.transifex.com/mate/teams/13566/pms/)
mate-terminal,23,0,4696,19,0,524,26,4719,0.48739139648230556,Piemontese (https://app.transifex.com/mate/teams/13566/pms/)
mate-themes,0,0,74,0,0,23,0,74,0.0,Piemontese (http://app.transifex.com/mate/MATE/language/pms/)
mate-user-guide,5,0,1,2,0,1,5,6,83.33333333333334,Piemontese (https://app.transifex.com/mate/teams/13566/pms/)
mate-utils,42,0,3837,27,0,677,46,3879,1.082753286929621,Piemontese (https://app.transifex.com/mate/teams/13566/pms/)
mozo,3,0,43,3,0,21,3,46,6.521739130434782,Piemontese (https://www.transifex.com/mate/teams/13566/pms/)
onboard,1,0,2317,1,0,509,1,2318,0.04314063848144953,Piemontese <pms@li.org>
pluma,97,0,5610,65,0,1384,116,5707,1.6996670755212897,Piemontese (https://app.transifex.com/mate/teams/13566/pms/)
python-caja,6,0,0,2,0,0,5,6,100.0,Piemontese (https://www.transifex.com/mate/teams/13566/pms/)
