package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
atril,264,0,1460,132,0,265,252,1724,15.31322505800464,Kurdish (Iraq) (http://www.transifex.com/mate/MATE/language/ku_IQ/)
caja,924,0,8389,399,0,1111,890,9313,9.921614946848491,Kurdish (Iraq) (http://www.transifex.com/mate/MATE/language/ku_IQ/)
caja-extensions,25,0,531,18,0,109,25,556,4.496402877697841,Kurdish (Iraq) (http://www.transifex.com/mate/MATE/language/ku_IQ/)
engrampa,103,0,1837,41,0,313,91,1940,5.309278350515464,Kurdish (Iraq) (http://www.transifex.com/mate/MATE/language/ku_IQ/)
eom,51,0,1666,22,0,296,46,1717,2.9702970297029703,Kurdish (Iraq) (http://www.transifex.com/mate/MATE/language/ku_IQ/)
libmatekbd,20,0,231,8,0,35,18,251,7.968127490039841,Kurdish (Iraq) (http://www.transifex.com/mate/MATE/language/ku_IQ/)
libmatemixer,25,0,217,18,0,108,25,242,10.330578512396695,Kurdish (Iraq) (http://www.transifex.com/mate/MATE/language/ku_IQ/)
libmateweather,122,0,377,77,0,106,134,499,24.448897795591183,Kurdish (Iraq) (http://www.transifex.com/mate/MATE/language/ku_IQ/)
marco,30,0,4059,19,0,395,29,4089,0.7336757153338225,Kurdish (Iraq) (http://www.transifex.com/mate/MATE/language/ku_IQ/)
mate-applets,145,0,2473,93,0,532,146,2618,5.538579067990833,Kurdish (Iraq) (http://www.transifex.com/mate/MATE/language/ku_IQ/)
mate-backgrounds,2,0,28,2,0,19,2,30,6.666666666666667,Kurdish (Iraq) (http://www.transifex.com/mate/MATE/language/ku_IQ/)
mate-control-center,142,0,2580,88,0,560,145,2722,5.216752387950037,Kurdish (Iraq) (http://www.transifex.com/mate/MATE/language/ku_IQ/)
mate-desktop,85,0,2261,39,0,291,73,2346,3.6231884057971016,Kurdish (Iraq) (http://www.transifex.com/mate/MATE/language/ku_IQ/)
mate-icon-theme,1,0,3,1,0,1,1,4,25.0,Kurdish (Iraq) (http://www.transifex.com/mate/MATE/language/ku_IQ/)
mate-media,26,0,200,16,0,80,24,226,11.504424778761061,Kurdish (Iraq) (http://www.transifex.com/mate/MATE/language/ku_IQ/)
mate-menu,132,0,168,66,0,44,133,300,44.0,Kurdish (Iraq) (http://www.transifex.com/mate/MATE/language/ku_IQ/)
mate-menus,34,0,63,21,0,16,34,97,35.051546391752574,Kurdish (Iraq) (http://www.transifex.com/mate/MATE/language/ku_IQ/)
mate-notification-daemon,6,0,133,4,0,33,6,139,4.316546762589928,Kurdish (Iraq) (http://www.transifex.com/mate/MATE/language/ku_IQ/)
mate-panel,112,0,4241,71,0,516,105,4353,2.57293820353779,Kurdish (Iraq) (http://www.transifex.com/mate/MATE/language/ku_IQ/)
mate-polkit,4,0,309,1,0,49,5,313,1.2779552715654952,Kurdish (Iraq) (http://www.transifex.com/mate/MATE/language/ku_IQ/)
mate-power-manager,77,0,2647,42,0,398,80,2724,2.826725403817915,Kurdish (Iraq) (http://www.transifex.com/mate/MATE/language/ku_IQ/)
mate-screensaver,18,0,965,10,0,146,19,983,1.8311291963377416,Kurdish (Iraq) (http://www.transifex.com/mate/MATE/language/ku_IQ/)
mate-sensors-applet,33,0,271,21,0,84,35,304,10.855263157894738,Kurdish (Iraq) (http://www.transifex.com/mate/MATE/language/ku_IQ/)
mate-session-manager,45,0,636,25,0,89,38,681,6.607929515418502,Kurdish (Iraq) (http://www.transifex.com/mate/MATE/language/ku_IQ/)
mate-settings-daemon,20,0,1744,13,0,240,21,1764,1.1337868480725624,Kurdish (Iraq) (http://www.transifex.com/mate/MATE/language/ku_IQ/)
mate-system-monitor,52,0,1255,34,0,274,52,1307,3.978576893649579,Kurdish (Iraq) (http://www.transifex.com/mate/MATE/language/ku_IQ/)
mate-terminal,174,0,4265,88,0,421,170,4439,3.919801757152512,Kurdish (Iraq) (http://www.transifex.com/mate/MATE/language/ku_IQ/)
mate-user-guide,5,0,0,2,0,0,6,5,100.0,Kurdish (Iraq) (http://www.transifex.com/mate/MATE/language/ku_IQ/)
mate-utils,198,0,3479,106,0,554,191,3677,5.3848245852597225,Kurdish (Iraq) (http://www.transifex.com/mate/MATE/language/ku_IQ/)
mozo,14,0,28,9,0,7,16,42,33.33333333333333,Kurdish (Iraq) (http://www.transifex.com/mate/MATE/language/ku_IQ/)
pidgin,123,0,15633,95,0,3338,126,15756,0.7806549885757806,Kurdish (Iraq) (http://www.transifex.com/pidgin/pidgin/language/ku_IQ/)
pluma,249,0,4789,130,0,974,242,5038,4.942437475188568,Kurdish (Iraq) (http://www.transifex.com/mate/MATE/language/ku_IQ/)
python-caja,1,0,5,1,0,1,1,6,16.666666666666664,Kurdish (Iraq) (http://www.transifex.com/mate/MATE/language/ku_IQ/)
