package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
abrt,0,0,3230,0,0,390,0,3230,0.0,Burmese (http://www.transifex.com/projects/p/fedora-abrt/language/my/)
anaconda,287,0,7553,64,0,1224,183,7840,3.660714285714286,Burmese
appcenter,200,14,551,67,8,106,140,765,26.143790849673206,LANGUAGE <LL@li.org>
arduino,93,0,3000,68,0,522,79,3093,3.0067895247332688,Burmese (Myanmar) (http://www.transifex.com/mbanzi/arduino-ide-15/language/my_MM/)
asunder,9,0,486,8,0,83,8,495,1.8181818181818181,http://littlesvr.ca/ostd/
audacity,4320,5212,7456,1108,1560,1213,3589,16988,25.429715093006827,Burmese <my@li.org>
authconfig,0,0,929,0,0,137,0,929,0.0,Burmese (http://www.transifex.com/projects/p/fedora/language/my/)
bibletime,51,0,9669,81,0,563,51,9720,0.5246913580246914,Burmese (http://www.transifex.com/bibletime/bibletime/language/my/)
bleachbit,409,0,578,132,0,91,255,987,41.4387031408308,Burmese <my@li.org>
blueberry,24,0,117,7,0,27,20,141,17.02127659574468,Burmese <my@li.org>
brasero,4765,18,769,935,4,54,1866,5552,85.8249279538905,Burmese <my-l10n-team@googlegroups.com>
bzr,0,0,33099,0,0,2340,0,33099,0.0,Burmese <my@li.org>
calibre,449,0,158553,92,0,18156,232,159002,0.28238638507691727,Burmese (http://www.transifex.com/calibre/calibre/language/my/)
certmonger,0,0,2831,0,0,473,0,2831,0.0,Burmese (http://www.transifex.com/projects/p/certmonger/language/my/)
chkconfig,0,0,487,0,0,93,0,487,0.0,LANGUAGE <LL@li.org>
cinnamon-translations,858,0,16375,247,0,3647,591,17233,4.978819706377299,Burmese <my@li.org>
clementine,4361,0,766,1188,0,173,1434,5127,85.05948897991028,Burmese (http://www.transifex.com/davidsansome/clementine/language/my/)
cockpit-ostree,3,0,165,3,0,62,3,168,1.7857142857142856,Burmese
deja-dup,24,0,4158,5,0,489,21,4182,0.5738880918220948,Burmese <my@li.org>
dippi,0,0,397,0,0,53,0,397,0.0,none
docker-anaconda-addon,0,0,27,0,0,4,0,27,0.0,Burmese
elementary-calculator,55,0,25,33,0,4,44,80,68.75,LANGUAGE <LL@li.org>
elementary-calendar,0,0,484,0,0,184,0,484,0.0,LANGUAGE <LL@li.org>
elementary-camera,38,0,24,10,0,6,23,62,61.29032258064516,Burmese <https://l10n.elementary.io/projects/camera/camera/my/>
elementary-capnet-assist,0,0,81,0,0,13,0,81,0.0,none
elementary-code,52,58,702,13,10,175,34,812,6.403940886699508,LANGUAGE <LL@li.org>
elementary-files,0,0,2818,0,0,548,0,2818,0.0,Burmese <my@li.org>
elementary-greeter,11,0,65,6,0,12,17,76,14.473684210526317,Burmese <my@li.org>
elementary-music,0,0,1137,0,0,329,0,1137,0.0,LANGUAGE <LL@li.org>
elementary-photos,0,0,3775,0,0,793,0,3775,0.0,LANGUAGE <LL@li.org>
elementary-screenshot-tool,0,0,129,0,0,41,0,129,0.0,LANGUAGE <LL@li.org>
elementary-shortcut-overlay,0,0,82,0,0,37,0,82,0.0,none
elementary-terminal,0,0,286,0,0,66,0,286,0.0,
elementary-videos,60,0,90,28,0,24,45,150,40.0,Burmese <my@li.org>
empathy,3928,78,82,897,48,26,2545,4088,96.08610567514677,Burmese <LL@li.org>
eog,225,0,1400,126,0,190,222,1625,13.846153846153847,Burmese <my-l10n-team@googlegroups.com>
ephemeral,0,0,1809,0,0,207,0,1809,0.0,none
evince,1084,31,378,324,6,41,722,1493,72.60549229738781,Burmese <my-l10n-team@googlegroups.com>
file-roller,1035,0,348,267,0,38,440,1383,74.83731019522777,Burmese <my-l10n-team@googlegroups.com>
gdk-pixbuf2,1192,89,67,184,12,6,942,1348,88.4272997032641,Burmese <my@li.org>
gedit,1513,0,3491,475,0,633,1137,5004,30.235811350919267,Burmese <LL@li.org>
gimp,24256,2049,968,6405,490,158,19423,27273,88.93777728889378,Burmese <burmait@burmait.net>
gnome-calculator,352,0,789,160,0,99,241,1141,30.850131463628394,Burmese <LL@li.org>
gnome-control-center,1049,0,2315,368,0,422,605,3364,31.183115338882285,Burmese <my-l10n-team@googlegroups.com>
gnome-do,612,0,0,144,0,0,287,612,100.0,Burmese <my@li.org>
gnome-power-manager,56,0,2796,27,0,414,41,2852,1.9635343618513323,Burmese <my-l10n-team@googlegroups.com>
gnome-screensaver,113,0,876,42,0,115,74,989,11.425682507583417,Burmese <my-l10n-team@googlegroups.com>
gnome-tweaks,111,0,0,41,0,0,108,111,100.0,MM L10N Team <mm.l10n.team@gmail.com>
granite,0,0,150,0,0,68,0,150,0.0,Burmese <my@li.org>
gtk2,13010,443,251,2670,77,37,9363,13704,94.93578517221249,Burmese <my@li.org>
gtk3,10766,767,320,2291,144,52,7669,11853,90.82932590905256,Burmese <my@li.org>
gtk4,10766,767,320,2291,144,52,7669,11853,90.82932590905256,Burmese <my@li.org>
harvey,0,0,57,0,0,12,0,57,0.0,none
im-chooser,0,0,239,0,0,56,0,239,0.0,LANGUAGE <LL@li.org>
imsettings,0,0,456,0,0,84,0,456,0.0,LANGUAGE <LL@li.org>
initial-setup,0,0,33,0,0,7,0,33,0.0,Burmese (http://www.transifex.com/projects/p/initial-setup/language/my/)
initscripts,0,0,1001,0,0,157,0,1001,0.0,<XX@li.org>
iso-codes,241,0,745,186,0,234,194,986,24.442190669371197,Burmese <https://hosted.weblate.org/projects/iso-codes/iso-3166-1/my/>
isomaster,25,1,648,17,1,89,26,674,3.7091988130563793,http://littlesvr.ca/ostd/
libbytesize,0,0,17,0,0,17,0,17,0.0,Burmese
libgxim,0,0,124,0,0,24,0,124,0.0,LANGUAGE <LL@li.org>
libmatekbd,0,0,251,0,0,43,0,251,0.0,Burmese (http://www.transifex.com/mate/MATE/language/my/)
libreoffice,53225,14484,30906,17345,5693,8527,34737,98615,53.97251939360138,LANGUAGE <LL@li.org>
libreport,0,0,3501,0,0,452,0,3501,0.0,Burmese (http://www.transifex.com/projects/p/libreport/language/my/)
libvirt,0,0,63807,0,0,9846,0,63807,0.0,Burmese
light-locker,0,0,260,0,0,37,0,260,0.0,Burmese (http://www.transifex.com/the_cavalry/light-locker/language/my/)
lightdm,0,0,163,0,0,21,0,163,0.0,Burmese <my@li.org>
mate-applets,1,0,811,1,0,53,1,812,0.12315270935960591,Burmese (https://www.transifex.com/mate/teams/13566/my/)
mate-calc,298,0,2880,148,0,571,201,3178,9.376966645689112,Burmese (https://www.transifex.com/mate/teams/13566/my/)
mate-menu,0,0,316,0,0,118,0,316,0.0,Burmese (http://www.transifex.com/projects/p/MATE/language/my/)
mate-menus,1,0,96,1,0,36,1,97,1.0309278350515463,Burmese (https://www.transifex.com/mate/teams/13566/my/)
mate-panel,1,0,941,1,0,62,1,942,0.10615711252653928,Burmese (https://www.transifex.com/mate/teams/13566/my/)
mate-themes,0,0,60,0,0,12,0,60,0.0,Burmese (http://www.transifex.com/mate/MATE/language/my/)
mingw-gdk-pixbuf,1192,89,67,184,12,6,942,1348,88.4272997032641,Burmese <my@li.org>
mingw-gtk2,13010,443,251,2670,77,37,9363,13704,94.93578517221249,Burmese <my@li.org>
mingw-gtk3,10766,767,320,2291,144,52,7669,11853,90.82932590905256,Burmese <my@li.org>
mingw-libvirt,0,0,63557,0,0,9817,0,63557,0.0,Burmese
nautilus,797,0,8094,288,0,1161,572,8891,8.964121021257451,Burmese <my-l10n-team@googlegroups.com>
nemo-extensions,1,0,7,1,0,1,1,8,12.5,Burmese <my@li.org>
nutty,0,0,608,0,0,152,0,608,0.0,
onboard,14,0,2304,14,0,496,14,2318,0.6039689387402933,Burmese <my@li.org>
optimizer,0,0,282,0,0,75,0,282,0.0,none
pam,0,0,597,0,0,120,0,597,0.0,Burmese (http://www.transifex.com/projects/p/fedora/language/my/)
pantheon-agent-geoclue2,0,0,99,0,0,17,0,99,0.0,LANGUAGE <LL@li.org>
pantheon-agent-polkit,0,0,14,0,0,7,0,14,0.0,LANGUAGE <LL@li.org>
pantheon-greeter,11,0,18,6,0,4,17,29,37.93103448275862,Burmese <my@li.org>
passwd,0,0,336,0,0,57,0,336,0.0,LANGUAGE <LL@li.org>
pastebinit,2,0,193,1,0,28,4,195,1.0256410256410255,Burmese <my@li.org>
pidgin,15095,10,651,3328,1,104,11782,15756,95.80477278497081,Burmese (Myanmar) (http://www.transifex.com/pidgin/pidgin/language/my_MM/)
pidgin-otr,1064,0,0,159,0,0,819,1064,100.0,MM L10N Team <mm.l10n.team@gmail.com>
pogo,340,0,236,84,0,17,197,576,59.02777777777778,Burmese <my@li.org>
policycoreutils,7,0,4490,7,0,691,7,4497,0.155659328441183,Burmese
python-django,453,0,3033,203,0,598,274,3486,12.994836488812393,Burmese (http://www.transifex.com/django/django/language/my/)
python-meh,0,0,109,0,0,23,0,109,0.0,Burmese (http://www.transifex.com/projects/p/python-meh/language/my/)
python-simpleline,0,0,42,0,0,16,0,42,0.0,Burmese
python2-django1.11,453,0,2965,203,0,588,274,3418,13.253364540667057,Burmese (http://www.transifex.com/django/django/language/my/)
redhat-menus,0,0,261,0,0,86,0,261,0.0,none
rednotebook,1,0,1146,1,0,239,11,1147,0.08718395815170009,Burmese <my@li.org>
remmina,28,0,2474,14,0,605,33,2502,1.1191047162270185,Burmese <my@li.org>
rhn-client-tools,0,0,4057,0,0,419,0,4057,0.0,Burmese (http://www.transifex.com/projects/p/spacewalk/language/my/)
rhnsd,0,0,33,0,0,9,0,33,0.0,LANGUAGE <LL@li.org>
sequeler,0,0,1352,0,0,275,0,1352,0.0,
setroubleshoot,0,0,660,0,0,181,0,660,0.0,Burmese (http://www.transifex.com/projects/p/fedora/language/my/)
setroubleshoot-plugins,0,0,6208,0,0,221,0,6208,0.0,Burmese (http://www.transifex.com/projects/p/fedora/language/my/)
setuptool,0,0,55,0,0,14,0,55,0.0,none
simple-scan,362,0,227,91,0,54,307,589,61.460101867572156,Burmese <my@li.org>
slick-greeter,175,0,36,38,0,9,116,211,82.93838862559242,Burmese <my@li.org>
sos,0,0,122,0,0,30,0,122,0.0,none
steadyflow,66,0,404,27,0,66,68,470,14.042553191489363,Burmese <my@li.org>
sugar,0,0,2305,0,0,529,0,2305,0.0,LANGUAGE <LL@li.org>
sugar-toolkit-gtk3,64,13,82,59,9,43,61,159,40.25157232704403,LANGUAGE <LL@li.org>
switchboard,0,0,61,0,0,18,0,61,0.0,Burmese <my@li.org>
switchboard-plug-a11y,0,0,182,0,0,65,0,182,0.0,LANGUAGE <LL@li.org>
switchboard-plug-about,0,0,94,0,0,28,0,94,0.0,Burmese <my@li.org>
switchboard-plug-applications,0,0,86,0,0,32,0,86,0.0,Burmese <my@li.org>
switchboard-plug-bluetooth,0,0,74,0,0,28,0,74,0.0,none
switchboard-plug-display,0,0,113,0,0,47,0,113,0.0,Burmese <my@li.org>
switchboard-plug-keyboard,0,0,404,0,0,157,0,404,0.0,Burmese <my@li.org>
switchboard-plug-mouse-touchpad,0,0,150,0,0,51,0,150,0.0,none
switchboard-plug-networking,0,0,444,0,0,129,0,444,0.0,
switchboard-plug-notifications,0,0,139,0,0,20,0,139,0.0,none
switchboard-plug-onlineaccounts,0,0,161,0,0,49,0,161,0.0,Burmese <my@li.org>
switchboard-plug-pantheon-shell,0,0,153,0,0,59,0,153,0.0,Burmese <my@li.org>
switchboard-plug-printers,0,0,336,0,0,138,0,336,0.0,LANGUAGE <LL@li.org>
switchboard-plug-sharing,0,0,130,0,0,28,0,130,0.0,none
switchboard-plug-sound,0,0,131,0,0,46,0,131,0.0,Burmese <my@li.org>
switchdesk,0,0,122,0,0,19,0,122,0.0,none
system-config-bind,0,0,9419,0,0,1064,0,9419,0.0,none
system-config-firewall,0,0,2814,0,0,331,0,2814,0.0,none
system-config-httpd,0,0,858,0,0,223,0,858,0.0,none
system-config-kdump,0,0,877,0,0,156,0,877,0.0,LANGUAGE <LL@li.org>
system-config-keyboard,0,0,187,0,0,81,0,187,0.0,none
system-config-rootpassword,0,0,116,0,0,19,0,116,0.0,none
system-config-users-docs,0,0,1061,0,0,82,0,1061,0.0,LANGUAGE <LL@li.org>
system-switch-mail,0,0,101,0,0,17,0,101,0.0,none
totem,434,80,2053,189,29,365,361,2567,16.90689520841449,Burmese <my-l10n-team@googlegroups.com>
transmission,1,0,1808,1,0,493,6,1809,0.055279159756771695,Burmese <my@li.org>
vocal,0,0,377,0,0,79,0,377,0.0,Burmese <my@li.org>
widelands,30,0,58909,12,0,5213,25,58939,0.05090008313680246,Burmese (http://www.transifex.com/widelands/widelands/language/my/)
wingpanel,6,0,0,1,0,0,3,6,100.0,Burmese <my@li.org>
wingpanel-applications-menu,0,0,222,0,0,73,0,222,0.0,Burmese <my@li.org>
wingpanel-indicator-bluetooth,0,0,15,0,0,9,0,15,0.0,none
wingpanel-indicator-datetime,12,2,0,3,1,0,4,14,85.71428571428571,Burmese <my@li.org>
wingpanel-indicator-keyboard,0,0,10,0,0,4,0,10,0.0,
wingpanel-indicator-network,0,0,76,0,0,22,0,76,0.0,none
wingpanel-indicator-nightlight,0,0,16,0,0,6,0,16,0.0,
wingpanel-indicator-notifications,16,0,0,7,0,0,11,16,100.0,Burmese <my@li.org>
wingpanel-indicator-power,81,0,12,23,0,4,44,93,87.09677419354838,Burmese <my@li.org>
wingpanel-indicator-session,0,0,57,0,0,18,0,57,0.0,none
wingpanel-indicator-sound,14,0,0,6,0,0,9,14,100.0,Burmese <my@li.org>
xed,34,0,4579,5,0,988,17,4613,0.7370474745285064,Burmese <my@li.org>
xplayer,338,0,1614,159,0,334,291,1952,17.315573770491806,Burmese <my-l10n-team@googlegroups.com>
xviewer,185,0,1492,109,0,215,189,1677,11.03160405485987,Burmese <my-l10n-team@googlegroups.com>
yum-rhn-plugin,0,0,147,0,0,17,0,147,0.0,LANGUAGE <LL@li.org>
