package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
bookworm,0,0,795,0,0,149,0,795,0.0,
calibre,47,0,170920,47,0,19284,49,170967,0.02749068533693637,Venda (http://www.transifex.com/calibre/calibre/language/ve/)
coin,0,0,252,0,0,50,0,252,0.0,none
dippi,0,0,1425,0,0,249,0,1425,0.0,none
elementary-code,0,0,1614,0,0,290,0,1614,0.0,LANGUAGE <LL@li.org>
elementary-files,0,0,2490,0,0,551,0,2490,0.0,LANGUAGE <LL@li.org>
elementary-icon-theme,0,0,394,0,0,78,0,394,0.0,none
elementary-mail,0,0,788,0,0,179,0,788,0.0,
elementary-music,0,0,205,0,0,37,0,205,0.0,LANGUAGE <LL@li.org>
elementary-notifications,0,0,44,0,0,10,0,44,0.0,none
gala,0,0,249,0,0,51,0,249,0.0,none
granite,0,0,498,0,0,118,0,498,0.0,
granite-7,0,0,300,0,0,75,0,300,0.0,
harvey,0,0,182,0,0,33,0,182,0.0,none
iso-codes,318,9311,13281,274,6985,7974,320,22910,1.3880401571366214,Venda <https://hosted.weblate.org/projects/iso-codes/iso-3166-1/ve/>
koffice-kivio,1896,1809,4712,555,785,1021,2336,8417,22.52584056076987,<en@li.org>
libreoffice,28909,14740,125286,9463,7488,21540,35984,168935,17.112498890105662,LANGUAGE <LL@li.org>
nutty,0,0,608,0,0,152,0,608,0.0,
optimizer,0,0,282,0,0,75,0,282,0.0,none
regextester,0,0,104,0,0,31,0,104,0.0,none
tuxpaint,353,1556,1854,127,170,164,367,3763,9.380813180972629,LANGUAGE <LL@li.org>
wingpanel,0,0,16,0,0,3,0,16,0.0,none
