package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
etoys,28500,0,1494,4817,0,285,32257,29994,95.01900380076015,
olpc-switch-desktop,153,0,5,12,0,2,187,158,96.83544303797468,LANGUAGE <LL@li.org>
openerp,0,0,33660,0,0,3719,0,33660,0.0,Dari Persian <fa_AF@li.org>
sugar,234,0,0,92,0,0,302,234,100.0,LANGUAGE <LL@li.org>
sugar-abacus,1,0,23,1,0,23,8,24,4.166666666666666,LANGUAGE <LL@li.org>
sugar-base,0,0,5,0,0,5,0,5,0.0,LANGUAGE <LL@li.org>
sugar-browse,40,2,15,21,2,7,67,57,70.17543859649122,LANGUAGE <LL@li.org>
sugar-calculator,376,90,393,84,17,65,401,859,43.77182770663563,LANGUAGE <LL@li.org>
sugar-chat,24,0,26,11,0,22,26,50,48.0,LANGUAGE <LL@li.org>
sugar-clock,0,0,38,0,0,17,0,38,0.0,LANGUAGE <LL@li.org>
sugar-connect,31,0,0,8,0,0,32,31,100.0,LANGUAGE <LL@li.org>
sugar-finance,143,0,0,32,0,0,160,143,100.0,LANGUAGE <LL@li.org>
sugar-imageviewer,18,0,6,9,0,2,34,24,75.0,LANGUAGE <LL@li.org>
sugar-infoslicer,140,31,13,43,9,4,158,184,76.08695652173914,LANGUAGE <LL@li.org>
sugar-jukebox,7,0,0,5,0,0,18,7,100.0,LANGUAGE <LL@li.org>
sugar-labyrinth,208,29,17,75,9,9,302,254,81.88976377952756,LANGUAGE <LL@li.org>
sugar-log,39,6,32,11,3,5,47,77,50.649350649350644,LANGUAGE <LL@li.org>
sugar-measure,9,8,138,5,4,64,9,155,5.806451612903226,LANGUAGE <LL@li.org>
sugar-memorize,25,8,81,14,7,50,41,114,21.929824561403507,LANGUAGE <LL@li.org>
sugar-moon,55,35,1,26,5,1,79,91,60.43956043956044,Farsi AF <LL@li.org>
sugar-physics,13,0,15,13,0,14,18,28,46.42857142857143,LANGUAGE <LL@li.org>
sugar-pippy,41,15,53,13,1,17,54,109,37.61467889908257,LANGUAGE <LL@li.org>
sugar-playgo,0,0,85,0,0,30,0,85,0.0,LANGUAGE <LL@li.org>
sugar-read,32,7,21,18,3,10,41,60,53.333333333333336,LANGUAGE <LL@li.org>
sugar-ruler,0,0,5,0,0,5,0,5,0.0,LANGUAGE <LL@li.org>
sugar-surf,52,0,0,27,0,0,68,52,100.0,LANGUAGE <LL@li.org>
sugar-tamtam,2070,0,0,695,0,0,2342,2070,100.0,LANGUAGE <LL@li.org>
sugar-terminal,13,0,0,7,0,0,18,13,100.0,LANGUAGE <LL@li.org>
sugar-toolkit,0,0,59,0,0,28,0,59,0.0,LANGUAGE <LL@li.org>
sugar-turtleart,84,46,2337,60,29,566,116,2467,3.4049452776651807,Dari <walter@sugarlabs.org>
sugar-view-slides,0,0,7,0,0,5,0,7,0.0,LANGUAGE <LL@li.org>
sugar-visualmatch,0,0,58,0,0,30,0,58,0.0,LANGUAGE <LL@li.org>
sugar-write,64,0,17,38,0,10,67,81,79.01234567901234,LANGUAGE <LL@li.org>
