package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
atril,8,0,1784,7,0,406,22,1792,0.4464285714285714,Spanish (Ecuador) (https://www.transifex.com/mate/teams/13566/es_EC/)
engrampa,6,0,1939,6,0,348,18,1945,0.30848329048843187,Spanish (Ecuador) (https://www.transifex.com/mate/teams/13566/es_EC/)
eom,10,0,1707,10,0,308,23,1717,0.5824111822947,Spanish (Ecuador) (https://www.transifex.com/mate/teams/13566/es_EC/)
libgweather,447,9,4,170,5,4,536,460,97.17391304347827,Spanish <traductores@es.gnome.org>
libmatekbd,1,0,250,1,0,42,1,251,0.398406374501992,Spanish (Ecuador) (https://www.transifex.com/mate/teams/13566/es_EC/)
libmateweather,362,0,137,154,0,29,426,499,72.54509018036072,Spanish (Ecuador) (https://www.transifex.com/mate/teams/13566/es_EC/)
lollypop,0,0,1012,0,0,306,0,1012,0.0,Spanish (Ecuador) (http://www.transifex.com/gnumdk/lollypop/language/es_EC/)
mate-applets,1651,0,838,364,0,196,2070,2489,66.33186018481318,Spanish (Ecuador) (https://www.transifex.com/mate/teams/13566/es_EC/)
mate-control-center,17,0,2641,11,0,617,30,2658,0.6395786305492852,Spanish (Ecuador) (https://www.transifex.com/mate/teams/13566/es_EC/)
mate-media,4,0,222,3,0,93,5,226,1.7699115044247788,Spanish (Ecuador) (https://www.transifex.com/mate/teams/13566/es_EC/)
mate-menu,0,0,316,0,0,118,0,316,0.0,Spanish (Ecuador) (http://www.transifex.com/projects/p/MATE/language/es_EC/)
mate-panel,32,0,4332,23,0,567,53,4364,0.7332722273143905,Spanish (Ecuador) (https://www.transifex.com/mate/teams/13566/es_EC/)
mate-power-manager,10,0,2714,10,0,430,23,2724,0.36710719530102787,Spanish (Ecuador) (https://www.transifex.com/mate/teams/13566/es_EC/)
mate-sensors-applet,9,0,297,9,0,97,22,306,2.941176470588235,Spanish (Ecuador) (https://www.transifex.com/mate/teams/13566/es_EC/)
mate-session-manager,3,0,678,3,0,111,3,681,0.4405286343612335,Spanish (Ecuador) (https://www.transifex.com/mate/teams/13566/es_EC/)
mate-settings-daemon,43,0,1721,6,0,247,45,1764,2.437641723356009,Spanish (Ecuador) (https://www.transifex.com/mate/teams/13566/es_EC/)
mate-system-monitor,14,0,1319,10,0,303,30,1333,1.0502625656414104,Spanish (Ecuador) (https://www.transifex.com/mate/teams/13566/es_EC/)
openerp,30337,0,25561,6257,0,2368,31981,55898,54.272066979140575,Spanish (Ecuador) <es_EC@li.org>
openerp-client,2354,0,5375,527,0,47,2682,7729,30.456721438737222,Spanish (Ecuador) <es_EC@li.org>
openerp7,17290,0,31127,4298,0,2631,18411,48417,35.71059751740091,Spanish (Ecuador) <es_EC@li.org>
tryton,1574,0,0,421,0,0,1930,1574,100.0,
trytond,2648,0,0,1207,0,0,3281,2648,100.0,
trytond-account,2743,0,0,1220,0,0,3427,2743,100.0,
trytond-account-invoice,1028,0,0,372,0,0,1250,1028,100.0,
trytond-account-invoice-history,2,0,0,1,0,0,3,2,100.0,
trytond-account-invoice-line-standalone,10,0,0,4,0,0,16,10,100.0,
trytond-account-product,296,0,0,95,0,0,371,296,100.0,
trytond-account-statement,231,0,0,127,0,0,357,231,100.0,
trytond-account-stock-anglo-saxon,74,0,0,12,0,0,82,74,100.0,
trytond-account-stock-continental,325,0,0,69,0,0,385,325,100.0,
trytond-analytic-account,184,0,0,95,0,0,210,184,100.0,
trytond-analytic-invoice,13,0,0,3,0,0,13,13,100.0,
trytond-analytic-purchase,22,0,0,4,0,0,24,22,100.0,
trytond-analytic-sale,13,0,0,3,0,0,13,13,100.0,
trytond-calendar,621,0,0,283,0,0,861,621,100.0,
trytond-calendar-classification,2,0,0,2,0,0,2,2,100.0,
trytond-calendar-scheduling,100,0,0,50,0,0,113,100,100.0,
trytond-sale,536,0,0,266,0,0,658,536,100.0,
trytond-sale-opportunity,320,0,0,174,0,0,393,320,100.0,
trytond-sale-price-list,5,0,0,2,0,0,8,5,100.0,
trytond-stock,1203,0,0,563,0,0,1564,1203,100.0,
trytond-stock-forecast,174,0,0,81,0,0,224,174,100.0,
trytond-stock-inventory-location,17,0,0,11,0,0,17,17,100.0,
trytond-stock-location-sequence,1,0,0,1,0,0,1,1,100.0,
trytond-stock-product-location,23,0,0,14,0,0,32,23,100.0,
trytond-stock-supply,147,0,0,58,0,0,192,147,100.0,
trytond-stock-supply-day,27,0,0,18,0,0,36,27,100.0,
trytond-timesheet,278,0,0,131,0,0,348,278,100.0,
