package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
bookworm,0,0,795,0,0,149,0,795,0.0,
coin,0,0,252,0,0,50,0,252,0.0,none
dippi,0,0,1183,0,0,205,0,1183,0.0,none
gjots2,938,8,7,253,4,3,364,953,98.42602308499475,
granite,0,0,498,0,0,118,0,498,0.0,
harvey,0,0,182,0,0,33,0,182,0.0,none
initial-setup,0,0,33,0,0,7,0,33,0.0,Twi
libvirt-sandbox,0,0,617,0,0,111,0,617,0.0,Twi
nutty,0,0,608,0,0,152,0,608,0.0,
optimizer,0,0,282,0,0,75,0,282,0.0,none
python-fedora,0,0,214,0,0,29,0,214,0.0,Twi
python-meh,0,0,109,0,0,23,0,109,0.0,Twi
regextester,0,0,104,0,0,31,0,104,0.0,none
tuxpaint,353,1556,1854,127,170,164,421,3763,9.380813180972629,
