package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
0ad,212,0,0,44,0,0,269,212,100.0,Spanish (http://www.transifex.com/wildfire-games/0ad/language/es/)
3Depict,1995,9,4664,600,3,812,2263,6668,29.91901619676065,Spanish (Spain) (http://www.transifex.com/mycae/3depict/language/es_ES/)
4Pane,4811,0,7764,1080,0,796,5218,12575,38.25844930417495,Spanish (http://www.transifex.com/davidgh/4Pane/language/es/)
7kaa,20623,0,0,1633,0,0,21527,20623,100.0,
DivFix++,551,0,0,104,0,0,649,551,100.0,SPANISH
GConf2,4074,0,0,496,0,0,5057,4074,100.0,Español; Castellano <gnome-es-list@gnome.org>
GMT,88,0,0,29,0,0,105,88,100.0,Spanish (https://www.transifex.com/readthedocs/teams/101354/es/)
LabPlot,10538,0,0,2871,0,0,12527,10538,100.0,Spanish <kde-l10n-es@kde.org>
NetworkManager,22413,1101,802,1968,79,48,25942,24316,92.17387728244776,es <gnome-es-list@gnome.org>
NetworkManager-fortisslvpn,315,0,8,59,0,1,400,323,97.52321981424149,es <gnome-es-list@gnome.org>
NetworkManager-iodine,80,0,0,25,0,0,100,80,100.0,Español <gnome-es-list@gnome.org>
NetworkManager-l2tp,439,0,703,88,0,91,541,1142,38.44133099824869,es <gnome-es-list@gnome.org>
NetworkManager-libreswan,465,0,0,76,0,0,563,465,100.0,Español <gnome-es-list@gnome.org>
NetworkManager-openconnect,6436,48,109,1138,10,16,8151,6593,97.61868648566661,Español <gnome-es-list@gnome.org>
NetworkManager-openvpn,1941,0,0,268,0,0,2332,1941,100.0,es <gnome-es-list@gnome.org>
NetworkManager-pptp,509,0,0,84,0,0,625,509,100.0,es <gnome-es-list@gnome.org>
NetworkManager-ssh,120,85,81,32,21,16,144,286,41.95804195804196,Español <gnome-es-list@gnome.org>
NetworkManager-sstp,509,0,0,84,0,0,625,509,100.0,es <gnome-es-list@gnome.org>
NetworkManager-vpnc,606,0,0,101,0,0,745,606,100.0,es <gnome-es-list@gnome.org>
PackageKit,1280,0,2,320,0,1,1474,1282,99.84399375975039,Spanish (http://www.transifex.com/freedesktop/packagekit/language/es/)
R,7928,3182,503,1417,487,69,9586,11613,68.26831998622234,Spanish <pabloemilio.verde@uni-duesseldorf.de>
Thunar,4409,0,0,762,0,0,4977,4409,100.0,Spanish (https://www.transifex.com/xfce/teams/16840/es/)
WindowMaker,4834,0,366,923,0,293,5691,5200,92.96153846153847,Spanish <es@li.org>
Zim,2845,62,33,673,8,9,3320,2940,96.7687074829932,Spanish <https://hosted.weblate.org/projects/zim/master/es/>
a2ps,963,349,200,150,16,13,1096,1512,63.69047619047619,Spanish <mvaro@dlsi.ua.es>
abattis-cantarell-fonts,27,0,0,3,0,0,27,27,100.0,es <gnome-es-list@gnome.org>
abrt,3676,0,0,417,0,0,4504,3676,100.0,Spanish <https://translate.fedoraproject.org/projects/abrt/abrt/es/>
accerciser,4556,0,0,434,0,0,5160,4556,100.0,Spanish - Spain <gnome-es-list@gnome.org>
accountsservice,59,0,0,10,0,0,72,59,100.0,Spanish (http://www.transifex.com/freedesktop/accountsservice/language/es/)
acl,395,105,0,49,3,0,447,500,79.0,Spanish
agenda,10,7,0,4,2,0,11,17,58.82352941176471,Spanish <es@li.org>
aisleriot,23775,0,0,1609,0,0,25812,23775,100.0,Spanish <gnome-es-list@gnome.org>
akonadi-calendar-tools,785,0,0,172,0,0,934,785,100.0,Spanish <kde-l10n-es@kde.org>
akonadi-import-wizard,391,0,0,83,0,0,456,391,100.0,Spanish <kde-l10n-es@kde.org>
akregator,1786,0,0,432,0,0,2176,1786,100.0,Spanish <kde-l10n-es@kde.org>
alacarte,45,0,0,20,0,0,47,45,100.0,Español <gnome-es-list@gnome.org>
alexandria,1174,4,0,303,2,0,1283,1178,99.66044142614601,es <alexandria-i18n-list@rubyforge.org>
alleyoop,351,0,0,92,0,0,405,351,100.0,Español <gnome-es-list@gnome.org>
almanah,805,0,0,143,0,0,1005,805,100.0,Español; Castellano <gnome-es-list@gnome.org>
amarok,15819,0,0,2780,0,0,18658,15819,100.0,Spanish <kde-l10n-es@kde.org>
amtk,11,0,0,3,0,0,11,11,100.0,es <gnome-es-list@gnome.org>
anaconda,7758,0,0,1286,0,0,8730,7758,100.0,Spanish <https://translate.fedoraproject.org/projects/anaconda/f32/es/>
analitza,992,0,0,222,0,0,1167,992,100.0,Spanish <kde-l10n-es@kde.org>
anjuta,20003,0,5692,2904,0,252,22277,25695,77.84783031718233,es <gnome-es-list@gnome.org>
anope,17667,2484,45,1635,95,5,18796,20196,87.4777183600713,Spanish
apostrophe,451,0,2,148,0,1,500,453,99.55849889624724,
appeditor,583,0,0,119,0,0,668,583,100.0,
appstream,1536,183,1546,232,17,86,1856,3265,47.044410413476264,Spanish <https://hosted.weblate.org/projects/appstream/translations/es/>
apt,23649,4079,9460,1360,131,366,26009,37188,63.593094546627945,Debian l10n Spanish <debian-l10n-spanish@lists.debian.org>
arandr,173,0,0,38,0,0,191,173,100.0,Spanish <https://hosted.weblate.org/projects/arandr/translations/es/>
ardour5,11187,0,7629,2953,0,1164,12670,18816,59.454719387755105,
arduino,3204,0,0,607,0,0,3504,3204,100.0,Spanish (http://www.transifex.com/mbanzi/arduino-ide-15/language/es/)
aria2,1133,0,6353,173,0,226,1320,7486,15.134918514560514,LANGUAGE <LL@li.org>
ark,1901,0,0,341,0,0,2264,1901,100.0,Spanish <kde-l10n-es@kde.org>
arm-none-eabi-binutils-cs,59584,4341,4556,9585,484,602,72496,68481,87.00807523254626,Spanish <es@tp.org.es>
arm-none-eabi-gcc-cs,66715,35151,11837,8997,4131,1079,83778,113703,58.674793101325385,Spanish <es@tp.org.es>
artikulate,363,0,0,161,0,0,433,363,100.0,Spanish <kde-l10n-es@kde.org>
aspell,1697,39,61,288,8,7,1844,1797,94.43516972732333,Spanish <es@li.org>
asunder,492,0,0,91,0,0,658,492,100.0,
at-spi2-core,10,0,0,2,0,0,13,10,100.0,Español <gnome-es-list@gnome.org>
atk,440,0,0,169,0,0,561,440,100.0,Español <gnome-es-list@gnome.org>
atomix,169,0,0,44,0,0,191,169,100.0,es <gnome-es-list@gnome.org>
atril,3158,0,2495,570,0,490,3761,5653,55.86414293295595,Spanish (https://www.transifex.com/mate/teams/13566/es/)
attr,293,55,0,28,2,0,319,348,84.19540229885058,Spanish
audacious,729,0,51,318,0,15,921,780,93.46153846153847,Spanish (http://www.transifex.com/audacious/audacious/language/es/)
audacious-plugins,3199,0,779,845,0,55,3720,3978,80.41729512317748,Spanish (http://www.transifex.com/audacious/audacious/language/es/)
audacity,16867,0,0,3894,0,0,20091,16867,100.0,Spanish <kde-i18n-doc@kde.org>
audex,2042,399,906,386,9,17,2496,3347,61.00985957573947,Spanish <kde-l10n-es@kde.org>
authselect,4823,5,1320,539,2,94,5117,6148,78.44827586206897,Spanish <https://translate.stg.fedoraproject.org/projects/authselect/master-application/es/>
avahi,865,2,1,165,2,1,1070,868,99.65437788018433,Spanish (http://www.transifex.com/lennart/avahi/language/es/)
