package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
GConf2,4088,0,0,497,0,0,1300,4088,100.0,Chinese (Taiwan) <zh-l10n@lists.linux.org.tw>
LabPlot,206,3183,7608,84,1319,1605,116,10997,1.8732381558606892,Chinese Traditional <kde-tw@googlegroups.com>
NetworkManager,21658,2484,2621,1995,125,74,5269,26763,80.92515786720472,Traditional Chinese <zh@li.org>
NetworkManager-fortisslvpn,6,20,297,4,8,48,5,323,1.8575851393188854,Chinese/Traditional <community@linuxhall.org>
NetworkManager-l2tp,289,0,965,67,0,126,134,1254,23.046251993620416,Chinese (traditional) <community@linuxhall.org>
NetworkManager-libreswan,457,8,0,74,2,0,106,465,98.27956989247312,Chinese (traditional) <community@linuxhall.org>
NetworkManager-openconnect,86,11,3144,23,2,571,44,3241,2.6535020055538414,
NetworkManager-openvpn,102,134,813,42,16,111,68,1049,9.723546234509056,Chinese (traditional) <community@linuxhall.org>
NetworkManager-pptp,144,0,0,44,0,0,74,144,100.0,Chinese/Traditional <community@linuxhall.org>
NetworkManager-ssh,70,46,456,30,18,90,40,572,12.237762237762238,Chinese (traditional) <community@linuxhall.org>
NetworkManager-sstp,144,0,0,44,0,0,74,144,100.0,Chinese/Traditional <community@linuxhall.org>
NetworkManager-vpnc,156,0,0,41,0,0,80,156,100.0,Chinese (traditional) <community@linuxhall.org>
PackageKit,1282,0,0,321,0,0,354,1282,100.0,Chinese (Taiwan) (http://www.transifex.com/freedesktop/packagekit/language/zh_TW/)
R,11613,0,0,1973,0,0,4893,11613,100.0,Chinese (traditional) <zh-l10n@linux.org.tw>
aisleriot,3075,0,0,679,0,0,1362,3075,100.0,Chinese (traditional)
akonadi-calendar-tools,629,140,16,142,24,6,221,785,80.12738853503186,Chinese <zh-l10n@lists.linux.org.tw>
akonadi-import-wizard,384,10,0,81,3,0,166,394,97.46192893401016,Chinese <zh-l10n@lists.linux.org.tw>
akregator,1751,45,11,423,14,2,659,1807,96.90094078583287,Chinese <zh-l10n@lists.linux.org.tw>
alacarte,31,0,0,12,0,0,12,31,100.0,Chinese/Traditional <zh-l10n@linux.org.tw>
alexandria,955,82,175,266,18,40,392,1212,78.79537953795379,Chinese/Traditional
amarok,15323,391,105,2740,35,5,5136,15819,96.86452999557494,Chinese Traditional <kde-tw@googlegroups.com>
anaconda,7857,74,99,1350,2,3,2454,8030,97.84557907845578,Chinese (Traditional) <https://translate.fedoraproject.org/projects/anaconda/f33/zh_TW/>
analitza,992,0,0,222,0,0,381,992,100.0,Chinese <zh-l10n@lists.linux.org.tw>
android-tools,5415,453,9488,770,89,1297,2350,15356,35.263089346183904,Chinese (Taiwan) <trans-zh_TW@lists.fedoraproject.org>
anjuta,8398,0,0,2059,0,0,2949,8398,100.0,Chinese (traditional) <zh-l10n@lists.linux.org.tw>
apostrophe,44,12,389,13,8,131,26,445,9.887640449438202,
appstream,1618,41,2845,315,7,179,431,4504,35.92362344582593,Chinese (Traditional) <https://hosted.weblate.org/projects/appstream/translations/zh_Hant/>
apt,2555,1037,1811,414,133,163,991,5403,47.28854340181381,Debian-user in Chinese [Big5] <debian-chinese-big5@lists.debian.org>
arandr,173,0,0,38,0,0,57,173,100.0,Chinese (Traditional) <https://hosted.weblate.org/projects/arandr/translations/zh_Hant/>
arduino,4354,0,2054,871,0,343,1166,6408,67.94631710362047,Chinese (Taiwan) (http://www.transifex.com/mbanzi/arduino-ide-15/language/zh_TW/)
aria2,4440,0,3046,331,0,68,1512,7486,59.310713331552236,Chinese (Taiwan) <chinese-l10n@googlegroups.com>
ark,1901,0,16,341,0,1,535,1917,99.16536254564423,Chinese <zh-l10n@lists.linux.org.tw>
arm-none-eabi-binutils-cs,7486,3982,4943,1297,532,812,3506,16411,45.615745536530376,Chinese (traditional) <zh-l10n@lists.linux.org.tw>
arm-none-eabi-gcc-cs,15427,73452,24824,2459,9384,2364,6636,113703,13.567803839828324,Chinese (traditional) <zh-l10n@lists.linux.org.tw>
artikulate,229,70,39,106,29,14,132,338,67.75147928994083,Chinese <zh-l10n@lists.linux.org.tw>
asunder,405,29,58,73,7,11,120,492,82.3170731707317,Chien Cheng Wei <e.cwchien@gmail.com>
at-spi2-core,10,0,0,2,0,0,2,10,100.0,Chinese (Taiwan) <chinese-l10n@googlegroups.com>
atk,440,0,0,169,0,0,186,440,100.0,Chinese (Taiwan) <zh-l10n@lists.linux.org.tw>
atomix,146,0,0,59,0,0,71,146,100.0,Chinese (Taiwan) <community@linuxhall.org>
atril,1845,0,2001,445,0,196,657,3846,47.97191887675507,Chinese (Taiwan) (https://www.transifex.com/mate/teams/13566/zh_TW/)
audacious,798,0,61,345,0,14,431,859,92.89871944121072,Chinese (Taiwan) (http://www.transifex.com/audacious/audacious/language/zh_TW/)
audacious-plugins,4029,0,225,942,0,43,2627,4254,94.71086036671367,Chinese (Taiwan) (http://www.transifex.com/audacious/audacious/language/zh_TW/)
audacity,16711,268,678,3985,77,71,6656,17657,94.64235147533556,Chinese <zh-l10n@lists.linux.org.tw>
authselect,1988,34,4179,348,6,289,795,6201,32.059345266892436,Chinese (Traditional) <https://translate.fedoraproject.org/projects/authselect/master-application/zh_TW/>
avahi,865,2,1,165,2,1,391,868,99.65437788018433,Chinese (Taiwan) (http://www.transifex.com/lennart/avahi/language/zh_TW/)
avogadro,4597,0,2010,1870,0,502,3094,6607,69.57772059936431,Traditional Chinese <zh_TW@li.org>
avogadro2,137,67,258,84,25,40,151,462,29.653679653679653,Traditional Chinese <zh_TW@li.org>
avogadro2-libs,342,872,2252,258,350,532,434,3466,9.867282169648009,Chinese (Traditional) <https://hosted.weblate.org/projects/avogadro/avogadrolibs/zh_Hant/>
avr-binutils,7486,3982,4943,1297,532,812,3506,16411,45.615745536530376,Chinese (traditional) <zh-l10n@lists.linux.org.tw>
avr-gcc,15427,73452,24824,2459,9384,2364,6636,113703,13.567803839828324,Chinese (traditional) <zh-l10n@lists.linux.org.tw>
backintime,321,0,1651,101,0,248,109,1972,16.27789046653144,Chinese (Traditional) <zh_TW@li.org>
baloo-widgets,52,0,0,31,0,0,31,52,100.0,Chinese <zh-l10n@lists.linux.org.tw>
balsa,5623,3,0,1341,1,0,2156,5626,99.94667614646285,Chinese (traditional) <community@linuxhall.org>
banshee,5958,0,0,1543,0,0,2366,5958,100.0,Chinese (Taiwan) <chinese-l10n@googlegroups.com>
baobab,277,0,0,74,0,0,126,277,100.0,Chinese (traditional)
bash,11184,323,0,584,2,0,3900,11507,97.19301294863996,Chinese (traditional) <zh-l10n@linux.org.tw>
bijiben,390,0,0,125,0,0,141,390,100.0,Chinese <zh-l10n@linux.org.tw>
binutils,7486,3982,4943,1297,532,812,3506,16411,45.615745536530376,Chinese (traditional) <zh-l10n@lists.linux.org.tw>
bison,1424,116,157,244,16,28,630,1697,83.91278727165586,Chinese (traditional) <zh-l10n@lists.linux.org.tw>
bleachbit,1843,0,0,355,0,0,569,1843,100.0,Chinese (Traditional) <zh_TW@li.org>
blender,63810,0,0,14921,0,0,19725,63810,100.0,Chinese (Traditional) <https://r2.tw.pan93412.dedyn.io/projects/blender/blender/zh_Hant/>
blinken,133,0,0,47,0,0,69,133,100.0,Chinese Traditional <zh-l10n@lists.linux.org.tw>
blivet-gui,699,87,245,209,16,33,334,1031,67.79825412221145,Chinese (Taiwan)
blogilo,1364,28,0,330,7,0,457,1392,97.98850574712644,Chinese Traditional <kde-i18n-doc@kde.org>
blueberry,141,0,25,34,0,3,55,166,84.93975903614458,Chinese (Traditional) <zh_TW@li.org>
bluedevil,417,0,0,128,0,0,187,417,100.0,Chinese <zh-l10n@linux.org.tw>
bluefish,674,1676,2595,339,694,515,422,4945,13.629929221435793,zh_TW <i18n-translation@b2d.org.tw>
blueman,1857,0,0,579,0,0,888,1857,100.0,Chinese (Traditional) <https://hosted.weblate.org/projects/blueman/2-2/zh_Hant/>
boinc-client,20669,0,514,3461,0,34,5121,21183,97.57352594061275,Chinese (Taiwan) (http://www.transifex.com/boinc/boinc/language/zh_TW/)
bomber,110,0,0,27,0,0,51,110,100.0,Chinese <zh-l10n@lists.linux.org.tw>
bookworm,729,0,66,142,0,7,214,795,91.69811320754717,Chinese (Traditional) <https://hosted.weblate.org/projects/bookworm/bookworm/zh_Hant/>
bout++,161,52,801,33,10,97,84,1014,15.877712031558186,Chinese (traditional)
