package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
GConf2,4088,0,0,497,0,0,4445,4088,100.0,gu_IN <kde-i18n-doc@kde.org>
NetworkManager,4112,4351,15327,714,576,746,4394,23790,17.28457335014712,American English <kde-i18n-doc@kde.org>
NetworkManager-fortisslvpn,6,20,248,4,8,38,7,274,2.18978102189781,Gujarati
NetworkManager-l2tp,107,0,1032,32,0,146,121,1139,9.394205443371378,Gujarati
NetworkManager-libreswan,139,0,0,36,0,0,165,139,100.0,Gujarati
NetworkManager-openconnect,54,5,3182,16,2,578,66,3241,1.666152422091947,Gujarati
NetworkManager-openvpn,82,31,936,29,14,126,85,1049,7.816968541468065,Gujarati
NetworkManager-pptp,144,0,0,44,0,0,171,144,100.0,Gujarati
NetworkManager-ssh,24,10,252,7,6,56,25,286,8.391608391608392,Gujarati
NetworkManager-sstp,144,0,0,44,0,0,171,144,100.0,Gujarati
NetworkManager-vpnc,156,0,0,41,0,0,183,156,100.0,Gujarati
PackageKit,877,0,405,239,0,82,1112,1282,68.40873634945397,Gujarati (http://www.transifex.com/freedesktop/packagekit/language/gu/)
abrt,2126,111,1439,271,16,130,2348,3676,57.83460282916213,Gujarati (http://www.transifex.com/projects/p/fedora-abrt/language/gu/)
accerciser,363,0,0,166,0,0,420,363,100.0,Gujarati <fedora-trans-gu@redhat.com>
aisleriot,1788,180,19,478,64,7,1747,1987,89.98490186210367,Gujarati
alacarte,42,0,0,16,0,0,48,42,100.0,Gujarati <fedora-trans-gu@redhat.com>
alleyoop,177,0,165,49,0,38,204,342,51.75438596491229,Gujarati
anaconda,3670,0,4141,796,0,489,4305,7811,46.98502112405582,Gujarati (http://www.transifex.com/projects/p/anaconda/language/gu/)
anjuta,2049,108,5726,792,45,1314,2468,7883,25.99264239502727,Gujarati
asunder,17,0,475,15,0,76,20,492,3.4552845528455287,http://littlesvr.ca/ostd/
atril,1241,0,2601,364,0,275,1337,3842,32.30088495575221,Gujarati (https://www.transifex.com/mate/teams/13566/gu/)
audit-viewer,358,0,253,142,0,43,413,611,58.59247135842881,LANGUAGE <LL@li.org>
authconfig,879,16,34,130,2,5,914,929,94.6178686759957,Gujarati (http://www.transifex.com/projects/p/authconfig/language/gu/)
banshee,2758,718,756,866,134,108,3279,4232,65.17013232514176,Gujarati
blivet-gui,0,0,925,0,0,242,0,925,0.0,Gujarati
brasero,5546,0,0,968,0,0,5899,5546,100.0,American English <kde-i18n-doc@kde.org>
caja,6828,0,2695,1264,0,304,7259,9523,71.70009450803319,Gujarati (https://www.transifex.com/mate/teams/13566/gu/)
caja-actions,1574,0,0,173,0,0,1545,1574,100.0,Gujarati
caja-extensions,120,0,464,41,0,94,135,584,20.54794520547945,Gujarati (https://www.transifex.com/mate/teams/13566/gu/)
calamares,0,0,443,0,0,84,0,443,0.0,Gujarati (https://www.transifex.com/calamares/teams/20061/gu/)
calibre,767,0,158235,641,0,17607,776,159002,0.48238386938529076,Gujarati (http://www.transifex.com/calibre/calibre/language/gu/)
camorama,260,70,445,69,19,78,268,775,33.5483870967742,Gujarati
caribou,169,0,0,57,0,0,170,169,100.0,gu_IN <kde-i18n-doc@kde.org>
ccsm,310,179,102,106,34,23,361,591,52.45346869712352,gist Gujarati team <info.gist@cdac.in>
certmonger,120,7,2704,33,3,437,124,2831,4.2387848816672555,Gujarati (http://www.transifex.com/projects/p/certmonger/language/gu/)
cinnamon-control-center,1313,0,0,756,0,0,1388,1313,100.0,fedora-trans-gu@lists.fedoraproject.org
cinnamon-desktop,231,0,3,31,0,1,253,234,98.71794871794873,gu_IN <kde-i18n-doc@kde.org>
cinnamon-translations,2294,0,7837,498,0,2008,2543,10131,22.643371829039584,Gujarati <gu@li.org>
coin,0,0,252,0,0,50,0,252,0.0,none
compiz,2143,1651,591,487,286,106,2294,4385,48.87115165336374,gist Gujarati team <info.gist@cdac.in>
console-setup,985,12,4,175,2,1,922,1001,98.4015984015984,
cracklib,93,0,3,15,0,1,80,96,96.875,Gujarati <fedora-trans-gu@redhat.com>
dasher,615,0,0,212,0,0,689,615,100.0,Gujarati
debconf,191,0,0,17,0,0,187,191,100.0,Gujarati <debian-boot@lists.debian.org>
deepin-metacity,3595,87,18,395,5,6,3889,3700,97.16216216216216,Gujarati
deepin-mutter,1829,0,0,237,0,0,1942,1829,100.0,American English <kde-i18n-doc@kde.org>
deepin-terminal,84,0,0,14,0,0,96,84,100.0,Gujarati
dia,2297,149,3809,1023,41,1247,2754,6255,36.72262190247802,Gujarati
dippi,0,0,397,0,0,53,0,397,0.0,none
dnf,176,0,3711,78,0,703,224,3887,4.527913558013893,Gujarati (http://www.transifex.com/projects/p/dnf/language/gu/)
dnf-plugins-extras,0,0,375,0,0,75,0,375,0.0,Gujarati
docker-anaconda-addon,0,0,27,0,0,4,0,27,0.0,Gujarati
drgeo,1898,55,32,444,7,10,2062,1985,95.61712846347608,Gujarati
ekiga,4483,0,0,745,0,0,4626,4483,100.0,gu_IN <kde-i18n-doc@kde.org>
elementary-capnet-assist,0,0,82,0,0,14,0,82,0.0,none
elementary-code,100,27,968,44,12,191,111,1095,9.1324200913242,Gujarati <gu@li.org>
elementary-files,0,0,2652,0,0,531,0,2652,0.0,LANGUAGE <LL@li.org>
elementary-greeter,4,0,72,2,0,16,5,76,5.263157894736842,Gujarati <gu@li.org>
elementary-music,0,0,1308,0,0,366,0,1308,0.0,LANGUAGE <LL@li.org>
elementary-photos,2738,542,630,618,75,113,3117,3910,70.02557544757033,Gujarati (http://www.transifex.com/projects/p/shotwell/language/gu/)
elementary-screenshot-tool,0,0,212,0,0,55,0,212,0.0,LANGUAGE <LL@li.org>
elementary-shortcut-overlay,0,0,95,0,0,39,0,95,0.0,none
elementary-sideload,0,0,224,0,0,44,0,224,0.0,none
