package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
GConf2,4024,0,0,485,0,0,3849,4024,100.0,Marathi <fedora-trans-mr@redhat.com>
NetworkManager,4990,3170,15630,807,474,755,4787,23790,20.975199663724254,Marathi <kde-i18n-doc@kde.org>
NetworkManager-fortisslvpn,6,20,248,4,8,38,9,274,2.18978102189781,marathi
NetworkManager-l2tp,81,0,1061,35,0,144,96,1142,7.092819614711034,marathi
NetworkManager-libreswan,139,0,0,36,0,0,163,139,100.0,marathi
NetworkManager-openconnect,34,5,3202,9,2,585,33,3241,1.0490589324282629,marathi
NetworkManager-openvpn,121,151,777,48,18,103,133,1049,11.534795042897999,marathi
NetworkManager-pptp,115,0,0,42,0,0,145,115,100.0,marathi
NetworkManager-ssh,37,36,213,16,13,40,43,286,12.937062937062937,marathi
NetworkManager-sstp,115,0,0,42,0,0,145,115,100.0,marathi
NetworkManager-vpnc,139,0,0,36,0,0,163,139,100.0,marathi
PackageKit,877,0,405,239,0,82,920,1282,68.40873634945397,Marathi (http://www.transifex.com/freedesktop/packagekit/language/mr/)
abrt,2125,118,1433,270,18,129,2016,3676,57.80739934711643,Marathi (http://www.transifex.com/projects/p/fedora-abrt/language/mr/)
accerciser,540,0,0,207,0,0,570,540,100.0,marathi
aisleriot,1788,180,19,478,64,7,1557,1987,89.98490186210367,Marathi <fedora-trans-mr@redhat.com>
akonadi-calendar-tools,34,0,449,22,0,87,34,483,7.039337474120083,Marathi <kde-i18n-doc@kde.org>
akonadi-import-wizard,31,36,324,18,8,57,39,391,7.928388746803069,Marathi <kde-i18n-doc@kde.org>
akregator,143,52,1581,91,16,324,179,1776,8.051801801801801,Marathi <kde-i18n-doc@kde.org>
alacarte,42,0,0,16,0,0,43,42,100.0,marathi
anaconda,2811,0,5000,495,0,790,2582,7811,35.98770964025093,Marathi (http://www.transifex.com/projects/p/anaconda/language/mr/)
analitza,0,67,925,0,44,178,0,992,0.0,Marathi <kde-i18n-doc@kde.org>
anjuta,7325,0,0,1998,0,0,7531,7325,100.0,marathi
arduino,199,0,2894,72,0,518,202,3093,6.433882961526026,Marathi (http://www.transifex.com/mbanzi/arduino-ide-15/language/mr/)
artikulate,10,46,380,8,26,122,11,436,2.293577981651376,Marathi <kde-i18n-doc@kde.org>
asunder,14,0,478,13,0,78,15,492,2.8455284552845526,http://littlesvr.ca/ostd/
atril,1304,0,2538,372,0,267,1271,3842,33.94065590838105,Marathi (https://www.transifex.com/mate/teams/13566/mr/)
audex,62,59,3226,40,35,337,67,3347,1.8524051389303853,Marathi <kde-i18n-doc@kde.org>
authconfig,879,16,34,130,2,5,790,929,94.6178686759957,Marathi (http://www.transifex.com/projects/p/authconfig/language/mr/)
blinken,34,0,99,21,0,26,37,133,25.563909774436087,Marathi <kde-i18n-doc@kde.org>
blivet-gui,0,0,925,0,0,242,0,925,0.0,Marathi
blogilo,163,15,1214,106,7,224,195,1392,11.709770114942529,Marathi <kde-i18n-doc@kde.org>
blueberry,31,0,117,9,0,28,31,148,20.945945945945947,Marathi <mr@li.org>
blueman,702,0,633,242,0,93,739,1335,52.58426966292134,Marathi (http://www.transifex.com/mate/MATE/language/mr/)
bomber,75,9,19,23,1,3,75,103,72.81553398058253,Marathi <kde-i18n-doc@kde.org>
bovo,77,4,0,24,1,0,76,81,95.06172839506173,Marathi <kde-i18n-doc@kde.org>
brasero,5546,0,0,968,0,0,5220,5546,100.0,Marathi <fedora-trans-mr@redhat.com>
caja,7856,0,1667,1396,0,172,7211,9523,82.49501207602647,Marathi (https://www.transifex.com/mate/teams/13566/mr/)
caja-actions,1574,0,0,173,0,0,1319,1574,100.0,marathi
caja-extensions,460,0,124,109,0,26,439,584,78.76712328767124,Marathi (https://www.transifex.com/mate/teams/13566/mr/)
calamares,0,0,443,0,0,84,0,443,0.0,Marathi (https://www.transifex.com/calamares/teams/20061/mr/)
calibre,11008,0,147994,7920,0,10328,11035,159002,6.923183356184199,Marathi (http://www.transifex.com/calibre/calibre/language/mr/)
calligra,4726,704,26542,2488,254,3729,4968,31972,14.781683973476792,Marathi <kde-i18n-doc@kde.org>
calligraplan,426,1488,7690,316,565,1182,481,9604,4.435651811745106,Marathi <kde-i18n-doc@kde.org>
cantor,84,96,2030,64,59,389,110,2210,3.8009049773755654,Marathi <kde-i18n-doc@kde.org>
caribou,171,0,0,57,0,0,159,171,100.0,Marathi <mr@li.org>
certmonger,0,0,2831,0,0,473,0,2831,0.0,Marathi (http://www.transifex.com/projects/p/certmonger/language/mr/)
cervisia,102,94,1423,46,56,319,101,1619,6.300185299567635,Marathi <kde-i18n-doc@kde.org>
choqok,166,43,2048,119,22,428,193,2257,7.354895879486044,Marathi <kde-i18n-doc@kde.org>
cinnamon-control-center,1313,0,0,756,0,0,1318,1313,100.0,Marathi <fedora-trans-mr@redhat.com>
cinnamon-desktop,234,0,0,32,0,0,232,234,100.0,Marathi <maajhe-sanganak@freelists.org>
cinnamon-translations,6790,0,14622,1697,0,3021,6792,21412,31.711189986923223,Marathi <mr@li.org>
clamtk,83,0,351,31,0,111,92,434,19.12442396313364,Marathi <mr@li.org>
clementine,24,0,5103,12,0,1349,24,5127,0.4681100058513751,Marathi (http://www.transifex.com/davidsansome/clementine/language/mr/)
coin,0,0,252,0,0,50,0,252,0.0,none
colord-kde,152,52,165,85,9,26,160,369,41.19241192411924,Marathi <kde-i18n-doc@kde.org>
console-setup,1001,0,0,178,0,0,830,1001,100.0,CDAC_DI
cpu-x,892,0,117,223,0,12,913,1009,88.40436075322101,Marathi <https://hosted.weblate.org/projects/cpu-x/translations/mr/>
cracklib,93,0,3,15,0,1,66,96,96.875,Marathi <fedora-trans-mr@redhat.com>
dasher,615,0,0,212,0,0,645,615,100.0,Marathi <fedora-trans-mr@redhat.com>
debconf,743,55,62,83,6,5,745,860,86.39534883720931,"Marathi, janabhaaratii, C-DAC, Mumbai, India <janabhaaratii@cdacmumbai.in>"
deepin-metacity,2040,0,0,310,0,0,1965,2040,100.0,Marathi <maajhe-sanganak@freelists.org>
deepin-mutter,1829,0,0,237,0,0,1679,1829,100.0,Marathi <maajhe-sanganak@freelists.org>
deepin-terminal,108,0,0,19,0,0,112,108,100.0,marathi
deja-dup,70,0,1975,41,0,289,105,2045,3.4229828850855744,Marathi <mr@li.org>
dia,5462,0,1143,1973,0,388,5667,6605,82.69492808478425,marathi
dippi,0,0,397,0,0,53,0,397,0.0,none
dnf,143,0,3744,60,0,721,167,3887,3.678929765886288,Marathi
dnf-plugins-extras,0,0,375,0,0,75,0,375,0.0,Marathi
docker-anaconda-addon,0,0,27,0,0,4,0,27,0.0,Marathi
dolphin,1159,296,2726,380,97,129,1183,4181,27.72064099497728,Marathi <kde-i18n-doc@kde.org>
dolphin-plugins,222,56,937,77,14,248,255,1215,18.271604938271604,Marathi <kde-i18n-doc@kde.org>
dpkg,2471,4639,1633,355,550,200,2508,8743,28.262610088070456,Marathi <janabhaaratii@cdacmumbai.in>
dragon,267,4,7,82,2,3,270,278,96.0431654676259,Marathi <kde-i18n-doc@kde.org>
drgeo,1909,68,8,449,8,4,1809,1985,96.1712846347607,Marathi
ekiga,4489,0,0,748,0,0,4022,4489,100.0,Marathi <maajhe-sanganak@freelists.org>
elementary-calculator,105,0,0,44,0,0,118,105,100.0,Marathi <https://weblate.elementary.io/projects/calculator/calculator/mr/>
elementary-calendar,619,7,6,216,1,1,688,632,97.94303797468355,Marathi <https://l10n.elementary.io/projects/calendar/calendar/mr/>
elementary-camera,65,0,0,18,0,0,63,65,100.0,Marathi <https://l10n.elementary.io/projects/camera/camera/mr/>
elementary-capnet-assist,82,0,0,14,0,0,84,82,100.0,Marathi <https://l10n.elementary.io/projects/desktop/capnet-assist/mr/>
elementary-code,1091,0,4,245,0,2,1137,1095,99.63470319634703,Marathi <https://l10n.elementary.io/projects/code/code/mr/>
elementary-files,2652,0,0,531,0,0,2621,2652,100.0,Marathi <https://l10n.elementary.io/projects/files/files/mr/>
elementary-greeter,76,0,0,18,0,0,84,76,100.0,Marathi <https://weblate.elementary.io/projects/desktop/greeter/mr/>
elementary-music,1308,0,0,366,0,0,1293,1308,100.0,Marathi <https://l10n.elementary.io/projects/music/music/mr/>
elementary-photos,3910,0,0,806,0,0,4047,3910,100.0,Marathi <https://l10n.elementary.io/projects/photos/photos/mr/>
elementary-screenshot-tool,212,0,0,55,0,0,210,212,100.0,Marathi <https://weblate.elementary.io/projects/screenshot-tool/screenshot-tool/mr/>
elementary-shortcut-overlay,95,0,0,39,0,0,107,95,100.0,Marathi <https://l10n.elementary.io/projects/desktop/shortcut-overlay/mr/>
elementary-sideload,224,0,0,44,0,0,226,224,100.0,Marathi <https://l10n.elementary.io/projects/desktop/sideload/mr/>
elementary-terminal,432,7,3,88,1,1,431,442,97.73755656108597,Marathi <https://l10n.elementary.io/projects/terminal/terminal/mr/>
elementary-videos,297,0,25,83,0,3,301,322,92.2360248447205,Marathi <https://l10n.elementary.io/projects/videos/videos/mr/>
engrampa,1284,0,6604,300,0,545,1213,7888,16.27789046653144,Marathi (https://www.transifex.com/mate/teams/13566/mr/)
entangle,0,0,953,0,0,229,0,953,0.0,Marathi
eog,1746,0,0,339,0,0,1605,1746,100.0,Marathi <maajhe-sanganak@freelists.org>
eog-plugins,79,0,0,27,0,0,78,79,100.0,marathi
eom,1537,0,3525,318,0,239,1479,5062,30.36349269063611,Marathi (https://www.transifex.com/mate/teams/13566/mr/)
epiphany,2413,0,0,574,0,0,2356,2413,100.0,Marathi
evince,1525,0,0,355,0,0,1480,1525,100.0,Marathi <maajhe-sanganak@freelists.org>
evolution,21278,0,0,4432,0,0,20020,21278,100.0,Marathi <maajhe-sanganak@freelists.org>
evolution-data-server,5396,0,0,1074,0,0,5486,5396,100.0,Marathi <maajhe-sanganak@freelists.org>
evolution-ews,1165,0,0,239,0,0,1175,1165,100.0,Marathi <maajhe-sanganak@freelists.org>
evolution-mapi,1034,0,0,231,0,0,1059,1034,100.0,Marathi <maajhe-sanganak@freelists.org>
evolution-rss,700,0,0,190,0,0,762,700,100.0,marathi
feedreader,0,0,1373,0,0,316,0,1373,0.0,
file-roller,1195,0,0,268,0,0,1167,1195,100.0,Marathi <fedora-trans-mr@redhat.com>
filelight,58,19,342,33,5,56,80,419,13.842482100238662,Marathi <kde-i18n-doc@kde.org>
firewalld,1496,0,721,293,0,122,1407,2217,67.4785746504285,Marathi (http://www.transifex.com/projects/p/firewalld/language/mr/)
folks,1003,0,0,123,0,0,876,1003,100.0,Marathi <maajhe-sanganak@freelists.org>
fonts-tweak-tool,0,0,196,0,0,65,0,196,0.0,Marathi
fprintd,0,0,419,0,0,57,0,419,0.0,Marathi (http://www.transifex.com/freedesktop/fprintd/language/mr/)
fragments,158,0,1848,73,0,453,197,2006,7.876370887337986,Marathi (https://www.transifex.com/transmissionbt/teams/33778/mr/)
freeipa,103,0,57114,24,0,4600,100,57217,0.1800164286837828,Marathi
gala,129,0,11,33,0,1,130,140,92.14285714285714,Marathi <https://l10n.elementary.io/projects/desktop/gala/mr/>
galculator,806,0,129,236,0,39,811,935,86.20320855614973,Marathi (http://www.transifex.com/mate/MATE/language/mr/)
gamehub,12,0,1103,3,0,362,13,1115,1.0762331838565022,Marathi <https://hosted.weblate.org/projects/gamehub/translations/mr/>
gcompris,0,0,0,0,0,0,0,0,0.0,
gconf-editor,336,0,0,98,0,0,387,336,100.0,marathi
gcr,115,205,302,59,71,97,113,622,18.488745980707396,Marathi <fedora-trans-mr@redhat.com>
gdesklets,74,0,1454,19,0,185,66,1528,4.842931937172775,Marathi <mr@li.org>
gdk-pixbuf2,1288,60,0,197,5,0,1322,1348,95.54896142433235,Marathi <fedora-trans-mr@redhat.com>
gedit,4083,0,0,683,0,0,3807,4083,100.0,Marathi <maajhe-sanganak@freelists.org>
gedit-plugins,890,192,123,387,58,24,936,1205,73.85892116182573,Marathi <fedora-trans-mr@redhat.com>
gegl04,6617,51,1787,1490,11,256,5826,8455,78.26138379657007,Marathi
ggz-gtk-client,7,0,0,7,0,0,9,7,100.0,Marathi
gimp,38287,0,0,9323,0,0,38563,38287,100.0,Marathi
gimp-gap,190,0,11469,135,0,1853,214,11659,1.6296423363924863,marathi
