package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
NetworkManager-openvpn,93,50,906,36,15,118,102,1049,8.865586272640611,Pashto <pathanisation@googlegroups.com>
NetworkManager-ssh,26,27,233,11,12,46,33,286,9.090909090909092,Pashto <pathanisation@googlegroups.com>
alacarte,42,0,0,16,0,0,42,42,100.0,Pashto <pathanisation@googlegroups.com>
appcenter,0,0,757,0,0,177,0,757,0.0,LANGUAGE <LL@li.org>
asunder,14,0,481,13,0,78,14,495,2.8282828282828283,http://littlesvr.ca/ostd/
atk,370,1,4,123,1,2,436,375,98.66666666666667,Pashto <pathanisation@googlegroups.com>
atril,608,0,1184,208,0,205,628,1792,33.92857142857143,Pushto (https://www.transifex.com/mate/teams/13566/ps/)
audience,0,0,106,0,0,48,0,106,0.0,
baobab,282,18,240,99,5,22,317,540,52.22222222222223,Pashto <pathanisation@googlegroups.com>
caja,1156,0,8200,496,0,1021,1230,9356,12.355707567336468,Pushto (https://www.transifex.com/mate/teams/13566/ps/)
caja-extensions,6,0,564,5,0,126,6,570,1.0526315789473684,Pushto (https://www.transifex.com/mate/teams/13566/ps/)
calibre,33,0,157268,33,0,18067,33,157301,0.02097888761037756,Pushto (http://www.transifex.com/calibre/calibre/language/ps/)
cheese,333,0,56,72,0,7,367,389,85.60411311053984,Pashto <pathanisation@googlegroups.com>
cinnamon-desktop,0,0,234,0,0,32,0,234,0.0,Pashto <pathanisation@googlegroups.com>
cinnamon-translations,110,0,319,28,0,58,111,429,25.64102564102564,Pashto <pakhtosoft@gmail.com>
clutter,1,0,3056,1,0,674,1,3057,0.03271180896303566,Pashto <pathanisation@googlegroups.com>
dasher,273,0,255,143,0,56,331,528,51.70454545454546,Pashto <pathanisation@googlegroups.com>
deja-dup,3,0,4189,3,0,495,18,4192,0.0715648854961832,Pashto <ps@li.org>
devhelp,242,0,122,79,0,15,248,364,66.48351648351648,Pashto <pathanisation@googlegroups.com>
dippi,0,0,397,0,0,53,0,397,0.0,none
elementary-calculator,0,0,80,0,0,37,0,80,0.0,LANGUAGE <LL@li.org>
elementary-camera,0,0,62,0,0,16,0,62,0.0,
elementary-capnet-assist,0,0,66,0,0,10,0,66,0.0,none
elementary-screenshot-tool,0,0,132,0,0,43,0,132,0.0,LANGUAGE <LL@li.org>
elementary-shortcut-overlay,0,0,82,0,0,37,0,82,0.0,none
empathy,422,57,1464,259,38,272,460,1943,21.718991250643334,Pashto <pathanisation@googlegroups.com>
engrampa,1061,0,884,243,0,111,1116,1945,54.55012853470437,Pushto (https://www.transifex.com/mate/teams/13566/ps/)
eog,750,0,443,252,0,26,824,1193,62.86672254819782,Pashto <pathanisation@googlegroups.com>
eom,639,0,1078,208,0,110,691,1717,37.21607454863133,Pushto (https://www.transifex.com/mate/teams/13566/ps/)
epiphany,401,12,2469,219,8,502,412,2882,13.913948646773076,Pashto <pathanisation@googlegroups.com>
evince,746,0,243,248,0,30,780,989,75.42972699696662,Pashto <pathanisation@googlegroups.com>
evolution,6876,48,14941,3003,18,1987,7436,21865,31.44751886576721,Pashto <pathanisation@goolgegroups.com>
file-roller,1200,6,0,270,1,0,1258,1206,99.50248756218906,Pashto <pathanisation@googlegroups.com>
gconf-editor,328,7,1,96,1,1,334,336,97.61904761904762,Pashto <pathanisation@googlegroups.com>
gdk-pixbuf2,120,19,1209,25,4,173,137,1348,8.902077151335313,Pashto <pathanisation@googlegroups.com>
gdm,109,76,465,27,12,48,124,650,16.76923076923077,Pashto <pathanisation@googlegroups.com>
gedit,1929,0,3081,622,0,475,2072,5010,38.50299401197605,Pashto <pathanisation@googlegroups.com>
gedit-plugins,222,116,867,117,36,316,264,1205,18.423236514522824,Pashto <pathanisation@googlegroups.com>
glib2,466,305,4006,131,69,547,588,4777,9.755076407787314,Pashto <pathanisation@googlegroups.com>
gnome-backgrounds,18,0,0,9,0,0,25,18,100.0,Pashto <pathanisation@googlegroups.com>
gnome-desktop,144,0,139,58,0,11,174,283,50.8833922261484,Pashto <pathanisation@googlegroups.com>
gnome-desktop3,144,0,139,58,0,11,174,283,50.8833922261484,Pashto <pathanisation@googlegroups.com>
gnome-dictionary,367,27,439,115,4,64,413,833,44.057623049219686,Pashto <pathanisation@googlegroups.com>
gnome-font-viewer,0,9,23,0,7,11,0,32,0.0,Pashto <pathanisation@googlegroups.com>
gnome-gmail,5,0,182,2,0,29,5,187,2.6737967914438503,Pashto <ps@li.org>
gnome-icon-theme,20,0,0,16,0,0,21,20,100.0,Pashto <pathanisation@googlegroups.com>
gnome-menus,128,0,29,52,0,4,149,157,81.52866242038218,Pashto <pathanisation@googlegroups.com>
gnome-nettool,165,0,358,104,0,102,187,523,31.54875717017208,Pashto <zabeehkhan@gmail.com>
gnome-online-accounts,41,57,367,33,38,97,41,465,8.817204301075268,Pashto <pathanisation@googlegroups.com>
gnome-screensaver,376,0,579,102,0,50,430,955,39.3717277486911,Pashto <pakhtosoft@gmail.com>
gnome-screenshot,91,79,149,30,14,15,101,319,28.526645768025077,Pashto <pathanisation@googlegroups.com>
gnome-search-tool,470,47,842,109,10,81,479,1359,34.58425312729948,Pashto <pathanisation@googlegroups.com>
gnome-session,244,0,435,70,0,43,255,679,35.93519882179676,Pashto <pathanisation@googlegroups.com>
gnome-system-log,121,46,355,40,13,41,134,522,23.18007662835249,Pashto <pathanisation@googlegroups.com>
gnome-system-monitor,479,0,389,177,0,53,567,868,55.18433179723502,Pashto <pakhtosoft@gmail.com>
gnome-terminal,899,0,2495,259,0,131,1024,3394,26.487919858573957,Pashto <pathanisation@googlegroups.com>
gnome-video-effects,8,1,17,7,1,15,8,26,30.76923076923077,Pashto <pathanisation@googlegroups.com>
gpicview,0,0,236,0,0,52,0,236,0.0,LANGUAGE <LL@li.org>
gthumb,2262,0,1210,818,0,146,2446,3472,65.14976958525345,Pashto <pakhtosoft@gmail.com>
gtk2,2441,241,11022,922,62,1800,2577,13704,17.81231757151197,Pashto <pathanisation@googlegroups.com>
gtk3,2081,415,9357,815,107,1565,2181,11853,17.556736691133047,Pashto <pathanisation@googlegroups.com>
gtk4,2081,415,9357,815,107,1565,2181,11853,17.556736691133047,Pashto <pathanisation@googlegroups.com>
harvey,0,0,57,0,0,12,0,57,0.0,none
islamic-menus,2,0,3,1,0,1,2,5,40.0,Pashto <ps@li.org>
iso-codes,118,1430,14161,114,1075,8994,115,15709,0.7511617544083009,Pushto
isomaster,25,1,648,21,1,85,25,674,3.7091988130563793,http://littlesvr.ca/ostd/
kde-i18n,7,0,0,6,0,0,6,7,100.0,Traditional Chinese <zh_l10n@linux.org.tw>
kf5-kauth,0,4,69,0,1,7,0,73,0.0,Pashto <pathanisation@googlegroups.com>
kf5-kcmutils,322,23,219,54,4,14,379,564,57.09219858156028,Pashto <pathanisation@googlegroups.com>
kf5-kcodecs,0,57,291,0,37,16,0,348,0.0,Pashto <pathanisation@googlegroups.com>
kf5-kcompletion,0,18,0,0,11,0,0,18,0.0,Pashto <pathanisation@googlegroups.com>
kf5-kconfigwidgets,128,135,58,69,37,11,136,321,39.875389408099686,Pashto <pathanisation@googlegroups.com>
kf5-kcoreaddons,0,280,21,0,84,11,0,301,0.0,Pashto <pathanisation@googlegroups.com>
kf5-kdeclarative,12,11,86,6,3,5,13,109,11.009174311926607,Pashto <pathanisation@googlegroups.com>
kf5-kdelibs4support,507,826,3480,158,567,1639,579,4813,10.533970496571785,Pashto <pathanisation@googlegroups.com>
kf5-kdesignerplugin,0,43,11,0,7,2,0,54,0.0,Pashto <pathanisation@googlegroups.com>
kf5-kdnssd,0,3,0,0,3,0,0,3,0.0,Pashto <pathanisation@googlegroups.com>
kf5-kglobalaccel,0,17,54,0,5,4,0,71,0.0,Pashto <pathanisation@googlegroups.com>
kf5-khtml,622,181,918,218,38,54,695,1721,36.14177803602557,Pashto <pathanisation@googlegroups.com>
kf5-ki18n,42,80,2,42,66,2,43,124,33.87096774193548,Pashto <pathanisation@googlegroups.com>
kf5-kinit,28,14,92,6,3,5,29,134,20.8955223880597,Pashto <pathanisation@googlegroups.com>
kf5-kitemviews,0,7,0,0,4,0,0,7,0.0,Pashto <pathanisation@googlegroups.com>
kf5-kjobwidgets,0,99,24,0,33,3,0,123,0.0,Pashto <pathanisation@googlegroups.com>
kf5-kjsembed,156,16,76,32,4,8,181,248,62.903225806451616,Pashto <pathanisation@googlegroups.com>
kf5-knewstuff,60,222,408,32,82,44,68,690,8.695652173913043,Pashto <pathanisation@googlegroups.com>
kf5-knotifications,0,18,0,0,6,0,0,18,0.0,Pashto <pathanisation@googlegroups.com>
kf5-knotifyconfig,34,9,86,12,3,2,35,129,26.356589147286826,Pashto <pathanisation@googlegroups.com>
kf5-kparts,71,33,0,16,10,0,71,104,68.26923076923077,Pashto <pathanisation@googlegroups.com>
kf5-kpty,15,0,0,4,0,0,25,15,100.0,Pashto <pathanisation@googlegroups.com>
kf5-kross,73,20,7,26,8,1,83,100,73.0,Pashto <pathanisation@googlegroups.com>
kf5-kservice,32,76,62,6,15,7,32,170,18.823529411764707,Pashto <pathanisation@googlegroups.com>
kf5-ktextwidgets,291,10,161,100,7,15,336,462,62.98701298701299,Pashto <pathanisation@googlegroups.com>
kf5-kwidgetsaddons,0,912,407,0,399,59,0,1319,0.0,Pashto <pathanisation@googlegroups.com>
kf5-kwindowsystem,0,2,0,0,1,0,0,2,0.0,Pashto <pathanisation@googlegroups.com>
kf5-kxmlgui,287,176,1133,124,59,45,326,1596,17.982456140350877,Pashto <pathanisation@googlegroups.com>
kf5-sonnet,0,150,513,0,57,15,0,663,0.0,Pashto <pathanisation@googlegroups.com>
lekhonee-gnome,21,23,68,14,11,19,26,112,18.75,Pashto <pathanisation@googlegroups.com>
libbonoboui,254,0,114,99,0,16,289,368,69.02173913043478,Pashto <pathanisation@googlegroups.com>
libgdl,48,0,563,28,0,68,54,611,7.855973813420622,Pashto <pathanisation@googlegroups.com>
libgnomeui,846,0,380,286,0,34,869,1226,69.00489396411092,Pashto <pakhtosoft@gmail.com>
libmatekbd,1,0,250,1,0,42,1,251,0.398406374501992,Pushto (https://www.transifex.com/mate/teams/13566/ps/)
libmatemixer,4,0,238,4,0,122,6,242,1.6528925619834711,Pushto (https://www.transifex.com/mate/teams/13566/ps/)
libmateweather,12,0,487,10,0,173,13,499,2.404809619238477,Pushto (https://www.transifex.com/mate/teams/13566/ps/)
light-locker,7,0,253,2,0,35,7,260,2.6923076923076925,Pushto (http://www.transifex.com/the_cavalry/light-locker/language/ps/)
lxdm,0,0,47,0,0,25,0,47,0.0,LANGUAGE <LL@li.org>
lxinput,0,0,83,0,0,26,0,83,0.0,LANGUAGE <LL@li.org>
lxlauncher,0,0,58,0,0,17,0,58,0.0,LANGUAGE <LL@li.org>
lxmenu-data,97,0,0,37,0,0,109,97,100.0,Pashto <pathanisation@googlegroups.com>
lxmusic,0,0,203,0,0,89,0,203,0.0,LANGUAGE <LL@li.org>
lxrandr,0,0,167,0,0,41,0,167,0.0,LANGUAGE <LL@li.org>
lxsession,0,0,755,0,0,166,0,755,0.0,LANGUAGE <LL@li.org>
lxshortcut,0,0,43,0,0,19,0,43,0.0,LANGUAGE <LL@li.org>
lxtask,0,0,130,0,0,51,0,130,0.0,LANGUAGE <LL@li.org>
lxterminal,0,0,202,0,0,98,0,202,0.0,LANGUAGE <LL@li.org>
marco,20,0,4128,10,0,403,22,4148,0.4821600771456124,Pushto (https://www.transifex.com/mate/teams/13566/ps/)
mate-applets,381,0,2108,178,0,382,429,2489,15.307352350341501,Pushto (https://www.transifex.com/mate/teams/13566/ps/)
mate-backgrounds,4,0,26,2,0,19,4,30,13.333333333333334,Pushto (http://www.transifex.com/mate/MATE/language/ps/)
mate-calc,8,0,1363,8,0,412,16,1371,0.5835156819839533,Pushto (https://www.transifex.com/mate/teams/13566/ps/)
mate-control-center,107,0,2551,69,0,559,121,2658,4.0255831452219715,Pushto (https://www.transifex.com/mate/teams/13566/ps/)
mate-desktop,70,0,2235,22,0,277,92,2305,3.036876355748373,Pushto (https://www.transifex.com/mate/teams/13566/ps/)
mate-icon-theme,4,0,0,2,0,0,5,4,100.0,Pushto (https://www.transifex.com/mate/teams/13566/ps/)
mate-media,19,0,207,15,0,81,20,226,8.4070796460177,Pushto (https://www.transifex.com/mate/teams/13566/ps/)
mate-menu,37,0,279,27,0,91,37,316,11.708860759493671,Pushto (http://www.transifex.com/mate/MATE/language/ps/)
mate-menus,97,0,0,37,0,0,109,97,100.0,Pushto (https://www.transifex.com/mate/teams/13566/ps/)
mate-notification-daemon,1,0,138,1,0,36,1,139,0.7194244604316548,Pushto (https://www.transifex.com/mate/teams/13566/ps/)
mate-panel,1489,0,2875,380,0,210,1618,4364,34.120073327222734,Pushto (https://www.transifex.com/mate/teams/13566/ps/)
mate-polkit,3,0,119,2,0,18,3,122,2.459016393442623,Pushto (https://www.transifex.com/mate/teams/13566/ps/)
mate-power-manager,22,0,2702,21,0,419,30,2724,0.8076358296622614,Pushto (https://www.transifex.com/mate/teams/13566/ps/)
mate-screensaver,353,0,630,97,0,59,405,983,35.910478128179044,Pushto (https://www.transifex.com/mate/teams/13566/ps/)
mate-sensors-applet,10,0,296,10,0,96,21,306,3.2679738562091507,Pushto (https://www.transifex.com/mate/teams/13566/ps/)
mate-session-manager,216,0,465,65,0,49,226,681,31.718061674008812,Pushto (https://www.transifex.com/mate/teams/13566/ps/)
mate-settings-daemon,35,0,1729,14,0,239,35,1764,1.984126984126984,Pushto (https://www.transifex.com/mate/teams/13566/ps/)
mate-system-monitor,282,0,1051,139,0,174,337,1333,21.155288822205552,Pushto (https://www.transifex.com/mate/teams/13566/ps/)
