package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
cinnamon-desktop,223,5,3,26,3,2,219,231,96.53679653679653,Kashubian <csb@li.org>
cinnamon-translations,1088,0,9593,394,0,2005,1077,10681,10.186312143057766,Kashubian <csb@li.org>
e16,115,0,2675,50,0,463,124,2790,4.121863799283155,Kashubian <csb@li.org>
file-roller,41,0,1514,21,0,319,45,1555,2.636655948553055,Kashubian <csb@li.org>
gdk-pixbuf2,481,43,821,66,4,131,474,1345,35.762081784386616,Kashubian <csb@li.org>
gdm,112,46,492,25,10,52,117,650,17.23076923076923,Kashubian <csb@li.org>
gimp,108,559,13173,51,262,3003,115,13840,0.7803468208092486,Kashubian <csb@li.org>
gnome-applets,848,17,2170,244,6,403,825,3035,27.940691927512358,Kashubian <csb@li.org>
gnome-desktop3,235,0,0,31,0,0,231,235,100.0,Kashubian <csb@li.org>
gnome-icon-theme,4,0,0,2,0,0,4,4,100.0,Kashubian <csb@li.org>
gnome-menus,95,0,0,37,0,0,87,95,100.0,Kashubian <csb@li.org>
gnome-panel,222,15,3283,99,6,403,210,3520,6.306818181818182,Kashubian <csb@li.org>
gnome-session,447,27,1,92,4,1,413,475,94.10526315789474,Kashubian <csb@li.org>
iso-codes,108,8,866,94,2,324,106,982,10.9979633401222,Kashubian <https://hosted.weblate.org/projects/iso-codes/iso-3166-1/csb/>
kde-cli-tools,1832,123,150,173,17,27,1588,2105,87.03087885985748,Kaszëbsczi <i18n-csb@linuxcsb.org>
kdeplasma-addons,2,95,274,1,33,87,2,371,0.5390835579514826,Kashubian
kf5-kauth,0,0,73,0,0,8,0,73,0.0,Kaszëbsczi <i18n-csb@linuxcsb.org>
kf5-kbookmarks,0,79,151,0,28,21,0,230,0.0,Kashubian <i18n-csb@linuxcsb.org>
kf5-kcmutils,439,95,32,62,8,2,370,566,77.56183745583039,Kaszëbsczi <i18n-csb@linuxcsb.org>
kf5-kcodecs,0,57,315,0,37,17,0,372,0.0,Kaszëbsczi <i18n-csb@linuxcsb.org>
kf5-kcompletion,0,18,0,0,11,0,0,18,0.0,Kaszëbsczi <i18n-csb@linuxcsb.org>
kf5-kconfig,0,44,227,0,5,98,0,271,0.0,Kashubian <i18n-csb@linuxcsb.org>
kf5-kconfigwidgets,125,137,62,67,39,13,137,324,38.58024691358025,Kaszëbsczi <i18n-csb@linuxcsb.org>
kf5-kcoreaddons,0,271,57,0,83,33,0,328,0.0,Kaszëbsczi <i18n-csb@linuxcsb.org>
kf5-kdeclarative,43,12,61,8,3,5,39,116,37.06896551724138,Kaszëbsczi <i18n-csb@linuxcsb.org>
kf5-kdelibs4support,1173,979,2661,629,673,1062,1176,4813,24.371493870766674,Kaszëbsczi <i18n-csb@linuxcsb.org>
kf5-kdesignerplugin,0,53,1,0,8,1,0,54,0.0,Kaszëbsczi <i18n-csb@linuxcsb.org>
kf5-kdnssd,0,3,0,0,3,0,0,3,0.0,Kaszëbsczi <i18n-csb@linuxcsb.org>
kf5-kdoctools,8,0,0,4,0,0,10,8,100.0,Kashubian
kf5-kglobalaccel,0,45,26,0,6,3,0,71,0.0,Kaszëbsczi <i18n-csb@linuxcsb.org>
kf5-khtml,1152,388,181,262,27,21,991,1721,66.93782684485764,Kaszëbsczi <i18n-csb@linuxcsb.org>
kf5-ki18n,42,80,2,42,66,2,43,124,33.87096774193548,Kaszëbsczi <i18n-csb@linuxcsb.org>
kf5-kiconthemes,0,0,37,0,0,18,0,37,0.0,Kashubian <i18n-csb@linuxcsb.org>
kf5-kinit,96,31,7,9,4,1,74,134,71.64179104477611,Kaszëbsczi <i18n-csb@linuxcsb.org>
kf5-kio,4868,2292,5260,533,248,604,4063,12420,39.19484702093398,Kashubian <i18n-csb@linuxcsb.org>
kf5-kitemviews,0,7,0,0,4,0,0,7,0.0,Kaszëbsczi <i18n-csb@linuxcsb.org>
kf5-kjobwidgets,0,115,18,0,36,2,0,133,0.0,Kaszëbsczi <i18n-csb@linuxcsb.org>
kf5-kjsembed,222,14,12,41,2,1,218,248,89.51612903225806,Kaszëbsczi <i18n-csb@linuxcsb.org>
kf5-knewstuff,188,288,1022,57,100,86,179,1498,12.550066755674234,Kaszëbsczi <i18n-csb@linuxcsb.org>
kf5-knotifications,0,20,0,0,7,0,0,20,0.0,Kaszëbsczi <i18n-csb@linuxcsb.org>
kf5-knotifyconfig,43,86,0,15,2,0,41,129,33.33333333333333,Kaszëbsczi <i18n-csb@linuxcsb.org>
kf5-kparts,71,43,9,16,11,1,59,123,57.72357723577236,Kaszëbsczi <i18n-csb@linuxcsb.org>
kf5-kpty,15,0,0,4,0,0,19,15,100.0,Kaszëbsczi <i18n-csb@linuxcsb.org>
kf5-kross,81,19,0,28,7,0,76,100,81.0,Kaszëbsczi <i18n-csb@linuxcsb.org>
kf5-kservice,44,79,44,7,15,5,43,167,26.34730538922156,Kaszëbsczi <i18n-csb@linuxcsb.org>
kf5-ktextwidgets,433,13,27,108,9,13,407,473,91.5433403805497,Kaszëbsczi <i18n-csb@linuxcsb.org>
kf5-kwidgetsaddons,0,1150,123,0,425,31,0,1273,0.0,Kaszëbsczi <i18n-csb@linuxcsb.org>
kf5-kwindowsystem,0,2,0,0,1,0,0,2,0.0,Kaszëbsczi <i18n-csb@linuxcsb.org>
kf5-kxmlgui,444,910,191,98,109,14,377,1545,28.7378640776699,Kaszëbsczi <i18n-csb@linuxcsb.org>
kf5-sonnet,0,645,22,0,68,5,0,667,0.0,Kaszëbsczi <i18n-csb@linuxcsb.org>
khotkeys,405,33,0,119,10,0,396,438,92.46575342465754,Kaszëbsczi <i18n-csb@linuxcsb.org>
kinfocenter,351,18,24,118,8,13,341,393,89.31297709923665,Kaszëbsczi
kmenuedit,240,14,19,52,4,7,200,273,87.91208791208791,Kaszëbsczi <i18n-csb@linuxcsb.org>
ksysguard,901,61,131,197,26,14,790,1093,82.43366880146387,Kaszëbsczi <i18n-csb@linuxcsb.org>
kwin,890,353,1417,259,128,347,836,2660,33.45864661654135,Kaszëbsczi <i18n-csb@linuxcsb.org>
libksysguard,1063,557,1420,127,49,122,960,3040,34.96710526315789,Kashubian <i18n-csb@linuxcsb.org>
libmatekbd,0,0,308,0,0,91,0,308,0.0,Kashubian (http://www.transifex.com/mate/MATE/language/csb/)
libmypaint,1,0,2302,1,0,161,1,2303,0.04342162396873643,Kashubian <https://hosted.weblate.org/projects/mypaint/libmypaint/csb/>
libmypaint2,1,0,2310,1,0,161,1,2311,0.043271311120726956,Kashubian <https://hosted.weblate.org/projects/mypaint/libmypaint/csb/>
mate-applets,2,0,1513,2,0,100,12,1515,0.132013201320132,Kashubian (https://www.transifex.com/mate/teams/13566/csb/)
mate-control-center,24,0,3266,15,0,1121,30,3290,0.729483282674772,Kashubian (https://www.transifex.com/mate/teams/13566/csb/)
mate-menu,6,0,302,5,0,105,6,308,1.948051948051948,Kashubian (http://www.transifex.com/mate/MATE/language/csb/)
mate-panel,1,0,941,1,0,62,6,942,0.10615711252653928,Kashubian (https://www.transifex.com/mate/teams/13566/csb/)
mate-sensors-applet,2,0,311,2,0,107,8,313,0.6389776357827476,Kashubian (https://www.transifex.com/mate/teams/13566/csb/)
mate-themes,0,0,74,0,0,23,0,74,0.0,Kashubian (http://www.transifex.com/mate/MATE/language/csb/)
mingw-gdk-pixbuf,481,43,821,66,4,131,474,1345,35.762081784386616,Kashubian <csb@li.org>
mypaint,14,14,6545,12,9,1259,14,6573,0.21299254526091588,Kashubian <https://hosted.weblate.org/projects/mypaint/mypaint/csb/>
plasma-desktop,4923,1129,1241,904,300,275,4488,7293,67.50308515014397,Kaszëbsczi <i18n-csb@linuxcsb.org>
plasma-drkonqi,1534,1154,1278,147,113,92,1371,3966,38.67876954109934,Kaszëbsczi <i18n-csb@linuxcsb.org>
plasma-oxygen,15,105,500,8,35,177,16,620,2.4193548387096775,Kaszëbsczi <i18n-csb@linuxcsb.org>
plasma-sdk,225,101,111,64,18,14,216,437,51.48741418764302,Kashubian <i18n-csb@linuxcsb.org>
plasma-systemsettings,148,21,30,35,5,12,146,199,74.37185929648241,Kaszëbsczi <i18n-csb@linuxcsb.org>
plasma-workspace,1185,382,3199,281,120,787,1104,4766,24.863617289131348,Kashubian <i18n-csb@linuxcsb.org>
stellarium,0,0,21534,0,0,7606,0,21534,0.0,Kashubian (https://www.transifex.com/stellarium/teams/80998/csb/)
sugar,0,0,2305,0,0,529,0,2305,0.0,LANGUAGE <LL@li.org>
sugar-toolkit-gtk3,0,0,213,0,0,123,0,213,0.0,LANGUAGE <LL@li.org>
xdg-user-dirs-gtk,81,0,0,11,0,0,66,81,100.0,Kashubian <csb@li.org>
