package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
GConf2,22,0,4010,11,0,470,29,4032,0.5456349206349206,Sinhala <en@li.org>
PackageKit,1283,0,0,321,0,0,1373,1283,100.0,Sinhala (http://www.transifex.com/freedesktop/packagekit/language/si/)
Thunar,86,23,4040,38,8,690,103,4149,2.0727886237647626,American English <kde-i18n-doc@kde.org>
Zim,548,92,2746,228,33,516,626,3386,16.184288245717664,Sinhala <https://hosted.weblate.org/projects/zim/master/si/>
abrt,2,0,3674,2,0,415,4,3676,0.0544069640914037,Sinhala <https://translate.fedoraproject.org/projects/abrt/abrt/si/>
accerciser,65,0,294,57,0,105,78,359,18.105849582172702,Sinhala <en@li.org>
aisleriot,395,195,1397,160,79,310,335,1987,19.879214896829392,Sinhala <en@li.org>
alacarte,74,0,0,30,0,0,99,74,100.0,Sinhala <en@li.org>
anaconda,214,58,8467,40,19,1390,213,8739,2.4487927680512644,Sinhala <https://translate.fedoraproject.org/projects/anaconda/master/si/>
android-tools,33,2,13915,30,1,2042,42,13950,0.23655913978494625,Sinhala
anjuta,1293,0,5945,468,0,1498,1426,7238,17.864050842774247,Sinhala <en@li.org>
apostrophe,44,12,389,13,8,131,45,445,9.887640449438202,
asunder,13,0,480,12,0,80,15,493,2.636916835699797,http://littlesvr.ca/ostd/
at-spi2-core,38,0,337,31,0,95,40,375,10.133333333333333,Sinhala <en@li.org>
atril,219,0,4146,127,0,608,271,4365,5.017182130584192,Sinhala (https://www.transifex.com/mate/teams/13566/si/)
audacious,383,0,516,192,0,175,431,899,42.60289210233593,Sinhala (http://www.transifex.com/audacious/audacious/language/si/)
audacious-plugins,2048,0,2036,533,0,433,2213,4084,50.146914789422134,Sinhala (http://www.transifex.com/audacious/audacious/language/si/)
authselect,6,0,6303,7,0,642,8,6309,0.0951022349025202,Sinhala <https://translate.fedoraproject.org/projects/authselect/master-application/si/>
baobab,210,79,251,80,19,27,246,540,38.88888888888889,Sinhala <en@li.org>
blinken,104,17,13,39,5,3,107,134,77.61194029850746,Sinhala <info@hanthana.org>
blivet-gui,0,0,1064,0,0,265,0,1064,0.0,none
bookworm,0,0,795,0,0,149,0,795,0.0,
breezy,0,0,33704,0,0,2380,0,33704,0.0,
budgie-control-center,550,59,704,550,40,166,551,1313,41.88880426504189,Sinhala <en@li.org>
budgie-desktop,0,0,1220,0,0,322,0,1220,0.0,none
