package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
GConf2,188,0,3767,45,0,426,228,3955,4.753476611883692,Occitan <ubuntu-l10n-oci@lists.ubuntu.com>
NetworkManager,5,0,336,1,0,44,9,341,1.466275659824047,Occitan <ubuntu-l10n-oci@lists.ubuntu.com>
Thunar,4139,0,0,734,0,0,4382,4139,100.0,Occitan (post 1500) (http://www.transifex.com/projects/p/xfce/language/oc/)
accerciser,262,0,1687,149,0,139,285,1949,13.442791174961519,Occitan (post 1500) <ubuntu-l10n-oci@lists.ubuntu.com>
ailurus,312,0,7105,133,0,935,368,7417,4.206552514493731,none
aisleriot,641,229,18131,237,83,999,665,19001,3.3735066575443398,Occitan <ubuntu-l10n-oci@lists.ubuntu.com>
alacarte,42,0,0,16,0,0,45,42,100.0,Occitan <ubuntu-l10n-oci@lists.ubuntu.com>
alleyoop,78,0,273,37,0,52,84,351,22.22222222222222,Occitan <ubuntu-l10n-oci@lists.ubuntu.com>
almanah,17,0,316,10,0,31,26,333,5.105105105105105,GNOME French Team <gnomefr@traduc.org>
anjuta,738,0,18497,462,0,1865,863,19235,3.836755913698986,Occitan <ubuntu-l10n-oci@lists.ubuntu.com>
aria2,10,0,6418,5,0,368,12,6428,0.1555693839452396,Occitan (post 1500) <oc@li.org>
at-spi,4,0,0,2,0,0,4,4,100.0,Occitan (post 1500) <ubuntu-l10n-oci@lists.ubuntu.com>
atk,48,1,326,37,1,88,54,375,12.8,Occitan <ubuntu-l10n-oci@lists.ubuntu.com>
atril,235,0,2962,139,0,373,291,3197,7.3506412261495155,Occitan <ubuntu-l10n-oci@lists.ubuntu.com>
audacity,1168,819,9459,386,232,1934,1369,11446,10.204438231696662,Occitan <ubuntu-l10n-oci@lists.ubuntu.com>
avogadro,1177,0,3085,775,0,770,1441,4262,27.616142656030036,Occitan (post 1500) <oc@li.org>
bakery,57,0,1,15,0,1,68,58,98.27586206896551,Occitan <ubuntu-l10n-oci@lists.ubuntu.com>
balsa,395,0,5571,264,0,1184,446,5966,6.620851491786792,Occitan <ubuntu-l10n-oci@lists.ubuntu.com>
banshee,400,0,2790,261,0,610,432,3190,12.539184952978054,Occitan <ubuntu-l10n-oci@lists.ubuntu.com>
baobab,78,5,457,42,2,82,101,540,14.444444444444443,Occitan <ubuntu-l10n-oci@lists.ubuntu.com>
