package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
atril,92,8,4264,31,2,701,124,4364,2.1081576535288726,Spanish (Chile) (https://www.transifex.com/mate/teams/13566/es_CL/)
budgie-desktop,1638,0,221,412,0,69,1969,1859,88.11188811188812,Spanish (Chile) (https://app.transifex.com/buddiesofbudgie/teams/129844/es_CL/)
caja,36,0,10120,33,0,1563,41,10156,0.3544702638834187,Spanish (Chile) (https://app.transifex.com/mate/teams/13566/es_CL/)
caja-extensions,86,0,759,47,0,134,112,845,10.177514792899409,Spanish (Chile) (https://app.transifex.com/mate/teams/13566/es_CL/)
deepin-daemon,484,28,937,256,8,174,579,1449,33.402346445824705,Spanish (Chile) (http://www.transifex.com/projects/p/dde-daemon/language/es_CL/)
engrampa,12,0,2014,12,0,406,16,2026,0.5923000987166831,Spanish (Chile) (https://app.transifex.com/mate/teams/13566/es_CL/)
eom,21,0,1758,20,0,321,25,1779,1.1804384485666104,Spanish (Chile) (https://app.transifex.com/mate/teams/13566/es_CL/)
libgweather,664,0,0,235,0,0,735,664,100.0,Spanish <gnome-es-list@gnome.org>
libmatekbd,3,0,305,3,0,88,3,308,0.974025974025974,Spanish (Chile) (https://app.transifex.com/mate/teams/13566/es_CL/)
libmatemixer,3,0,239,3,0,123,5,242,1.2396694214876034,Spanish (Chile) (https://app.transifex.com/mate/teams/13566/es_CL/)
libmateweather,477,0,23,173,0,11,552,500,95.39999999999999,Spanish (Chile) (https://app.transifex.com/mate/teams/13566/es_CL/)
mate-applets,1806,0,13264,423,0,1150,2287,15070,11.984074319840744,Spanish (Chile) (https://app.transifex.com/mate/teams/13566/es_CL/)
mate-calc,82,0,1500,52,0,434,88,1582,5.183312262958281,Spanish (Chile) (https://app.transifex.com/mate/teams/13566/es_CL/)
mate-control-center,40,5,8215,33,3,1491,53,8260,0.48426150121065376,Spanish (Chile) (https://app.transifex.com/mate/teams/13566/es_CL/)
mate-desktop,155,0,2257,13,0,282,178,2412,6.42620232172471,Spanish (Chile) (https://app.transifex.com/mate/teams/13566/es_CL/)
mate-icon-theme,4,0,0,2,0,0,6,4,100.0,Spanish (Chile) (https://app.transifex.com/mate/teams/13566/es_CL/)
mate-media,7,0,237,6,0,94,9,244,2.8688524590163933,Spanish (Chile) (https://app.transifex.com/mate/teams/13566/es_CL/)
mate-menu,30,0,278,22,0,88,34,308,9.740259740259742,Spanish (Chile) (http://www.transifex.com/mate/MATE/language/es_CL/)
mate-menus,2,0,101,2,0,37,2,103,1.9417475728155338,Spanish (Chile) (https://app.transifex.com/mate/teams/13566/es_CL/)
mate-notification-daemon,127,0,59,36,0,17,150,186,68.27956989247312,Spanish (Chile) (https://app.transifex.com/mate/teams/13566/es_CL/)
mate-panel,58,0,6695,38,0,784,85,6753,0.858877535909966,Spanish (Chile) (https://app.transifex.com/mate/teams/13566/es_CL/)
mate-power-manager,19,0,5104,16,0,536,31,5123,0.37087643958618,Spanish (Chile) (https://app.transifex.com/mate/teams/13566/es_CL/)
mate-sensors-applet,15,0,2145,15,0,211,22,2160,0.6944444444444444,Spanish (Chile) (https://app.transifex.com/mate/teams/13566/es_CL/)
mate-session-manager,6,0,711,6,0,127,6,717,0.8368200836820083,Spanish (Chile) (https://app.transifex.com/mate/teams/13566/es_CL/)
mate-settings-daemon,45,0,2158,8,0,310,49,2203,2.0426690876078077,Spanish (Chile) (https://app.transifex.com/mate/teams/13566/es_CL/)
mate-system-monitor,32,0,4862,25,0,636,50,4894,0.6538618716796076,Spanish (Chile) (https://app.transifex.com/mate/teams/13566/es_CL/)
mate-terminal,18,0,8220,15,0,750,28,8238,0.21849963583394028,Spanish (Chile) (https://app.transifex.com/mate/teams/13566/es_CL/)
mate-themes,0,0,74,0,0,23,0,74,0.0,Spanish (Chile) (http://app.transifex.com/mate/MATE/language/es_CL/)
mate-user-guide,5,0,1,2,0,1,5,6,83.33333333333334,Spanish (Chile) (https://app.transifex.com/mate/teams/13566/es_CL/)
mate-utils,39,0,9862,28,0,1043,64,9901,0.39389960610039393,Spanish (Chile) (https://app.transifex.com/mate/teams/13566/es_CL/)
mozo,34,0,12,14,0,10,40,46,73.91304347826086,Spanish (Chile) (https://app.transifex.com/mate/teams/13566/es_CL/)
nicotine+,3136,1770,132,939,310,23,3792,5038,62.24692338229456,Spanish (Chile) <https://hosted.weblate.org/projects/nicotine-plus/nicotine-plus/es_CL/>
pluma-plugins,1,0,509,1,0,48,4,510,0.19607843137254902,Spanish (Chile) (https://www.transifex.com/mate/teams/13566/es_CL/)
python-caja,6,0,0,2,0,0,6,6,100.0,Spanish (Chile) (https://www.transifex.com/mate/teams/13566/es_CL/)
rabbitvcs,859,0,72,297,0,20,938,931,92.26638023630504,Spanish
zathura,239,0,666,68,0,123,264,905,26.40883977900553,Spanish (Chile) (http://app.transifex.com/pwmt/zathura/language/es_CL/)
