package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
GConf2,4088,0,0,497,0,0,4103,4088,100.0,Assamese <kde-i18n-doc@kde.org>
NetworkManager,4399,5166,19629,749,685,817,4497,29194,15.06816469137494,Assamese <kde-i18n-doc@kde.org>
NetworkManager-fortisslvpn,6,18,297,4,7,49,8,321,1.8691588785046727,Assamese <>
NetworkManager-l2tp,79,0,1220,35,0,167,100,1299,6.081601231716705,Assamese <fedora-trans-as@redhat.com>
NetworkManager-openconnect,54,5,3182,16,2,578,68,3241,1.666152422091947,Assamese <kde-i18n-doc@kde.org>
NetworkManager-openvpn,59,197,1969,28,37,245,68,2225,2.6516853932584272,Assamese <fedora-trans-as@redhat.com>
NetworkManager-pptp,66,25,438,25,7,62,79,529,12.476370510396976,Assamese <>
NetworkManager-ssh,37,36,213,16,13,40,38,286,12.937062937062937,Assamese <fedora-trans-as@redhat.com>
NetworkManager-sstp,61,42,775,24,15,110,76,878,6.947608200455581,Assamese <>
NetworkManager-vpnc,49,65,549,18,9,94,60,663,7.390648567119156,Assamese <>
PackageKit,863,0,0,237,0,0,990,863,100.0,Assamese (http://app.transifex.com/freedesktop/packagekit/language/as/)
abrt,2050,111,1515,258,16,143,2152,3676,55.767138193688794,Assamese (http://www.transifex.com/projects/p/fedora-abrt/language/as/)
accerciser,598,0,0,221,0,0,636,598,100.0,Assamese <kde-i18n-doc@kde.org>
accountsservice,0,0,59,0,0,10,0,59,0.0,Assamese (http://www.transifex.com/freedesktop/accountsservice/language/as/)
aisleriot,3032,0,0,656,0,0,2352,3032,100.0,Assamese <kde-i18n-doc@kde.org>
alacarte,42,0,0,16,0,0,54,42,100.0,as_IN <kde-i18n-doc@kde.org>
anaconda,3291,1044,3909,701,175,481,3663,8244,39.91994177583697,Assamese <https://translate.fedoraproject.org/projects/anaconda/master/as/>
anaconda-webui,22,333,990,14,118,119,27,1345,1.6356877323420074,Assamese <https://translate.fedoraproject.org/projects/anaconda-webui/anaconda-webui/as/>
android-tools,5033,50,945,810,8,148,5002,6028,83.49369608493696,Assamese
asunder,16,0,477,14,0,78,16,493,3.2454361054766734,http://littlesvr.ca/ostd/
at-spi2-core,450,0,0,171,0,0,418,450,100.0,Assamese <kde-i18n-doc@kde.org>
atril,882,8,3474,293,2,439,993,4364,20.210815765352887,Assamese (https://www.transifex.com/mate/teams/13566/as/)
baobab,210,0,0,57,0,0,227,210,100.0,American English <kde-i18n-doc@kde.org>
bijiben,310,0,0,102,0,0,352,310,100.0,Assamese <kde-i18n-doc@kde.org>
bookworm,275,6,514,79,3,67,294,795,34.59119496855346,Assamese <https://hosted.weblate.org/projects/bookworm/bookworm/as/>
brasero,5546,0,0,968,0,0,5755,5546,100.0,Assamese <kde-i18n-doc@kde.org>
budgie-control-center,4120,67,3727,1657,19,850,4520,7914,52.0596411422795,Assamese (https://app.transifex.com/buddiesofbudgie/teams/129844/as/)
budgie-screensaver,270,0,0,54,0,0,267,270,100.0,as_IN <kde-i18n-doc@kde.org>
budgie-session,323,0,0,59,0,0,376,323,100.0,Assamese <kde-i18n-doc@kde.org>
caja,6653,0,3503,1220,0,376,6197,10156,65.50807404489957,Assamese (https://app.transifex.com/mate/teams/13566/as/)
caja-actions,135,0,18677,82,0,1434,174,18812,0.7176270465660217,Assamese (https://app.transifex.com/mate/teams/13566/as/)
caja-extensions,122,0,723,54,0,127,131,845,14.437869822485208,Assamese (https://app.transifex.com/mate/teams/13566/as/)
calamares,247,0,231,50,0,33,266,478,51.67364016736402,Assamese (https://app.transifex.com/calamares/teams/20061/as/)
caribou,171,0,0,57,0,0,182,171,100.0,Assamese <kde-i18n-doc@kde.org>
ccsm,115,0,476,22,0,141,120,591,19.4585448392555,Assamese <as@li.org>
cheese,613,0,0,120,0,0,581,613,100.0,Assamese <kde-i18n-doc@kde.org>
chkconfig,477,66,54,88,12,9,481,597,79.89949748743719,Assamese <https://translate.fedoraproject.org/projects/fedora-sysv/chkconfig/as/>
cinnamon-desktop,234,0,0,32,0,0,240,234,100.0,as_IN <kde-i18n-doc@kde.org>
cinnamon-translations,1736,0,8516,411,0,1850,1799,10252,16.933281310963714,as_IN <kde-i18n-doc@kde.org>
clutter,2928,121,8,654,18,3,2396,3057,95.7801766437684,American English <kde-i18n-doc@kde.org>
cogl,378,0,0,76,0,0,418,378,100.0,as_IN <kde-i18n-doc@kde.org>
colord,25,0,363,8,0,91,29,388,6.443298969072164,LANGUAGE <LL@li.org>
