package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
WindowMaker,6007,0,726,1177,0,457,5499,6733,89.21728798455369,Western Frisian
Zim,23,29,3477,6,7,789,25,3529,0.6517427033153868,Frisian <https://hosted.weblate.org/projects/zim/develop/fy/>
akonadi-calendar-tools,205,164,89,51,33,19,204,458,44.75982532751092,Frysk <kde-i18n-fry@kde.org>
akregator,780,596,517,195,145,95,756,1893,41.20443740095087,Nederlands <kde-i18n-nl@kde.org>
alacarte,42,0,0,16,0,0,41,42,100.0,Frisian <fy@li.org>
anaconda,2145,217,5882,405,40,912,2438,8244,26.018922852983987,Frisian <https://translate.fedoraproject.org/projects/anaconda/master/fy/>
anaconda-webui,40,323,982,11,108,132,42,1345,2.973977695167286,Frisian <https://translate.fedoraproject.org/projects/anaconda-webui/anaconda-webui/fy/>
asunder,7,0,486,6,0,86,6,493,1.4198782961460445,http://littlesvr.ca/ostd/
atril,117,0,4247,60,0,674,136,4364,2.6810265811182403,Western Frisian (https://www.transifex.com/mate/teams/13566/fy/)
baobab,307,0,0,82,0,0,335,307,100.0,Western Frisian <tjipke@tutanota.com>
bookworm,0,0,795,0,0,149,0,795,0.0,
budgie-session,448,0,0,96,0,0,414,448,100.0,Frisian <gnome-fy-list@gnome.org>
caja,893,0,9263,446,0,1150,876,10156,8.79283182355258,Western Frisian (https://app.transifex.com/mate/teams/13566/fy/)
caja-actions,95,0,18717,46,0,1470,102,18812,0.5049968105464597,Western Frisian (https://app.transifex.com/mate/teams/13566/fy/)
caja-extensions,8,0,837,8,0,173,8,845,0.9467455621301776,Western Frisian (https://app.transifex.com/mate/teams/13566/fy/)
calendarsupport,716,1325,718,113,206,66,678,2759,25.951431678144253,Frysk <kde-i18n-fry@kde.org>
calligra,16484,6979,4823,3045,1591,797,18392,28286,58.27617902849466,Frysk <kde-i18n-fry@kde.org>
calligraplan,634,3800,4896,291,1187,561,661,9330,6.795284030010718,Frysk <kde-i18n-fry@kde.org>
cinnamon-desktop,29,0,205,7,0,25,30,234,12.393162393162394,Frisian <gnome-fy-list@gnome.org>
cinnamon-translations,1313,0,18288,455,0,4049,1327,19601,6.698637824600786,Frisian <fy@li.org>
