package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
PackageKit,319,0,954,82,0,236,382,1273,25.05891594658288,Interlingua (http://www.transifex.com/freedesktop/packagekit/language/ia/)
abrt,567,0,3402,83,0,393,691,3969,14.285714285714285,Interlingua (http://www.transifex.com/projects/p/fedora-abrt/language/ia/)
accountsservice,0,0,59,0,0,10,0,59,0.0,Interlingua (http://www.transifex.com/projects/p/freedesktop/language/ia/)
anaconda,3409,54,3595,690,4,449,3833,7058,48.29980164352507,Interlingua (http://www.transifex.com/projects/p/anaconda/language/ia/)
asunder,7,0,473,7,0,80,9,480,1.4583333333333333,http://littlesvr.ca/ostd/
bison,52,0,0,9,0,0,67,52,100.0,Interlingua <translation-team-ia@lists.sourceforge.net>
bleachbit,1151,0,0,254,0,0,1411,1151,100.0,Interlingua <ia@li.org>
blivet-gui,0,0,711,0,0,191,0,711,0.0,Interlingua
blueberry,138,0,3,32,0,2,155,141,97.87234042553192,Interlingua <ia@li.org>
bluedevil,50,3,416,38,1,108,52,469,10.660980810234541,Interlingua <kde-i18n-doc@kde.org>
caja,307,0,8891,171,0,1322,327,9198,3.3376821048053924,Interlingua (http://www.transifex.com/mate/MATE/language/ia/)
certmonger,0,0,2478,0,0,415,0,2478,0.0,Interlingua (http://www.transifex.com/projects/p/certmonger/language/ia/)
choqok,425,0,1734,202,0,351,505,2159,19.68503937007874,Interlingua <kde-l10n-ia@kde.org>
cinnamon-translations,13492,0,59,3210,0,16,15862,13551,99.56460777802376,Interlingua <ia@li.org>
clementine,43,0,5048,26,0,1326,47,5091,0.8446277745040267,Interlingua (http://www.transifex.com/davidsansome/clementine/language/ia/)
coreutils,327,166,20108,99,45,1586,415,20601,1.5873015873015872,Interlingua <translation-team-ia@lists.sourceforge.net>
cups-pk-helper,149,0,0,22,0,0,158,149,100.0,Interlingua (http://www.transifex.com/freedesktop/cups-pk-helper/language/ia/)
dialog,25,0,0,23,0,0,25,25,100.0,Interlingua <translation-team-ia@lists.sourceforge.net>
dnf-plugin-system-upgrade,0,0,211,0,0,36,0,211,0.0,Interlingua
dnf-plugins-extras,0,0,375,0,0,75,0,375,0.0,Interlingua
docker-anaconda-addon,0,0,27,0,0,4,0,27,0.0,Interlingua
entangle,0,0,935,0,0,209,0,935,0.0,Interlingua
firewalld,9,0,2165,4,0,398,13,2174,0.41398344066237347,Interlingua (http://www.transifex.com/projects/p/firewalld/language/ia/)
gdk-pixbuf2,49,173,1126,6,29,167,42,1348,3.635014836795252,Interlingua
glibc,3358,119,4600,537,17,919,4291,8077,41.57484214436053,Interlingua <translation-team-ia@lists.sourceforge.net>
glibc-arm-linux-gnu,3358,119,4600,537,17,919,4291,8077,41.57484214436053,Interlingua <translation-team-ia@lists.sourceforge.net>
gnome-do,0,0,612,0,0,144,0,612,0.0,Interlingua <ia@li.org>
gnome-initial-setup,316,0,0,75,0,0,351,316,100.0,Interlingua <trans-ia@lists.fedoraproject.org>
gnome-menus,70,0,0,27,0,0,80,70,100.0,Interlingua
gnome-shell,1722,0,0,384,0,0,2002,1722,100.0,Interlingua <trans-ia@lists.fedoraproject.org>
gtg,7,0,3490,4,0,296,7,3497,0.20017157563625965,Interlingua <ia@li.org>
gtk2,2605,429,9412,869,199,1519,2984,12446,20.930419411859233,Interlingua <trans-ia@lists.fedoraproject.org>
gtk3,2707,454,8966,933,207,1458,3110,12127,22.322091201451308,Interlingua <trans-ia@lists.fedoraproject.org>
ibus,646,0,201,127,0,28,789,847,76.26918536009445,Interlingua <trans-ia@lists.fedoraproject.org>
