package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
epiphany,1949,511,544,536,146,70,2038,3004,64.88015978695073,Igbo
gnome-desktop,203,14,132,29,3,20,227,349,58.16618911174785,Igbo
gnome-desktop3,203,14,132,29,3,20,227,349,58.16618911174785,Igbo
gnome-menus,116,15,26,42,5,9,121,157,73.88535031847134,<en@li.org>
gnome-panel,3229,878,398,414,119,85,3207,4505,71.67591564927858,Igbo
gnome-session,117,86,519,20,28,65,131,722,16.20498614958449,Igbo
mate-desktop,52,0,355,12,0,31,54,407,12.776412776412776,LANGUAGE <LL@li.org>
mate-file-manager,3531,0,5880,707,0,814,3781,9411,37.51992349378387,LANGUAGE <LL@li.org>
mate-menus,116,15,26,42,5,9,121,157,73.88535031847134,<en@li.org>
mate-panel,3229,878,398,414,119,85,3207,4505,71.67591564927858,Igbo
mate-session-manager,117,86,519,20,28,65,131,722,16.20498614958449,Igbo
mate-window-manager,2117,0,1673,296,0,107,2061,3790,55.85751978891821,LANGUAGE <LL@li.org>
metacity,2294,825,689,316,58,37,2232,3808,60.24159663865546,Igbo
muffin,2294,825,689,316,58,37,2232,3808,60.24159663865546,Igbo
mutter,2294,825,689,316,58,37,2232,3808,60.24159663865546,Igbo
mutter-mbl,2294,825,689,316,58,37,2232,3808,60.24159663865546,Igbo
nautilus,3745,2655,1744,723,386,205,3973,8144,45.98477406679764,Igbo
olpc-switch-desktop,0,0,158,0,0,14,0,158,0.0,LANGUAGE <LL@li.org>
sugar,9,0,233,8,0,91,10,242,3.71900826446281,Igbo
sugar-abacus,0,0,24,0,0,24,0,24,0.0,LANGUAGE <LL@li.org>
sugar-base,0,0,5,0,0,5,0,5,0.0,LANGUAGE <LL@li.org>
sugar-browse,0,0,57,0,0,30,0,57,0.0,LANGUAGE <LL@li.org>
sugar-calculator,0,1,858,0,1,165,0,859,0.0,LANGUAGE <LL@li.org>
sugar-chat,0,0,50,0,0,33,0,50,0.0,LANGUAGE <LL@li.org>
sugar-clock,0,0,38,0,0,17,0,38,0.0,LANGUAGE <LL@li.org>
sugar-connect,0,0,31,0,0,8,0,31,0.0,LANGUAGE <LL@li.org>
sugar-finance,0,0,143,0,0,32,0,143,0.0,LANGUAGE <LL@li.org>
sugar-imageviewer,0,0,24,0,0,11,0,24,0.0,LANGUAGE <LL@li.org>
sugar-infoslicer,0,0,184,0,0,56,0,184,0.0,LANGUAGE <LL@li.org>
sugar-jukebox,0,0,7,0,0,5,0,7,0.0,LANGUAGE <LL@li.org>
sugar-labyrinth,0,0,254,0,0,93,0,254,0.0,LANGUAGE <LL@li.org>
sugar-log,0,0,77,0,0,19,0,77,0.0,LANGUAGE <LL@li.org>
sugar-measure,0,0,155,0,0,73,0,155,0.0,LANGUAGE <LL@li.org>
sugar-memorize,0,0,114,0,0,71,0,114,0.0,LANGUAGE <LL@li.org>
sugar-moon,0,0,91,0,0,32,0,91,0.0,LANGUAGE <LL@li.org>
sugar-physics,0,0,28,0,0,27,0,28,0.0,LANGUAGE <LL@li.org>
sugar-pippy,0,0,109,0,0,31,0,109,0.0,LANGUAGE <LL@li.org>
sugar-playgo,0,0,85,0,0,30,0,85,0.0,LANGUAGE <LL@li.org>
sugar-read,0,0,60,0,0,31,0,60,0.0,LANGUAGE <LL@li.org>
sugar-ruler,0,0,5,0,0,5,0,5,0.0,LANGUAGE <LL@li.org>
sugar-surf,0,0,52,0,0,27,0,52,0.0,LANGUAGE <LL@li.org>
sugar-tamtam,0,0,2070,0,0,695,0,2070,0.0,LANGUAGE <LL@li.org>
sugar-terminal,0,0,13,0,0,7,0,13,0.0,LANGUAGE <LL@li.org>
sugar-toolkit,0,0,59,0,0,28,0,59,0.0,LANGUAGE <LL@li.org>
sugar-turtleart,2,0,2465,1,0,654,1,2467,0.08107012565869477,LANGUAGE <walter@sugarlabs.org>
sugar-view-slides,0,0,7,0,0,5,0,7,0.0,LANGUAGE <LL@li.org>
sugar-visualmatch,0,0,58,0,0,30,0,58,0.0,LANGUAGE <LL@li.org>
sugar-write,0,0,81,0,0,48,0,81,0.0,LANGUAGE <LL@li.org>
