package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
PackageKit,903,0,375,242,0,78,856,1278,70.65727699530517,Serbian (Latin) (http://www.transifex.com/freedesktop/packagekit/language/sr%40latin/)
abrt,1,0,3968,1,0,475,1,3969,0.02519526329050139,Serbian (Latin) (http://www.transifex.com/projects/p/fedora-abrt/language/sr@latin/)
accerciser,659,0,0,224,0,0,623,659,100.0,Serbian <gnom@prevod.org>
accountsservice,0,0,59,0,0,10,0,59,0.0,Serbian (Latin) (http://www.transifex.com/projects/p/freedesktop/language/sr@latin/)
agenda,5,0,38,2,0,11,5,43,11.627906976744185,Serbian Latin <sr@latin@li.org>
aisleriot,19190,0,0,863,0,0,16929,19190,100.0,Serbian <gnom@prevod.org>
amarok,15696,41,82,2777,1,2,16102,15819,99.22245401099943,Serbian <kde-i18n-sr@kde.org>
anaconda,177,0,7374,29,0,1226,166,7551,2.3440603893524035,Serbian (Latin) (http://www.transifex.com/projects/p/anaconda/language/sr@latin/)
appcenter,0,2,777,0,2,172,0,779,0.0,Serbian Latin <sr@latin@li.org>
appstream,428,58,405,142,10,43,424,891,48.035914702581366,Serbian (latin) <https://hosted.weblate.org/projects/appstream/translations/sr_Latn/>
asunder,427,29,39,77,4,10,448,495,86.26262626262627,
at-spi2-core,10,0,0,2,0,0,11,10,100.0,Serbian <gnom@prevod.org>
atk,440,0,0,169,0,0,421,440,100.0,Serbian <gnom@prevod.org>
atril,1408,0,2423,373,0,262,1363,3831,36.75280605586009,Serbian (Latin) (https://www.transifex.com/mate/teams/13566/sr%40latin/)
audacious,363,0,397,174,0,152,390,760,47.76315789473684,Serbian (Latin) (http://www.transifex.com/audacious/audacious/language/sr@latin/)
audacity,7401,5257,3979,1688,1393,716,7415,16637,44.4851836268558,Serbian <>
audit-viewer,589,0,22,181,0,4,580,611,96.39934533551555,LANGUAGE <LL@li.org>
authconfig,600,16,313,94,2,41,560,929,64.58557588805166,Serbian (Latin) (http://www.transifex.com/projects/p/fedora/language/sr@latin/)
avahi,865,2,1,165,2,1,896,868,99.65437788018433,Serbian (Latin) (http://www.transifex.com/lennart/avahi/language/sr@latin/)
blueberry,0,0,141,0,0,34,0,141,0.0,Serbian Latin <sr@latin@li.org>
bluedevil,573,0,0,191,0,0,548,573,100.0,Serbian <kde-i18n-sr@kde.org>
boinc-client,2430,0,82,233,0,9,2187,2512,96.73566878980891,Serbian (Latin) (http://www.transifex.com/boinc/boinc/language/sr%40latin/)
brasero,5546,0,0,968,0,0,5134,5546,100.0,Serbian <gnom@prevod.org>
byzanz,236,0,0,52,0,0,235,236,100.0,Serbian <gnom@prevod.org>
cairo-dock-plug-ins,2203,0,8000,720,0,1002,2086,10203,21.591688719004214,Serbian <sr@li.org>
caja,7037,0,2319,1300,0,217,6341,9356,75.21376656690893,Serbian (Latin) (https://www.transifex.com/mate/teams/13566/sr%40latin/)
caja-extensions,112,0,458,40,0,91,116,570,19.649122807017545,Serbian (Latin) (https://www.transifex.com/mate/teams/13566/sr%40latin/)
calamares,0,0,443,0,0,84,0,443,0.0,Serbian (Latin) (https://www.transifex.com/calamares/teams/20061/sr@latin/)
calibre,1317,0,157443,524,0,17710,1186,158760,0.8295540438397581,Serbian (Latin) (http://www.transifex.com/calibre/calibre/language/sr%40latin/)
caribou,169,0,0,57,0,0,165,169,100.0,Serbian <gnom@prevod.org>
certmonger,0,0,2831,0,0,473,0,2831,0.0,Serbian (Latin) (http://www.transifex.com/projects/p/certmonger/language/sr@latin/)
chkconfig,438,0,117,88,0,15,418,555,78.91891891891892,LANGUAGE <LL@li.org>
cinnamon-translations,10803,0,6748,2195,0,1558,10575,17551,61.55204831633525,Serbian <sr@li.org>
clamtk,214,0,220,70,0,72,206,434,49.30875576036866,Serbian Latin <sr@latin@li.org>
clementine,5091,0,0,1352,0,0,4788,5091,100.0,Serbian (Latin) (http://www.transifex.com/davidsansome/clementine/language/sr@latin/)
clutter,3057,0,0,675,0,0,2710,3057,100.0,Serbian <gnom@prevod.org>
cmake-fedora,0,0,0,0,0,0,0,0,0.0,
cogl,393,0,0,80,0,0,389,393,100.0,Serbian <gnom@prevod.org>
colord,25,0,363,8,0,91,32,388,6.443298969072164,Serbian (Latin) (http://www.transifex.net/projects/p/freedesktop/team/sr@latin/)
compat-gtkhtml314,485,0,0,309,0,0,496,485,100.0,Serbian <gnom@prevod.org>
console-setup,809,65,111,86,11,78,653,985,82.13197969543147,Serbian/Latin
corebird,586,0,0,211,0,0,630,586,100.0,Serbian (Latin) (http://www.transifex.com/corebird/corebird/language/sr%40latin/)
d-feet,109,0,0,36,0,0,109,109,100.0,Serbian <gnom@prevod.org>
debconf,191,0,0,17,0,0,150,191,100.0,Serbian
dnf,476,5,1267,134,1,335,490,1748,27.23112128146453,Serbian (Latin) (http://www.transifex.com/projects/p/dnf/language/sr@latin/)
dnf-plugins-extras,0,0,375,0,0,75,0,375,0.0,Serbian (LATIN)
dnfdragora,156,0,664,116,0,239,168,820,19.024390243902438,Serbian (Latin) (https://www.transifex.com/MageiaLinux/teams/9361/sr@latin/)
docker-anaconda-addon,0,0,27,0,0,4,0,27,0.0,Serbian (LATIN)
easytag,5264,0,0,1024,0,0,5364,5264,100.0,Serbian <gnom@prevod.org>
elementary-camera,0,0,62,0,0,16,0,62,0.0,Serbian Latin <sr@latin@li.org>
