package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
NetworkManager,0,61,26927,0,12,2188,0,26988,0.0,Belarusian Latin <i18n@mova.org>
NetworkManager-fortisslvpn,6,20,297,4,8,48,6,323,1.8575851393188854,Belarusian Latin <i18n@mova.org>
NetworkManager-l2tp,66,0,1169,27,0,159,62,1235,5.344129554655871,Belarusian Latin <i18n@mova.org>
NetworkManager-pptp,114,0,0,41,0,0,109,114,100.0,Belarusian Latin <i18n@mova.org>
NetworkManager-sstp,114,0,0,41,0,0,109,114,100.0,Belarusian Latin <i18n@mova.org>
alacarte,42,0,0,16,0,0,39,42,100.0,Belarusian Latin <i18n@mova.org>
anjuta,6323,0,620,1834,0,100,5939,6943,91.07014258965866,Belarusian <i18n@mova.org>
asunder,338,76,78,63,15,13,320,492,68.69918699186992,i18n@mova.org <i18n@mova.org>
atk,374,1,0,125,1,0,337,375,99.73333333333333,i18n@mova.org <i18n@mova.org>
baobab,370,38,132,109,9,8,341,540,68.51851851851852,Belarusian Latin <be-latin.open-tran.eu>
cheese,412,0,115,90,0,9,381,527,78.17836812144212,Belarusian Latin <i18n@mova.org>
chromium,9856,1312,685,2107,269,111,8631,11853,83.1519446553615,Belarusian Latin <i18n@mova.org>
cinnamon-desktop,107,1,126,12,1,19,102,234,45.72649572649573,Belarusian Latin <i18n@mova.org>
cinnamon-translations,286,0,3264,55,0,828,243,3550,8.056338028169014,Polish <pl@li.org>
dasher,526,0,0,198,0,0,512,526,100.0,Belarusian Latin <be-latin.open-tran.eu>
devhelp,403,0,0,101,0,0,364,403,100.0,Belarusian Latin <i18n@mova.org>
dialog,25,0,0,23,0,0,25,25,100.0,Belarusian (Latin script) <translation-team-be-latin@lists.sourceforge.net>
eog,1255,0,0,285,0,0,1103,1255,100.0,Belarusian Latin <be-latin.open-tran.eu>
eog-plugins,23,0,0,7,0,0,24,23,100.0,Belarusian Latin <i18n@mova.org>
epiphany,4246,0,0,918,0,0,3748,4246,100.0,i18n@mova.org <i18n@mova.org>
evince,1155,0,0,312,0,0,1084,1155,100.0,Belarusian Latin <http://be-latin.open-tran.eu>
evolution,20518,432,1182,4925,33,95,18256,22132,92.70739201156695,Belarusian Latin <i18n@mova.org>
exaile,1886,326,1855,547,113,405,1848,4067,46.37324809441849,Belarusian (latin) <https://hosted.weblate.org/projects/exaile/master/be_Latn/>
file-roller,1267,0,0,284,0,0,1127,1267,100.0,Belarusian Latin <i18n@mova.org>
gajim,1197,4866,3564,349,1207,663,1067,9627,12.433779993767528,Belarusian Latin <i18n@mova.org>
gconf-editor,335,0,0,99,0,0,309,335,100.0,Belarusian Latin <i18n@mova.org>
gcr,115,205,302,59,71,97,105,622,18.488745980707396,Belarusian Latin <i18n@mova.org>
gdk-pixbuf2,1208,89,51,185,12,5,1205,1348,89.61424332344214,Belarusian Latin <i18n@mova.org>
gdm,171,129,350,38,21,28,170,650,26.30769230769231,i18n@mova.org <i18n@mova.org>
gedit,4948,0,0,1099,0,0,4656,4948,100.0,Belarusian Latin <i18n@mova.org>
gedit-plugins,879,192,134,384,58,27,898,1205,72.9460580912863,Belarusian Latin <i18n@mova.org>
glib2,2025,515,2237,347,104,296,1955,4777,42.39062172911869,Belarusian Latin <i18n@mova.org>
