package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
GConf2,4004,0,0,477,0,0,4022,4004,100.0,Norwegian Nynorsk <i18n-nn@lister.ping.uio.no>
PackageKit,0,0,1328,0,0,326,0,1328,0.0,Norwegian Nynorsk (http://www.transifex.com/projects/p/freedesktop/language/nn/)
R,11124,3188,980,1930,443,127,10901,15292,72.74391838869997,Norwegian Nynorsk <i18n-nn@lister.ping.uio.no>
Thunar,4130,0,217,739,0,13,3836,4347,95.00805152979066,Norwegian Nynorsk (https://www.transifex.com/xfce/teams/16840/nn/)
abrt,18,0,3951,4,0,472,19,3969,0.45351473922902497,Norwegian Nynorsk
agenda,8,0,35,3,0,10,8,43,18.6046511627907,Norwegian Nynorsk <nn@li.org>
ailurus,0,0,8446,0,0,1107,0,8446,0.0,none
aisleriot,1977,0,10,547,0,2,1786,1987,99.49672873678914,Norwegian Nynorsk <i18n-nn@lister.ping.uio.no>
akonadi-calendar-tools,389,0,151,86,0,24,389,540,72.03703703703704,Norwegian Nynorsk <i18n-nn@lister.ping.uio.no>
akonadi-import-wizard,58,0,333,19,0,64,58,391,14.83375959079284,Norwegian Nynorsk <i18n-nn@lister.ping.uio.no>
akregator,1375,0,401,363,0,68,1295,1776,77.42117117117117,Norwegian Nynorsk <i18n-nn@lister.ping.uio.no>
alacarte,42,0,0,16,0,0,38,42,100.0,Norwegian nynorsk <i18n-nn@lister.ping.uio.no>
anaconda,87,0,7753,17,0,1271,72,7840,1.1096938775510203,Norwegian Nynorsk (http://www.transifex.com/projects/p/anaconda/language/nn/)
analitza,988,0,0,221,0,0,987,988,100.0,Norwegian Nynorsk <i18n-nn@lister.ping.uio.no>
appcenter,765,0,0,181,0,0,736,765,100.0,Norwegian Nynorsk <https://weblate.elementary.io/projects/appcenter/appcenter/nn/>
ardour5,10552,5,9045,2625,3,1660,10023,19602,53.83124171002959,<i18n-nn@lister.ping.uio.no>
aria2,55,0,7431,9,0,390,43,7486,0.7347047822602191,Norwegian Nynorsk <nn@li.org>
ark,1854,0,0,336,0,0,1776,1854,100.0,Norwegian Nynorsk <i18n-nn@lister.ping.uio.no>
artikulate,436,0,0,156,0,0,398,436,100.0,Norwegian Nynorsk <i18n-nn@lister.ping.uio.no>
asunder,431,25,39,79,2,10,398,495,87.07070707070706,Ubuntu Norwegian Translators <oversettelse@ubuntu.no>
atk,398,0,0,139,0,0,315,398,100.0,Norwegian Nynorsk <i18n-no@lister.ping.uio.no>
atril,1241,0,2601,364,0,275,1225,3842,32.30088495575221,Norwegian Nynorsk (https://www.transifex.com/mate/teams/13566/nn/)
authconfig,0,0,929,0,0,137,0,929,0.0,Norwegian Nynorsk (http://www.transifex.com/projects/p/fedora/language/nn/)
backintime,282,0,1701,75,0,261,284,1983,14.22087745839637,Norwegian Nynorsk <nn@li.org>
baloo-widgets,42,0,0,25,0,0,47,42,100.0,Norwegian Nynorsk <i18n-nn@lister.ping.uio.no>
balsa,135,2249,2964,95,752,440,133,5348,2.524308152580404,Norwegian (Nynorsk)
banshee,5803,0,8,1515,0,5,5402,5811,99.86233006367235,Norsk (nynorsk) <i18n-nn@lister.ping.uio.no>
baobab,229,0,0,72,0,0,230,229,100.0,Norwegian Nynorsk <i18n-no@lister.ping.uio.no>
bear,742,625,4173,194,132,678,685,5540,13.39350180505415,Norwegian Nynorsk <i18n-nn@lister.ping.uio.no>
bear-factory,742,625,4173,194,132,678,685,5540,13.39350180505415,Norwegian Nynorsk <i18n-nn@lister.ping.uio.no>
bleachbit,750,0,328,157,0,78,696,1078,69.57328385899815,Norwegian Nynorsk <nn@li.org>
blinken,133,0,0,47,0,0,134,133,100.0,Norwegian Nynorsk <i18n-nn@lister.ping.uio.no>
blivet-gui,0,0,815,0,0,223,0,815,0.0,Norwegian Nynorsk
blogilo,1117,0,71,226,0,17,1073,1188,94.02356902356902,Norwegian Nynorsk <i18n-nn@lister.ping.uio.no>
bluedevil,572,0,0,191,0,0,559,572,100.0,Norwegian Nynorsk <i18n-nn@lister.ping.uio.no>
bluefish,4945,0,0,1548,0,0,4695,4945,100.0,NorwegianNynorsk <i18n-nn@lister.ping.uio.no>
bomber,103,0,0,27,0,0,106,103,100.0,Norwegian Nynorsk <i18n-nn@lister.ping.uio.no>
bovo,81,0,0,25,0,0,84,81,100.0,Norwegian Nynorsk <i18n-nn@lister.ping.uio.no>
brasero,5520,63,0,986,3,0,5110,5583,98.87157442235358,Norwegian Nynorsk <i18n-nn@lister.ping.uio.no>
cairo-clock,270,0,0,60,0,0,249,270,100.0,Rune Baggetun <baggetun@gmail.com>
cairo-dock,5539,0,1925,557,0,270,5018,7464,74.20953912111469,Norwegian Nynorsk <nn@li.org>
caja,6798,0,2722,1260,0,307,6382,9520,71.40756302521008,Norwegian Nynorsk (https://www.transifex.com/mate/teams/13566/nn/)
caja-extensions,99,0,485,36,0,99,99,584,16.95205479452055,Norwegian Nynorsk (https://www.transifex.com/mate/teams/13566/nn/)
calibre,301,0,158701,233,0,18015,287,159002,0.18930579489566168,Norwegian Nynorsk (http://www.transifex.com/calibre/calibre/language/nn/)
calligra,13721,0,21719,3302,0,4308,12311,35440,38.716139954853276,Norwegian Nynorsk <i18n-nn@lister.ping.uio.no>
calligraplan,482,0,8864,189,0,1813,456,9346,5.157286539696127,Norwegian Nynorsk <i18n-nn@lister.ping.uio.no>
cantor,1146,0,1064,271,0,241,1115,2210,51.85520361990951,Norwegian Nynorsk <i18n-nn@lister.ping.uio.no>
caribou,16,0,0,6,0,0,15,16,100.0,Norsk (nynorsk) <i18n-nn@lister.ping.uio.no>
certmonger,0,0,2831,0,0,473,0,2831,0.0,Norwegian Nynorsk (http://www.transifex.com/projects/p/certmonger/language/nn/)
cervisia,1619,0,0,421,0,0,1465,1619,100.0,Norwegian Nynorsk <i18n-nn@lister.ping.uio.no>
cheese,530,0,0,103,0,0,538,530,100.0,Engelsk (Storbritannia) <kde-i18n-doc@kde.org>
chkconfig,6,0,549,6,0,97,6,555,1.0810810810810811,Norwegian Nynorsk <i18n-nn@lister.ping.uio.no>
