package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
android-tools,0,0,7678,0,0,1078,0,7678,0.0,Kashmiri (http://www.transifex.com/projects/p/fedora/language/ks/)
atril,504,5,3856,175,1,559,521,4365,11.54639175257732,Kashmiri (https://www.transifex.com/mate/teams/13566/ks/)
bookworm,0,0,795,0,0,149,0,795,0.0,
caja,43,0,9632,32,0,1572,69,9675,0.4444444444444444,Kashmiri (https://www.transifex.com/mate/teams/13566/ks/)
coin,0,0,252,0,0,50,0,252,0.0,none
dippi,0,0,1540,0,0,255,0,1540,0.0,none
elementary-code,0,0,1572,0,0,294,0,1572,0.0,LANGUAGE <LL@li.org>
elementary-files,0,0,2538,0,0,551,0,2538,0.0,LANGUAGE <LL@li.org>
elementary-icon-theme,0,0,394,0,0,78,0,394,0.0,none
elementary-mail,0,0,861,0,0,207,0,861,0.0,
elementary-music,0,0,207,0,0,41,0,207,0.0,LANGUAGE <LL@li.org>
elementary-notifications,0,0,40,0,0,8,0,40,0.0,none
engrampa,15,0,2034,13,0,415,30,2049,0.7320644216691069,Kashmiri (https://app.transifex.com/mate/teams/13566/ks/)
eog,953,16,224,246,4,28,1020,1193,79.88264878457669,Kashmiri <ks-gnome-trans-commits@lists.code.indlinux.net>
eom,680,0,1099,180,0,161,742,1779,38.223721191680724,Kashmiri (https://app.transifex.com/mate/teams/13566/ks/)
evince,789,166,34,231,38,9,821,989,79.77755308392315,Kashmiri <ks-gnome-trans-commits@lists.code.indlinux.net>
gala,0,0,259,0,0,56,0,259,0.0,none
gnucash,22120,8451,8657,3564,1358,875,23874,39228,56.38829407566024,NONE
granite,0,0,498,0,0,118,0,498,0.0,
granite-7,0,0,369,0,0,86,0,369,0.0,
harvey,0,0,182,0,0,33,0,182,0.0,none
initial-setup,0,0,33,0,0,7,0,33,0.0,Kashmiri (http://www.transifex.com/projects/p/initial-setup/language/ks/)
libmatekbd,3,0,305,3,0,88,3,308,0.974025974025974,Kashmiri (https://app.transifex.com/mate/teams/13566/ks/)
libreoffice,33001,12487,125700,11653,5823,21286,33539,171188,19.277636282917026,LANGUAGE <LL@li.org>
mate-applets,2,0,1513,2,0,100,10,1515,0.132013201320132,Kashmiri (https://www.transifex.com/mate/teams/13566/ks/)
mate-calc,8,0,1570,8,0,476,19,1578,0.5069708491761723,Kashmiri (https://www.transifex.com/mate/teams/13566/ks/)
mate-control-center,25,0,3306,23,0,1130,41,3331,0.7505253677574302,Kashmiri (https://www.transifex.com/mate/teams/13566/ks/)
mate-media,3,0,236,3,0,96,3,239,1.2552301255230125,Kashmiri (https://app.transifex.com/mate/teams/13566/ks/)
mate-menu,1,0,307,1,0,109,1,308,0.3246753246753247,Kashmiri (http://www.transifex.com/mate/MATE/language/ks/)
mate-menus,2,0,101,2,0,37,3,103,1.9417475728155338,Kashmiri (https://app.transifex.com/mate/teams/13566/ks/)
mate-panel,12,2,5606,12,1,696,31,5620,0.21352313167259787,Kashmiri (https://www.transifex.com/mate/teams/13566/ks/)
mate-polkit,1,0,122,1,0,20,2,123,0.8130081300813009,Kashmiri (https://www.transifex.com/mate/teams/13566/ks/)
mate-power-manager,9,0,2647,9,0,402,19,2656,0.338855421686747,Kashmiri (https://app.transifex.com/mate/teams/13566/ks/)
mate-sensors-applet,4,0,309,4,0,105,11,313,1.2779552715654952,Kashmiri (https://www.transifex.com/mate/teams/13566/ks/)
mate-session-manager,8,0,707,7,0,125,14,715,1.118881118881119,Kashmiri (https://app.transifex.com/mate/teams/13566/ks/)
mate-system-monitor,10,0,1548,8,0,323,21,1558,0.6418485237483954,Kashmiri (https://app.transifex.com/mate/teams/13566/ks/)
mate-terminal,31,0,4688,21,0,522,51,4719,0.6569188387370205,Kashmiri (https://app.transifex.com/mate/teams/13566/ks/)
mate-themes,0,0,74,0,0,23,0,74,0.0,Kashmiri (http://app.transifex.com/mate/MATE/language/ks/)
mate-utils,56,0,3823,31,0,673,76,3879,1.4436710492394949,Kashmiri (https://app.transifex.com/mate/teams/13566/ks/)
mozo,3,0,43,3,0,21,7,46,6.521739130434782,Kashmiri (https://www.transifex.com/mate/teams/13566/ks/)
nutty,0,0,608,0,0,152,0,608,0.0,
optimizer,0,0,282,0,0,75,0,282,0.0,none
pidgin,0,0,13994,0,0,3191,0,13994,0.0,Kashmiri (http://www.transifex.com/pidgin/pidgin/language/ks/)
pluma,43,0,5664,32,0,1417,71,5707,0.7534606623444893,Kashmiri (https://app.transifex.com/mate/teams/13566/ks/)
pluma-plugins,1,0,509,1,0,48,5,510,0.19607843137254902,Kashmiri (https://www.transifex.com/mate/teams/13566/ks/)
policycoreutils,0,0,7678,0,0,1078,0,7678,0.0,Kashmiri (http://www.transifex.com/projects/p/fedora/language/ks/)
python-meh,0,0,109,0,0,23,0,109,0.0,Kashmiri (http://www.transifex.com/projects/p/python-meh/language/ks/)
regextester,0,0,104,0,0,31,0,104,0.0,none
tuxpaint,1120,1020,1623,245,109,107,1182,3763,29.763486579856497,Kashmiri-PA
vlc,30003,38,4738,5511,12,762,36552,34779,86.26757526093333,Kashmiri (India) (https://app.transifex.com/yaron/teams/16553/ks_IN/)
wingpanel,0,0,16,0,0,3,0,16,0.0,none
wingpanel-indicator-a11y,0,0,55,0,0,17,0,55,0.0,none
wingpanel-indicator-bluetooth,0,0,283,0,0,83,0,283,0.0,none
wingpanel-indicator-datetime,0,0,177,0,0,36,0,177,0.0,
wingpanel-indicator-keyboard,0,0,63,0,0,19,0,63,0.0,
xreader,464,0,1161,144,0,236,486,1625,28.553846153846152,Kashmiri (http://www.transifex.com/mate/MATE/language/ks/)
yelp,753,90,192,212,32,105,787,1035,72.7536231884058,Kashmiri <ks-gnome-trans-commits@lists.code.indlinux.net>
