package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
bookworm,0,0,795,0,0,149,0,795,0.0,
cinnamon-translations,24,0,1878,19,0,349,29,1902,1.2618296529968454,Chuvash <cv@li.org>
dippi,0,0,1537,0,0,254,0,1537,0.0,none
elementary-calculator,21,10,143,12,4,46,21,174,12.068965517241379,LANGUAGE <LL@li.org>
elementary-calendar,0,0,670,0,0,233,0,670,0.0,LANGUAGE <LL@li.org>
elementary-camera,0,0,141,0,0,36,0,141,0.0,
elementary-code,15,94,2119,7,18,359,18,2228,0.6732495511669658,LANGUAGE <LL@li.org>
elementary-files,0,0,2656,0,0,567,0,2656,0.0,LANGUAGE <LL@li.org>
elementary-icon-theme,0,0,349,0,0,63,0,349,0.0,none
elementary-mail,0,0,861,0,0,207,0,861,0.0,
elementary-music,0,0,231,0,0,45,0,231,0.0,LANGUAGE <LL@li.org>
elementary-notifications,0,0,42,0,0,9,0,42,0.0,none
elementary-onboarding,0,0,317,0,0,66,0,317,0.0,none
elementary-photos,0,0,2862,0,0,662,0,2862,0.0,LANGUAGE <LL@li.org>
elementary-screenshot,0,0,128,0,0,37,0,128,0.0,LANGUAGE <LL@li.org>
elementary-settings-daemon,0,0,303,0,0,70,0,303,0.0,none
gala,0,0,319,0,0,67,0,319,0.0,none
granite,0,0,498,0,0,118,0,498,0.0,
granite-7,0,0,596,0,0,112,0,596,0.0,
iso-codes,647,17,708,378,6,223,583,1372,47.15743440233236,Chuvash <https://hosted.weblate.org/projects/iso-codes/iso-15924/cv/>
mate-menu,1,0,307,1,0,109,2,308,0.3246753246753247,Chuvash (http://www.transifex.com/mate/MATE/language/cv/)
mate-themes,0,0,74,0,0,23,0,74,0.0,Chuvash (http://app.transifex.com/mate/MATE/language/cv/)
pyhoca-gui,0,0,1865,0,0,402,0,1865,0.0,none
python-django-mailman3,0,0,467,0,0,79,0,467,0.0,LANGUAGE <LL@li.org>
python-hyperkitty,0,0,937,0,0,259,0,937,0.0,LANGUAGE <LL@li.org>
python-postorius,0,0,5165,0,0,642,0,5165,0.0,LANGUAGE <LL@li.org>
regextester,0,0,104,0,0,31,0,104,0.0,none
slick-greeter,16,0,200,6,0,43,11,216,7.4074074074074066,Chuvash <cv@li.org>
wingpanel,0,0,57,0,0,10,0,57,0.0,none
wingpanel-indicator-a11y,0,0,55,0,0,17,0,55,0.0,none
wingpanel-indicator-bluetooth,0,0,80,0,0,30,0,80,0.0,none
wingpanel-indicator-datetime,0,0,103,0,0,25,0,103,0.0,
wingpanel-indicator-keyboard,0,0,56,0,0,17,0,56,0.0,
