package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
bookworm,0,0,795,0,0,149,0,795,0.0,
cinnamon-translations,1117,0,18411,446,0,3996,1259,19528,5.719991806636624,Somali <so@li.org>
coin,0,0,252,0,0,50,0,252,0.0,none
dippi,0,0,1540,0,0,255,0,1540,0.0,none
elementary-code,0,0,1572,0,0,294,0,1572,0.0,LANGUAGE <LL@li.org>
elementary-files,0,0,2538,0,0,551,0,2538,0.0,LANGUAGE <LL@li.org>
elementary-icon-theme,0,0,394,0,0,78,0,394,0.0,none
elementary-mail,0,0,861,0,0,207,0,861,0.0,
elementary-music,0,0,207,0,0,41,0,207,0.0,LANGUAGE <LL@li.org>
elementary-notifications,0,0,40,0,0,8,0,40,0.0,none
gala,0,0,259,0,0,56,0,259,0.0,none
granite,0,0,498,0,0,118,0,498,0.0,
granite-7,0,0,369,0,0,86,0,369,0.0,
harvey,0,0,182,0,0,33,0,182,0.0,none
iso-codes,221,203,22476,151,58,14897,203,22900,0.9650655021834061,Somali <https://hosted.weblate.org/projects/iso-codes/iso-15924/so/>
libmatekbd,0,0,308,0,0,91,0,308,0.0,Somali (http://www.transifex.com/mate/MATE/language/so/)
mate-control-center,22,0,3309,13,0,1140,24,3331,0.6604623236265386,Somali (https://www.transifex.com/mate/teams/13566/so/)
mate-menu,6,0,302,5,0,105,7,308,1.948051948051948,Somali (http://www.transifex.com/mate/MATE/language/so/)
mate-themes,0,0,74,0,0,23,0,74,0.0,Somali (http://app.transifex.com/mate/MATE/language/so/)
nutty,0,0,608,0,0,152,0,608,0.0,
optimizer,0,0,282,0,0,75,0,282,0.0,none
regextester,0,0,104,0,0,31,0,104,0.0,none
sugar-toolkit-gtk3,48,23,142,47,14,62,49,213,22.535211267605636,LANGUAGE <LL@li.org>
wingpanel,0,0,16,0,0,3,0,16,0.0,none
wingpanel-indicator-a11y,0,0,55,0,0,17,0,55,0.0,none
wingpanel-indicator-bluetooth,0,0,283,0,0,83,0,283,0.0,none
wingpanel-indicator-datetime,0,0,177,0,0,36,0,177,0.0,
wingpanel-indicator-keyboard,0,0,63,0,0,19,0,63,0.0,
