package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
appcenter,4,6,755,3,5,173,4,765,0.522875816993464,LANGUAGE <LL@li.org>
audience,20,0,86,11,0,37,20,106,18.867924528301888,Southern Sami <sma@li.org>
deepin-wm,0,0,732,0,0,89,0,732,0.0,Southern Sami <sma@li.org>
dippi,0,0,397,0,0,53,0,397,0.0,none
elementary-calculator,5,0,75,5,0,32,5,80,6.25,LANGUAGE <LL@li.org>
elementary-calendar,67,8,374,43,4,133,64,449,14.92204899777283,LANGUAGE <LL@li.org>
elementary-camera,0,0,62,0,0,16,0,62,0.0,LANGUAGE <LL@li.org>
elementary-capnet-assist,0,0,81,0,0,13,0,81,0.0,none
elementary-screenshot-tool,0,0,132,0,0,43,0,132,0.0,LANGUAGE <LL@li.org>
elementary-shortcut-overlay,0,0,82,0,0,37,0,82,0.0,none
feedreader,0,0,799,0,0,221,0,799,0.0,
gala,0,0,694,0,0,79,0,694,0.0,Southern Sami <sma@li.org>
granite,18,0,138,15,0,42,20,156,11.538461538461538,Southern Sami <sma@li.org>
harvey,0,0,57,0,0,12,0,57,0.0,none
maya-calendar,75,0,319,48,0,116,80,394,19.035532994923855,LANGUAGE <LL@li.org>
noise,26,0,1296,13,0,364,31,1322,1.9667170953101363,Southern Sami <sma@li.org>
optimizer,0,0,111,0,0,54,0,111,0.0,none
pantheon-agent-geoclue2,0,0,46,0,0,13,0,46,0.0,LANGUAGE <LL@li.org>
pantheon-agent-polkit,0,0,14,0,0,7,0,14,0.0,LANGUAGE <LL@li.org>
pantheon-calculator,6,0,46,6,0,26,14,52,11.538461538461538,LANGUAGE <LL@li.org>
pantheon-files,0,0,2487,0,0,492,0,2487,0.0,LANGUAGE <LL@li.org>
pantheon-greeter,0,0,29,0,0,10,0,29,0.0,LANGUAGE <LL@li.org>
pantheon-photos,0,0,3977,0,0,856,0,3977,0.0,LANGUAGE <LL@li.org>
pantheon-terminal,45,0,143,21,0,30,46,188,23.93617021276596,Southern Sami <sma@li.org>
plank,22,0,167,9,0,41,29,189,11.64021164021164,Southern Sami <sma@li.org>
scratch-text-editor,2,0,679,2,0,196,10,681,0.2936857562408223,Southern Sami <sma@li.org>
screenshot-tool,0,0,146,0,0,44,0,146,0.0,LANGUAGE <LL@li.org>
sequeler,0,0,252,0,0,93,0,252,0.0,
slingshot-launcher,15,0,202,11,0,57,14,217,6.912442396313365,Southern Sami <sma@li.org>
snap-photobooth,1,0,24,1,0,4,13,25,4.0,LANGUAGE <LL@li.org>
switchboard,0,0,61,0,0,18,0,61,0.0,Southern Sami <sma@li.org>
switchboard-plug-a11y,0,0,182,0,0,65,0,182,0.0,LANGUAGE <LL@li.org>
switchboard-plug-about,13,6,98,8,3,26,11,117,11.11111111111111,Southern Sami <sma@li.org>
switchboard-plug-applications,2,1,83,2,1,29,2,86,2.3255813953488373,LANGUAGE <LL@li.org>
switchboard-plug-bluetooth,0,0,74,0,0,28,0,74,0.0,Southern Sami <sma@li.org>
switchboard-plug-display,0,0,126,0,0,49,0,126,0.0,Southern Sami <sma@li.org>
switchboard-plug-keyboard,0,0,404,0,0,157,0,404,0.0,
switchboard-plug-mouse-touchpad,0,0,150,0,0,51,0,150,0.0,none
switchboard-plug-networking,0,0,444,0,0,129,0,444,0.0,
switchboard-plug-notifications,2,3,134,2,2,16,2,139,1.4388489208633095,LANGUAGE <LL@li.org>
switchboard-plug-onlineaccounts,6,0,155,3,0,46,5,161,3.7267080745341614,Southern Sami <sma@li.org>
switchboard-plug-pantheon-shell,5,5,143,5,3,51,5,153,3.2679738562091507,Southern Sami <sma@li.org>
switchboard-plug-printers,0,0,336,0,0,138,0,336,0.0,LANGUAGE <LL@li.org>
switchboard-plug-sharing,0,0,130,0,0,28,0,130,0.0,none
switchboard-plug-sound,0,0,131,0,0,46,0,131,0.0,Southern Sami <sma@li.org>
vocal,0,0,377,0,0,79,0,377,0.0,LANGUAGE <LL@li.org>
wingpanel,0,0,6,0,0,1,0,6,0.0,LANGUAGE <LL@li.org>
wingpanel-applications-menu,15,0,210,11,0,61,14,225,6.666666666666667,Southern Sami <sma@li.org>
wingpanel-indicator-bluetooth,0,0,15,0,0,9,0,15,0.0,LANGUAGE <LL@li.org>
wingpanel-indicator-datetime,0,0,20,0,0,6,0,20,0.0,LANGUAGE <LL@li.org>
wingpanel-indicator-keyboard,0,0,10,0,0,4,0,10,0.0,LANGUAGE <LL@li.org>
wingpanel-indicator-network,0,0,76,0,0,22,0,76,0.0,LANGUAGE <LL@li.org>
wingpanel-indicator-nightlight,0,0,16,0,0,6,0,16,0.0,
wingpanel-indicator-notifications,0,0,16,0,0,7,0,16,0.0,LANGUAGE <LL@li.org>
wingpanel-indicator-power,0,0,93,0,0,27,0,93,0.0,LANGUAGE <LL@li.org>
wingpanel-indicator-session,0,0,57,0,0,18,0,57,0.0,LANGUAGE <LL@li.org>
wingpanel-indicator-sound,0,0,14,0,0,6,0,14,0.0,LANGUAGE <LL@li.org>
