package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
blueberry,2,0,139,2,0,32,2,141,1.4184397163120568,Shan <shn@li.org>
cinnamon-translations,52,0,16191,35,0,3738,56,16243,0.32013790555931787,Shan <shn@li.org>
deja-dup,0,0,2011,0,0,327,0,2011,0.0,Shan <shn@li.org>
lightdm,0,0,163,0,0,21,0,163,0.0,Shan <shn@li.org>
mintmenu,39,0,2423,22,0,488,43,2462,1.5840779853777416,Shan <shn@li.org>
onboard,0,0,2318,0,0,510,0,2318,0.0,Shan <shn@li.org>
remmina,0,0,1579,0,0,464,0,1579,0.0,Shan <shn@li.org>
shutter,361,0,2253,103,0,415,274,2614,13.810252486610558,Shan <shn@li.org>
simple-scan,4,0,565,4,0,137,8,569,0.7029876977152899,Shan <shn@li.org>
slick-greeter,60,0,151,24,0,23,39,211,28.436018957345972,Shan <shn@li.org>
