package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
appcenter,17,2,662,12,2,133,27,681,2.4963289280469896,LANGUAGE <LL@li.org>
asunder,6,0,474,6,0,81,6,480,1.25,http://littlesvr.ca/ostd/
audience,56,0,50,27,0,21,59,106,52.83018867924528,Luxembourgish <lb@li.org>
cinnamon-translations,311,0,1991,106,0,306,312,2302,13.509991311902695,Luxembourgish <lb@li.org>
deluge,26,0,2702,14,0,864,27,2728,0.9530791788856305,Luxembourgish <lb@li.org>
feedreader,0,0,926,0,0,219,0,926,0.0,
flaw,84,0,0,53,0,0,87,84,100.0,LANGUAGE <LL@li.org>
gala,38,0,645,16,0,61,40,683,5.563689604685212,Luxembourgish <lb@li.org>
geany,4133,997,868,896,273,129,4158,5998,68.90630210070023,Letzebuergesch
gnome-do,473,0,139,119,0,25,484,612,77.2875816993464,Luxembourgish <lb@li.org>
granite,69,0,87,20,0,37,71,156,44.230769230769226,Luxembourgish <lb@li.org>
isomaster,17,1,656,13,1,93,17,674,2.522255192878338,http://littlesvr.ca/ostd/
kde-cli-tools,30,13,57,9,2,12,36,100,30.0,Luxembourgish <kde-i18n-lb@kde.org>
kf5-kauth,0,4,69,0,1,7,0,73,0.0,Luxembourgish <kde-i18n-lb@kde.org>
kf5-kcmutils,31,152,380,7,23,41,33,563,5.506216696269982,Luxembourgish <kde-i18n-lb@kde.org>
kf5-kcodecs,0,57,291,0,37,16,0,348,0.0,Luxembourgish <kde-i18n-lb@kde.org>
kf5-kcompletion,0,20,0,0,12,0,0,20,0.0,Luxembourgish <kde-i18n-lb@kde.org>
kf5-kconfig,0,41,219,0,6,94,0,260,0.0,Luxembourgish <kde-i18n-lb@kde.org>
kf5-kconfigwidgets,112,151,60,64,43,11,120,323,34.6749226006192,Luxembourgish <kde-i18n-lb@kde.org>
kf5-kcoreaddons,0,231,60,0,76,19,0,291,0.0,Luxembourgish <kde-i18n-lb@kde.org>
kf5-kdeclarative,10,42,57,4,6,4,17,109,9.174311926605505,Luxembourgish <kde-i18n-lb@kde.org>
kf5-kdelibs4support,840,1055,2918,495,712,1157,882,4813,17.452732183669227,Luxembourgish <kde-i18n-lb@kde.org>
kf5-kdesignerplugin,0,43,11,0,5,4,0,54,0.0,Luxembourgish <kde-i18n-lb@kde.org>
kf5-kdnssd,0,3,0,0,3,0,0,3,0.0,Luxembourgish <kde-i18n-lb@kde.org>
kf5-kglobalaccel,0,49,22,0,7,2,0,71,0.0,Luxembourgish <kde-i18n-lb@kde.org>
kf5-khtml,997,511,213,193,90,27,901,1721,57.931435212085994,Luxembourgish <kde-i18n-lb@kde.org>
kf5-ki18n,0,95,29,0,85,25,0,124,0.0,Luxembourgish <kde-i18n-lb@kde.org>
kf5-kinit,96,31,7,9,4,1,92,134,71.64179104477611,Luxembourgish <kde-i18n-lb@kde.org>
kf5-kitemviews,0,7,0,0,4,0,0,7,0.0,Luxembourgish <kde-i18n-lb@kde.org>
kf5-kjobwidgets,0,97,44,0,38,7,0,141,0.0,Luxembourgish <kde-i18n-lb@kde.org>
kf5-kjsembed,0,88,160,0,19,25,0,248,0.0,Luxembourgish <kde-i18n-lb@kde.org>
kf5-knewstuff,95,255,339,20,96,41,101,689,13.788098693759071,Luxembourgish <kde-i18n-lb@kde.org>
kf5-knotifications,0,18,0,0,6,0,0,18,0.0,Luxembourgish <kde-i18n-lb@kde.org>
kf5-knotifyconfig,0,29,100,0,11,6,0,129,0.0,Luxembourgish <kde-i18n-lb@kde.org>
kf5-kparts,44,51,9,13,12,1,50,104,42.30769230769231,Luxembourgish <kde-i18n-lb@kde.org>
kf5-kpty,0,11,4,0,3,1,0,15,0.0,Luxembourgish <kde-i18n-lb@kde.org>
kf5-kross,9,58,33,7,20,8,14,100,9.0,Luxembourgish <kde-i18n-lb@kde.org>
kf5-kservice,17,81,72,4,14,10,21,170,10.0,Luxembourgish <kde-i18n-lb@kde.org>
kf5-ktexteditor,553,941,6830,179,354,676,534,8324,6.643440653531956,Luxembourgish <kde-i18n-lb@kde.org>
kf5-ktextwidgets,317,117,28,69,37,16,323,462,68.61471861471861,Luxembourgish <kde-i18n-lb@kde.org>
kf5-kwidgetsaddons,0,1048,263,0,368,87,0,1311,0.0,Luxembourgish <kde-i18n-lb@kde.org>
kf5-kwindowsystem,0,2,0,0,1,0,0,2,0.0,Luxembourgish <kde-i18n-lb@kde.org>
kf5-kxmlgui,339,949,310,89,109,32,329,1598,21.214017521902377,Luxembourgish <kde-i18n-lb@kde.org>
kf5-sonnet,0,614,49,0,56,16,0,663,0.0,Luxembourgish <kde-i18n-lb@kde.org>
kf5-syntax-highlighting,0,243,194,0,174,113,0,437,0.0,Luxembourgish <kde-i18n-lb@kde.org>
libmatekbd,0,0,251,0,0,43,0,251,0.0,Luxembourgish (http://www.transifex.com/mate/MATE/language/lb/)
libreoffice,8158,4608,86644,3887,2993,24385,8104,99410,8.206417865405895,LANGUAGE <LL@li.org>
librfm,95,526,1776,79,240,279,115,2397,3.963287442636629,Luxembourgish
lightdm,42,0,121,15,0,6,44,163,25.766871165644172,Luxembourgish <lb@li.org>
lightdm-gtk,35,0,49,12,0,12,35,84,41.66666666666667,Luxembourgish <lb@li.org>
mate-menu,0,0,300,0,0,110,0,300,0.0,Luxembourgish (http://www.transifex.com/projects/p/MATE/language/lb/)
maya-calendar,42,0,352,31,0,133,52,394,10.65989847715736,LANGUAGE <LL@li.org>
midori,81,0,3460,27,0,769,88,3541,2.287489409771251,Luxembourgish <lb@li.org>
mintmenu,668,0,1750,195,0,305,646,2418,27.626137303556657,Luxembourgish <lb@li.org>
noise,377,0,945,133,0,244,384,1322,28.517397881996974,Luxembourgish <lb@li.org>
pantheon-agent-polkit,0,0,15,0,0,8,0,15,0.0,LANGUAGE <LL@li.org>
pantheon-calculator,28,0,24,15,0,17,35,52,53.84615384615385,Luxembourgish <https://weblate.elementary.io/projects/calculator/calculator/lb/>
pantheon-files,19,0,2468,12,0,480,31,2487,0.7639726578206675,Luxembourgish <lb@li.org>
pantheon-greeter,0,0,29,0,0,10,0,29,0.0,LANGUAGE <LL@li.org>
pantheon-photos,13,0,3964,4,0,852,18,3977,0.3268795574553684,Luxembourgish <lb@li.org>
pantheon-terminal,53,0,135,23,0,28,55,188,28.191489361702125,Luxembourgish <lb@li.org>
plasma-oxygen,0,0,621,0,0,221,0,621,0.0,Luxembourgish <kde-i18n-lb@kde.org>
plasma-workspace,2,3,0,2,1,0,2,5,40.0,Luxembourgish <kde-i18n-lb@kde.org>
python-django,276,0,3095,193,0,561,283,3371,8.187481459507564,Luxembourgish (http://www.transifex.com/django/django/language/lb/)
rodent,91,525,9018,71,253,488,91,9634,0.9445713099439486,Luxembourgish
scratch-text-editor,181,0,500,43,0,155,184,681,26.57856093979442,LANGUAGE <LL@li.org>
screenshot-tool,0,0,146,0,0,44,0,146,0.0,LANGUAGE <LL@li.org>
slick-greeter,154,0,57,26,0,21,144,211,72.98578199052133,Luxembourgish <lb@li.org>
slingshot-launcher,35,0,182,20,0,48,32,217,16.129032258064516,LANGUAGE <LL@li.org>
snap-photobooth,1,0,24,1,0,4,6,25,4.0,LANGUAGE <LL@li.org>
stellarium,10,0,23659,7,0,5812,10,23669,0.042249355697325616,Luxembourgish <lb@li.org>
switchboard,10,0,31,7,0,6,15,41,24.390243902439025,LANGUAGE <LL@li.org>
switchboard-plug-a11y,0,0,210,0,0,79,0,210,0.0,LANGUAGE <LL@li.org>
switchboard-plug-about,0,0,72,0,0,22,0,72,0.0,LANGUAGE <LL@li.org>
switchboard-plug-applications,0,0,85,0,0,29,0,85,0.0,LANGUAGE <LL@li.org>
switchboard-plug-bluetooth,0,0,39,0,0,18,0,39,0.0,Luxembourgish <lb@li.org>
switchboard-plug-display,0,0,33,0,0,15,0,33,0.0,Luxembourgish <lb@li.org>
switchboard-plug-keyboard,2,0,369,2,0,143,2,371,0.5390835579514826,Luxembourgish <lb@li.org>
switchboard-plug-notifications,0,0,131,0,0,18,0,131,0.0,LANGUAGE <LL@li.org>
switchboard-plug-onlineaccounts,20,0,141,10,0,39,18,161,12.422360248447205,Luxembourgish <lb@li.org>
switchboard-plug-pantheon-shell,0,0,132,0,0,51,0,132,0.0,LANGUAGE <LL@li.org>
switchboard-plug-printers,0,0,288,0,0,117,0,288,0.0,LANGUAGE <LL@li.org>
tuxpaint,1404,114,73,273,10,8,1404,1591,88.24638592080453,LANGUAGE <LL@li.org>
vocal,0,0,377,0,0,79,0,377,0.0,Luxembourgish <lb@li.org>
wingpanel,0,0,8,0,0,2,0,8,0.0,LANGUAGE <LL@li.org>
wingpanel-indicator-bluetooth,0,0,17,0,0,10,0,17,0.0,LANGUAGE <LL@li.org>
wingpanel-indicator-datetime,0,0,20,0,0,6,0,20,0.0,LANGUAGE <LL@li.org>
wingpanel-indicator-keyboard,0,0,7,0,0,3,0,7,0.0,LANGUAGE <LL@li.org>
wingpanel-indicator-network,0,0,101,0,0,31,0,101,0.0,LANGUAGE <LL@li.org>
wingpanel-indicator-notifications,0,0,29,0,0,11,0,29,0.0,LANGUAGE <LL@li.org>
wingpanel-indicator-power,0,0,89,0,0,24,0,89,0.0,LANGUAGE <LL@li.org>
wingpanel-indicator-session,0,0,54,0,0,17,0,54,0.0,LANGUAGE <LL@li.org>
wingpanel-indicator-sound,7,0,8,4,0,3,7,15,46.666666666666664,LANGUAGE <LL@li.org>
